date,equity
2024-03-01,100015.87
2024-03-04,99683.73
2024-03-05,98414.23
2024-03-06,98836.34
2024-03-07,99010.46
2024-03-08,99634.57
2024-03-11,99620.69
2024-03-12,99672.81
2024-03-13,99298.93
2024-03-14,98519.06
2024-03-15,98575.18
2024-03-18,98857.32
2024-03-19,98737.45
2024-03-20,99597.58
2024-03-21,100275.72
2024-03-22,99625.6
2024-03-25,99993.68
2024-03-26,99595.9
2024-03-27,100171.13
2024-03-28,100136.37
2024-04-01,100205.6
2024-04-02,99937.11
2024-04-03,100883.32
2024-04-04,100153.53
2024-04-05,100416.95
2024-04-08,101294.38
2024-04-09,101678.41
2024-04-10,100679.95
2024-04-11,101164.49
2024-04-12,99951.17
2024-04-15,99322.44
2024-04-16,99434.91
2024-04-17,99077.69
2024-04-18,98821.48
2024-04-19,98502.26
2024-04-22,99697.04
2024-04-23,100708.6
2024-04-24,101009.47
2024-04-25,101157.34
2024-04-26,101736.29
2024-04-29,101098.24
2024-04-30,99804.18
2024-05-01,99804.17
2024-05-02,100477.17
2024-05-03,100787.16
2024-05-06,101918.55
2024-05-07,101748.67
2024-05-08,101850.75
2024-05-09,101891.83
2024-05-10,101843.92
2024-05-13,102491.38
2024-05-14,103262.89
2024-05-15,103190.7
2024-05-16,103088.71
2024-05-17,103209.69
2024-05-20,103004.68
2024-05-21,102646.07
2024-05-22,101853.27
2024-05-23,100847.45
2024-05-24,101726.64
2024-05-28,100950.83
2024-05-29,100249.91
2024-05-30,100731.08
2024-05-31,101010.01
2024-06-03,101151.18
2024-06-04,100916.63
2024-06-05,102220.82
2024-06-06,102478.02
2024-06-07,102211.46
2024-06-10,103206.9
2024-06-11,102839.28
2024-06-12,103346.71
2024-06-13,102519.2
2024-06-14,101232.82
2024-06-17,101636.45
2024-06-18,101412.67
2024-06-20,100933.38
2024-06-21,100629.1
2024-06-24,101436.32
2024-06-25,100938.4
2024-06-26,101182.18
2024-06-27,100928.97
2024-06-28,101295.68
2024-07-01,100692.39
2024-07-02,101098.1
2024-07-03,101611.81
2024-07-05,101346.24
2024-07-08,100828.17
2024-07-09,101335.11
2024-07-10,102348.04
2024-07-11,102769.48
2024-07-12,103812.39
2024-07-15,104044.8
2024-07-16,104585.26
2024-07-17,103687.86
2024-07-18,102855.86
2024-07-19,101791.46
2024-07-22,102834.06
2024-07-23,101806.05
2024-07-24,100384.34
2024-07-25,97246.93
2024-07-26,97750.51
2024-07-29,97517.1
2024-07-30,97283.5
2024-07-31,98560.2
2024-08-01,96586.9
2024-08-02,92834.71
2024-08-05,91387.31
2024-08-06,91676.11
2024-08-07,91400.45
2024-08-08,94094.79
2024-08-09,94112.63
2024-08-12,93755.47
2024-08-13,94905.81
2024-08-14,94890.15
2024-08-15,97204.99
2024-08-16,98356.48
2024-08-19,99977.96
2024-08-20,99154.57
2024-08-21,99852.12
2024-08-22,99247.68
2024-08-23,101000.23
2024-08-26,100196.79
2024-08-27,100364.85
2024-08-28,99004.9
2024-08-29,100276.96
2024-08-30,101057.02
2024-09-03,98960.58
2024-09-04,98967.65
2024-09-05,98208.39
2024-09-06,96712.95
2024-09-09,97085.5
2024-09-10,96401.59
2024-09-11,97661.97
2024-09-12,98403.56
2024-09-13,99452.14
2024-09-16,99988.73
2024-09-17,100670.3
2024-09-18,100818.97
2024-09-19,101713.63
2024-09-20,101559.3
2024-09-23,101751.97
2024-09-24,101707.91
2024-09-25,100347.56
2024-09-26,102270.69
2024-09-27,102726.33
2024-09-30,101308.96
2024-10-01,101211.72
2024-10-02,100897.92
2024-10-03,101148.63
2024-10-04,102421.6
2024-10-07,102289.57
2024-10-08,102571.05
2024-10-09,103238.73
2024-10-10,103885.91
2024-10-11,104457.09
2024-10-14,105182.28
2024-10-15,104023.46
2024-10-16,105152.15
2024-10-17,105190.42
2024-10-18,105444.23
2024-10-21,104731.55
2024-10-22,105375.86
2024-10-23,105152.68
2024-10-24,105353.69
2024-10-25,105383.0
2024-10-28,105936.82
2024-10-29,104583.39
2024-10-30,104824.46
2024-10-31,104176.04
2024-11-01,103918.5
2024-11-04,104326.46
2024-11-05,105626.92
2024-11-06,107277.53
2024-11-07,107661.47
2024-11-08,106945.41
2024-11-11,107109.35
2024-11-12,106052.94
2024-11-13,105545.64
2024-11-14,105320.33
2024-11-15,104699.53
2024-11-18,105402.23
2024-11-19,105160.43
2024-11-20,104722.14
2024-11-21,105557.84
2024-11-22,106343.88
2024-11-25,107103.51
2024-11-26,105531.2
2024-11-27,106029.25
2024-11-29,106499.79
2024-12-02,105942.84
2024-12-03,105909.39
2024-12-04,106081.84
2024-12-05,105330.96
2024-12-06,105736.88
2024-12-09,106699.81
2024-12-10,105733.14
2024-12-11,105651.78
2024-12-12,105335.41
2024-12-13,106041.55
2024-12-16,105654.69
2024-12-17,105792.37
2024-12-18,104532.44
2024-12-19,102956.52
