date,open,high,low,close
2023-06-01,68.925,69.78,68.14,69.08
2023-06-02,70.16,70.52,68.29,69.14
2023-06-05,69.44,69.44,67.52,67.74
2023-06-06,67.01,68.83,66.82,67.52
2023-06-07,68.42,68.65,66.96,67.085
2023-06-08,66.5,66.5,64.02,65.325
2023-06-09,66.095,66.36,64.465,65.43
2023-06-12,65.925,67.53,65.815,67.46
2023-06-13,68.615,68.87,67.605,67.87
2023-06-14,67.665,69.17,67.57,69.115
2023-06-15,68.74,69.51,68.42,68.81
2023-06-16,70.17,70.465,66.085,67.63
2023-06-20,67.41,67.58,65.8,66.895
2023-06-21,66.75,67.18,65.355,65.77
2023-06-22,65.62,66.66,65.57,66.27
2023-06-23,65.35,65.955,64.845,65.26
2023-06-26,65.66,66.68,65.43,65.44
2023-06-27,65.185,66.83,63.81,66.83
2023-06-28,65.5,67.715,65.5,67.11
2023-06-29,67.82,67.91,63.58,64.36
2023-06-30,64.49,65.07,62.9,63.09
2023-07-03,63.53,64.31,63.26,63.92
2023-07-05,63.54,63.71,62.03,62.05
2023-07-06,60.95,61.77,60.5,61.27
2023-07-07,61.4,61.45,60.63,60.655
2023-07-10,60.76,62.825,60.58,62.46
2023-07-11,62.58,63.665,62.34,63.6
2023-07-12,64.63,64.67,63.15,63.8
2023-07-13,64.1,64.61,63.59,64.51
2023-07-14,64.24,65.48,63.69,64.07
2023-07-17,63.9,65.67,63.355,65.16
2023-07-18,64.63,65.115,63.765,64.94
2023-07-19,65.61,65.74,64.83,64.97
2023-07-20,64.37,65.545,64.26,64.69
2023-07-21,65.325,66.155,64.35,65.62
2023-07-24,65.37,66.63,65.225,65.49
2023-07-25,65.42,65.99,65.1,65.65
2023-07-26,65.08,67.87,65.08,67.39
2023-07-27,70.49,72.335,69.965,71.07
2023-07-28,71.59,72.105,70.67,71.21
2023-07-31,71.14,71.75,70.91,71.36
2023-08-01,70.93,71.065,69.965,70.74
2023-08-02,69.73,69.79,67.35,68.18
2023-08-03,67.655,69.385,67.175,69.185
2023-08-04,69.485,70.925,69.135,69.93
2023-08-07,69.82,70.215,68.83,69.37
2023-08-08,68.565,68.58,66.965,67.66
2023-08-09,67.8,67.955,66.63,66.69
2023-08-10,67.1,67.46,64.93,65.42
2023-08-11,64.85,65.305,64.09,64.4
2023-08-14,64.33,68.48,64.26,68.275
2023-08-15,67.41,67.42,65.36,65.36
2023-08-16,64.915,65.195,64.1,64.18
2023-08-17,64.57,64.7,63.415,63.53
2023-08-18,62.2,63.85,61.81,63.59
2023-08-21,63.61,64.18,62.92,63.96
2023-08-22,64.23,65.08,63.305,63.41
2023-08-23,63.465,65.61,63.17,65.19
2023-08-24,66.14,66.24,63.38,63.65
2023-08-25,63.525,64.38,62.64,63.7
2023-08-28,65.765,66.105,64.68,65.31
2023-08-29,65.0,67.025,64.95,66.67
2023-08-30,67.12,68.695,66.52,68.09
2023-08-31,68.11,70.49,68.11,69.98
2023-09-01,70.18,70.59,69.56,70.36
2023-09-05,69.91,71.15,69.57,70.26
2023-09-06,70.06,70.655,69.65,70.44
2023-09-07,69.63,70.28,69.1,69.89
2023-09-08,69.795,70.59,69.67,70.22
2023-09-11,70.81,70.81,69.325,70.06
2023-09-12,69.955,71.665,69.79,70.32
2023-09-13,71.08,71.835,70.385,70.85
2023-09-14,71.565,72.23,71.31,71.83
2023-09-15,71.28,71.615,69.655,69.9
2023-09-18,70.61,71.04,69.975,70.46
2023-09-19,70.62,71.05,69.995,70.72
2023-09-20,71.275,72.29,69.66,69.66
2023-09-21,68.95,69.29,67.835,67.88
2023-09-22,68.67,69.74,67.8,68.93
2023-09-25,68.32,69.185,67.62,68.585
2023-09-26,67.985,69.0,67.61,67.97
2023-09-27,68.18,68.85,66.77,68.25
2023-09-28,66.06,67.055,63.86,65.2
2023-09-29,66.45,68.72,66.45,68.03
2023-10-02,68.3,69.265,67.07,67.96
2023-10-03,67.17,69.63,67.17,67.84
2023-10-04,68.31,68.47,67.135,68.075
2023-10-05,68.68,69.48,68.395,69.03
2023-10-06,68.85,70.325,68.04,69.97
2023-10-09,69.76,69.94,68.59,69.48
2023-10-10,69.64,70.11,68.93,69.06
2023-10-11,69.805,70.27,68.94,70.23
2023-10-12,70.37,70.71,69.33,69.75
2023-10-13,69.93,70.06,69.095,69.21
2023-10-16,68.83,70.02,68.16,69.02
2023-10-17,68.08,69.62,67.63,69.01
2023-10-18,68.05,69.55,68.05,69.12
2023-10-19,69.62,69.75,67.2,67.49
2023-10-20,67.53,68.45,67.14,67.22
2023-10-23,66.77,68.16,66.26,66.84
2023-10-24,67.39,68.345,67.19,68.06
2023-10-25,68.71,69.2,65.9,66.52
2023-10-26,66.42,67.43,63.88,64.51
2023-10-27,65.19,66.2,64.905,65.68
2023-10-30,66.45,67.52,65.22,66.06
2023-10-31,66.01,67.02,65.28,66.86
2023-11-01,67.52,69.64,67.46,69.38
2023-11-02,70.35,71.02,69.81,70.43
2023-11-03,71.22,73.18,71.22,72.55
2023-11-06,72.575,72.98,72.05,72.95
2023-11-07,72.37,73.12,71.72,72.82
2023-11-08,72.69,72.73,71.76,72.29
2023-11-09,73.575,76.09,73.5,73.56
2023-11-10,74.335,75.795,73.565,75.37
2023-11-13,74.19,75.185,73.42,74.785
2023-11-14,76.075,77.435,75.955,77.2
2023-11-15,77.44,77.44,76.35,77.15
2023-11-16,76.87,77.48,76.5,76.69
2023-11-17,76.67,77.9,76.47,77.51
2023-11-20,77.28,78.89,77.2,78.64
2023-11-21,77.82,77.82,76.305,76.72
2023-11-22,77.41,78.45,76.85,77.12
2023-11-24,76.78,76.96,76.45,76.89
2023-11-27,77.07,78.285,76.69,77.5
2023-11-28,75.08,76.205,73.995,76.15
2023-11-29,77.605,79.01,76.375,76.68
2023-11-30,76.95,76.95,74.97,76.07
2023-12-01,76.04,76.525,75.09,75.91
2023-12-04,75.46,75.56,73.34,74.28
2023-12-05,73.42,73.95,73.06,73.71
2023-12-06,75.35,75.375,72.94,73.16
2023-12-07,73.97,74.18,73.0,73.63
2023-12-08,73.69,75.34,73.625,74.94
2023-12-11,77.17,78.505,76.965,77.8
2023-12-12,77.455,78.18,77.105,78.16
2023-12-13,78.39,80.26,78.045,79.79
2023-12-14,80.885,82.39,80.83,82.23
2023-12-15,82.9,82.98,81.12,81.39
2023-12-18,81.68,81.85,80.85,81.58
2023-12-19,81.69,82.26,81.22,82.18
2023-12-20,81.59,81.61,78.64,78.72
2023-12-21,84.8,85.97,83.15,85.5
2023-12-22,86.07,87.46,85.655,86.51
2023-12-26,86.75,87.865,86.45,87.045
2023-12-27,87.41,87.41,86.24,86.67
2023-12-28,86.48,86.53,85.85,86.01
2023-12-29,85.84,86.09,85.075,85.34
2024-01-02,83.88,84.075,81.76,82.38
2024-01-03,80.86,82.57,80.585,82.23
2024-01-04,83.47,84.24,82.615,82.69
2024-01-05,81.5,83.52,81.03,83.52
2024-01-08,83.98,85.495,83.905,84.93
2024-01-09,83.09,84.175,82.93,83.32
2024-01-10,82.98,82.98,81.685,82.39
2024-01-11,82.8,83.44,81.84,83.41
2024-01-12,82.695,83.04,81.715,82.385
2024-01-16,82.52,85.21,82.37,84.665
2024-01-17,83.785,83.94,82.63,83.25
2024-01-18,85.34,85.82,84.065,84.83
2024-01-19,86.045,87.785,85.625,87.52
2024-01-22,88.23,89.94,88.01,89.225
2024-01-23,88.92,88.92,86.9,87.54
2024-01-24,88.53,88.53,86.63,88.095
2024-01-25,89.22,90.04,88.505,89.18
2024-01-26,87.18,88.495,86.41,88.055
2024-01-29,88.7,89.53,88.035,89.04
2024-01-30,88.15,88.76,85.78,86.12
2024-01-31,85.04,86.91,84.8,85.735
2024-02-01,85.985,86.18,84.63,85.63
2024-02-02,85.175,86.59,85.05,86.46
2024-02-05,86.7,87.22,85.62,86.98
2024-02-06,86.79,87.16,83.73,84.615
2024-02-07,84.07,85.28,82.48,85.19
2024-02-08,85.19,86.025,84.54,84.905
2024-02-09,84.835,85.62,83.97,85.55
2024-02-12,85.705,86.89,85.555,85.73
2024-02-13,82.54,82.935,80.77,81.515
2024-02-14,82.03,83.17,81.5,81.825
2024-02-15,82.17,82.7,81.52,81.64
2024-02-16,80.98,81.32,79.26,79.52
2024-02-20,79.35,80.76,79.16,80.72
2024-02-21,80.79,81.5,79.95,81.5
2024-02-22,84.925,86.305,83.95,85.87
2024-02-23,86.65,86.74,85.075,86.01
2024-02-26,89.77,92.34,88.93,89.42
2024-02-27,91.89,92.74,90.52,91.86
2024-02-28,90.455,90.75,89.325,89.74
2024-02-29,90.76,90.78,88.835,90.52
2024-03-01,92.055,96.05,92.04,95.08
2024-03-04,96.97,97.37,94.71,95.81
2024-03-05,94.115,95.36,93.28,94.49
2024-03-06,95.145,96.43,94.58,95.55
2024-03-07,99.0,99.675,97.48,98.98
2024-03-08,99.985,101.85,97.33,97.63
2024-03-11,95.89,96.42,93.545,94.56
2024-03-12,95.045,97.49,93.675,97.42
