occ,underlying,leg,entry,credit,exit,exit_px,exit_kind,pnl
BABA240308P00073000,BABA,PUT,2024-03-04,0.75,2024-03-08,0,EXPIRE,149.1
MU240322P00090000,MU,BUY_PUT,2024-03-04,1.729,2024-03-22,2.016,take_profit,-59.4
INTC240426P00041000,INTC,BUY_PUT,2024-03-26,1.662,2024-04-02,0.966,take_profit,274.6
MU240412P00115000,MU,BUY_PUT,2024-03-26,2.565,2024-04-02,0.924,take_profit,163.1
SOFI240405P00008000,SOFI,PUT,2024-03-05,0.437,2024-04-05,0,ASSIGN,950.4
GM240412P00045000,GM,PUT,2024-04-02,0.731,2024-04-12,0,ASSIGN,290.6
SOFI240426C00008500,SOFI,BUY_CC,2024-04-09,0.114,2024-04-15,0.042,cc_take_profit,136.4
KO240426P00059000,KO,BUY_PUT,2024-04-09,0.494,2024-04-22,0.105,take_profit,113.7
F240426P00012000,F,BUY_PUT,2024-04-16,0.37,2024-04-23,0.095,take_profit,372.4
MU240426P00121000,MU,PUT,2024-04-09,2.945,2024-04-26,0,ASSIGN,294.0
SOFI240503C00008000,SOFI,BUY_CC,2024-04-23,0.19,2024-04-30,0.032,cc_take_profit,326.7
GM240517C00047000,GM,BUY_CC,2024-04-16,0.427,2024-05-06,0.189,cc_take_profit,91.4
SOFI240607C00008000,SOFI,BUY_CC,2024-05-07,0.133,2024-05-13,0.063,cc_take_profit,132.0
NOK240524P00003500,NOK,BUY_PUT,2024-04-23,0.057,2024-05-14,0.053,take_profit,-27.5
GM240524C00047000,GM,BUY_CC,2024-05-07,0.314,2024-05-15,0.168,cc_take_profit,54.2
F240531P00012000,F,BUY_PUT,2024-04-30,0.218,2024-05-17,0.105,take_profit,155.25
GM240621C00047000,GM,BUY_CC,2024-05-21,0.427,2024-05-23,0.158,cc_take_profit,104.0
SOFI240621C00008000,SOFI,BUY_CC,2024-05-21,0.123,2024-05-29,0.074,cc_take_profit,88.0
MU240531C00130000,MU,BUY_CC,2024-05-07,1.795,2024-05-31,0.158,cc_take_profit,162.8
BABA240607P00087000,BABA,PUT,2024-05-21,2.755,2024-06-07,0,ASSIGN,550.0
F240621P00012000,F,BUY_PUT,2024-05-21,0.228,2024-06-11,0.116,take_profit,153.75
MU240614C00135000,MU,CALL,2024-06-04,0.997,2024-06-14,0,CALLED,99.25
BABA240705C00087000,BABA,BUY_CC,2024-06-11,0.408,2024-06-24,0.053,cc_take_profit,69.2
GM240628C00046000,GM,CALL,2024-05-29,0.162,2024-06-28,0,CALLED,62.6
MU240705P00144000,MU,PUT,2024-06-18,5.32,2024-07-05,0,ASSIGN,531.5
T240726P00018000,T,BUY_PUT,2024-06-25,0.314,2024-07-12,0.158,take_profit,146.0
KO240726P00063000,KO,BUY_PUT,2024-06-25,0.494,2024-07-18,0.273,take_profit,42.2
BABA240809C00087000,BABA,BUY_CC,2024-07-16,0.608,2024-07-23,0.168,cc_take_profit,86.0
SOFI240726C00008000,SOFI,BUY_CC,2024-07-16,0.076,2024-07-24,0.032,cc_take_profit,75.9
F240802P00014000,F,PUT,2024-07-16,0.361,2024-08-02,0,ASSIGN,462.8
SOFI240809C00008000,SOFI,BUY_CC,2024-07-30,0.218,2024-08-05,0.021,cc_take_profit,412.5
BABA240830C00087000,BABA,BUY_CC,2024-07-30,0.95,2024-08-16,0.84,cc_take_profit,20.0
GM240816P00049000,GM,PUT,2024-07-16,1.472,2024-08-16,0,ASSIGN,440.25
SOFI240906C00008000,SOFI,BUY_CC,2024-08-20,0.095,2024-09-05,0.032,cc_take_profit,117.7
BABA240920C00090000,BABA,BUY_CC,2024-08-20,0.655,2024-09-09,0.315,cc_take_profit,66.1
GM240920C00049000,GM,BUY_CC,2024-08-20,0.351,2024-09-11,0.084,cc_take_profit,77.25
SOFI241011C00009000,SOFI,BUY_CC,2024-09-17,0.152,2024-09-24,0.074,cc_take_profit,150.7
GM241011C00050000,GM,BUY_CC,2024-09-17,0.57,2024-09-26,0.21,cc_take_profit,105.0
BABA241004C00087000,BABA,CALL,2024-09-10,1.33,2024-10-04,0,CALLED,265.0
KO241108P00068000,KO,BUY_PUT,2024-10-08,0.912,2024-10-17,0.514,take_profit,77.5
BABA241018P00115000,BABA,PUT,2024-10-08,7.79,2024-10-18,0,ASSIGN,778.5
SOFI241018C00008500,SOFI,CALL,2024-10-01,0.123,2024-10-18,0,CALLED,260.7
T241108P00021000,T,BUY_PUT,2024-10-08,0.418,2024-10-24,0.074,take_profit,267.6
GM241101C00050000,GM,CALL,2024-10-01,0.58,2024-11-01,0,CALLED,172.35
SOFI241129P00011000,SOFI,BUY_PUT,2024-10-29,0.855,2024-11-06,0.189,take_profit,1115.2
T241108P00022000,T,BUY_PUT,2024-10-29,0.237,2024-11-07,0.053,take_profit,140.0
SOFI241213P00014000,SOFI,BUY_PUT,2024-11-12,1.007,2024-11-22,0.357,take_profit,832.0
GM241129P00057000,GM,BUY_PUT,2024-11-12,0.931,2024-11-25,0.105,take_profit,244.8
T241206P00023000,T,BUY_PUT,2024-11-26,0.314,2024-12-04,0.042,take_profit,209.2
SOFI241227P00015000,SOFI,BUY_PUT,2024-11-26,0.798,2024-12-05,0.42,take_profit,441.6
WBD241227P00010000,WBD,BUY_PUT,2024-11-26,0.332,2024-12-05,0.147,take_profit,333.45
SOFI250110P00015000,SOFI,BUY_PUT,2024-12-10,0.76,2024-12-17,0.357,take_profit,471.6
GM241227P00059000,GM,PUT,2024-11-26,2.565,2024-12-27,0,ASSIGN,768.0
GM250131C00060000,GM,BUY_CC,2024-12-31,0.446,2025-01-10,0.263,cc_take_profit,52.2
T250110P00023000,T,PUT,2024-12-10,0.494,2025-01-10,0,ASSIGN,391.2
GM250221C00059000,GM,BUY_CC,2025-01-22,0.551,2025-01-29,0.105,cc_take_profit,130.8
T250221C00024000,T,CALL,2025-01-22,0.123,2025-02-21,0,CALLED,94.8
BABA250221C00120000,BABA,CALL,2025-02-11,3.04,2025-02-21,0,CALLED,303.5
BABA250307P00123000,BABA,BUY_PUT,2025-02-25,0.598,2025-03-06,0.032,take_profit,55.7
T250328P00026000,T,BUY_PUT,2025-02-25,0.314,2025-03-18,0.158,take_profit,102.2
SOFI250328P00013000,SOFI,BUY_PUT,2025-02-25,0.475,2025-03-25,0.095,take_profit,555.75
BABA250404P00130000,BABA,PUT,2025-03-25,1.976,2025-04-04,0,ASSIGN,197.1
INTC250411P00023000,INTC,PUT,2025-03-25,0.465,2025-04-11,0,ASSIGN,368.4
BABA250516C00137000,BABA,BUY_CC,2025-05-06,2.195,2025-05-16,0.042,cc_take_profit,214.25
INTC250606C00024000,INTC,BUY_CC,2025-05-13,0.418,2025-05-20,0.126,cc_take_profit,225.6
BABA250620C00135000,BABA,BUY_CC,2025-05-20,1.947,2025-05-28,0.326,cc_take_profit,161.2
INTC250627C00023000,INTC,BUY_CC,2025-05-28,0.294,2025-06-03,0.126,cc_take_profit,126.8
BABA250711C00132000,BABA,CALL,2025-06-10,1.805,2025-07-11,0,EXPIRE,180.0
INTC250718C00023000,INTC,BUY_CC,2025-06-17,0.37,2025-07-18,0.304,cc_take_profit,44.8
INTC250815C00026000,INTC,BUY_CC,2025-07-22,0.475,2025-07-28,0.063,cc_take_profit,321.6
BABA250808C00130000,BABA,BUY_CC,2025-07-22,1.52,2025-07-30,0.546,cc_take_profit,96.4
INTC250905C00026000,INTC,BUY_CC,2025-08-19,0.912,2025-08-21,0.304,cc_take_profit,478.0
GM250822C00059000,GM,CALL,2025-07-22,0.095,2025-08-22,0,EXPIRE,27.0
