date,equity
2025-08-01,100000.0
2025-08-04,100349.0
2025-08-05,100193.25
2025-08-06,100744.25
2025-08-07,101339.25
2025-08-08,101516.25
2025-08-11,101783.25
2025-08-12,101861.75
2025-08-13,102163.75
2025-08-14,102057.75
2025-08-15,102017.75
2025-08-18,102023.75
2025-08-19,100166.75
2025-08-20,99987.75
2025-08-21,100495.75
2025-08-22,101921.75
2025-08-25,101866.75
2025-08-26,102181.25
2025-08-27,102250.25
2025-08-28,102512.25
2025-08-29,102080.25
2025-09-02,102099.25
2025-09-03,101864.15
2025-09-04,102352.15
2025-09-05,100862.15
2025-09-08,101306.15
2025-09-09,102150.3
2025-09-10,102628.3
2025-09-11,102272.3
2025-09-12,102978.3
2025-09-15,103584.25
2025-09-16,103282.75
2025-09-17,102813.75
2025-09-18,103336.75
2025-09-19,103995.75
2025-09-22,104909.75
2025-09-23,104876.15
2025-09-24,104728.15
2025-09-25,104810.15
2025-09-26,104592.15
2025-09-29,104596.15
2025-09-30,104296.55
2025-10-01,104329.55
2025-10-02,105333.55
2025-10-03,103632.55
2025-10-06,107936.55
2025-10-07,109153.55
2025-10-08,108644.55
2025-10-09,109243.55
2025-10-10,106289.05
2025-10-13,109374.55
2025-10-14,110187.55
2025-10-15,112157.55
2025-10-16,110534.55
2025-10-17,110726.55
2025-10-20,112888.55
2025-10-21,117239.85
2025-10-22,117798.35
2025-10-23,119765.35
2025-10-24,119460.35
2025-10-27,119378.35
2025-10-28,118855.95
2025-10-29,119767.95
2025-10-30,120042.95
2025-10-31,121722.95
2025-11-03,121423.95
2025-11-04,121671.2
2025-11-05,122292.2
2025-11-06,122430.2
2025-11-07,122890.2
2025-11-10,123925.2
2025-11-11,123679.7
2025-11-12,123252.7
2025-11-13,122225.7
2025-11-14,124025.7
2025-11-17,123585.7
2025-11-18,123777.7
2025-11-19,122688.7
2025-11-20,118401.7
2025-11-21,120206.7
2025-11-24,123370.7
2025-11-25,121859.9
2025-11-26,124473.9
2025-11-28,125588.9
2025-12-01,126338.3
2025-12-02,125968.45
2025-12-03,126128.45
2025-12-04,125458.4
2025-12-05,126888.4
2025-12-08,128776.4
2025-12-09,129115.9
2025-12-10,130138.4
2025-12-11,130069.4
2025-12-12,126920.6
2025-12-15,126039.6
2025-12-16,125265.1
2025-12-17,121921.1
2025-12-18,123959.1
2025-12-19,129159.1
2025-12-22,131419.1
2025-12-23,131944.3
2025-12-24,132774.15
2025-12-26,132872.15
2025-12-29,133618.65
2025-12-30,133650.75
2025-12-31,132874.75
2026-01-02,135480.75
2026-01-05,135743.75
2026-01-06,134860.45
2026-01-07,134273.35
2026-01-08,133389.35
2026-01-09,133385.35
2026-01-12,134180.55
2026-01-13,135964.55
2026-01-14,136059.55
2026-01-15,136866.55
2026-01-16,137786.55
2026-01-20,137717.55
2026-01-21,138630.8
2026-01-22,138908.8
2026-01-23,139058.8
2026-01-26,138912.8
2026-01-27,139034.2
2026-01-28,139121.2
2026-01-29,139191.2
2026-01-30,138670.2
2026-02-02,138955.2
2026-02-03,137496.2
2026-02-04,136721.2
2026-02-05,136324.2
2026-02-06,138177.2
2026-02-09,138279.2
2026-02-10,137101.95
2026-02-11,138601.95
2026-02-12,137567.2
2026-02-13,138150.2
2026-02-17,138177.2
2026-02-18,138451.65
2026-02-19,137563.65
2026-02-20,137293.65
2026-02-23,136499.65
2026-02-24,139487.65
2026-02-25,140606.65
2026-02-26,138763.65
2026-02-27,138828.65
2026-03-02,138933.65
2026-03-03,135569.85
2026-03-04,139555.85
2026-03-05,139964.85
2026-03-06,135590.85
2026-03-09,139293.85
2026-03-10,140904.45
2026-03-11,142901.45
2026-03-12,140070.8
2026-03-13,140576.8
2026-03-16,140614.8
2026-03-17,139470.55
2026-03-18,140762.55
2026-03-19,142173.55
2026-03-20,138871.55
2026-03-23,138812.55
2026-03-24,138545.05
2026-03-25,140997.05
2026-03-26,134720.55
2026-03-27,133188.55
2026-03-30,127304.05
2026-03-31,132709.55
2026-04-01,140411.55
2026-04-02,142847.05
2026-04-06,144658.05
2026-04-07,146622.85
2026-04-08,153073.85
2026-04-09,155074.85
2026-04-10,155223.35
2026-04-13,156326.35
2026-04-14,160401.85
2026-04-15,159860.85
2026-04-16,159865.35
2026-04-17,159901.85
2026-04-20,159244.35
2026-04-21,158555.4
2026-04-22,159394.9
2026-04-23,162101.9
2026-04-24,163512.4
2026-04-27,165571.0
