date,open,high,low,close
2023-06-01,117.28,121.25,116.69,119.49
2023-06-02,120.725,121.63,117.685,117.85
2023-06-05,116.585,119.31,116.42,117.9
2023-06-06,117.83,124.415,117.83,124.23
2023-06-07,124.01,125.33,117.07,117.87
2023-06-08,118.41,122.195,117.09,121.03
2023-06-09,123.67,127.23,123.665,124.96
2023-06-12,128.56,130.44,126.41,129.235
2023-06-13,132.27,132.68,122.56,124.53
2023-06-14,126.57,127.7,123.87,127.31
2023-06-15,125.49,125.6,122.3,124.26
2023-06-16,125.62,125.69,119.92,120.04
2023-06-20,119.0,121.69,117.71,118.93
2023-06-21,118.47,119.08,111.68,112.12
2023-06-22,112.44,113.995,109.85,110.69
2023-06-23,109.32,111.09,107.47,109.99
2023-06-26,110.89,112.54,107.2,107.48
2023-06-27,108.58,110.97,107.13,110.37
2023-06-28,108.15,111.765,107.64,110.19
2023-06-29,112.05,112.75,109.87,111.22
2023-06-30,112.9,114.68,112.45,113.87
2023-07-03,115.25,116.72,114.53,115.81
2023-07-05,116.23,117.65,113.86,113.91
2023-07-06,112.025,113.765,110.38,113.47
2023-07-07,114.05,115.315,113.065,113.15
2023-07-10,112.96,113.585,109.89,113.58
2023-07-11,111.85,113.22,109.505,111.3
2023-07-12,112.83,115.35,112.36,114.57
2023-07-13,115.73,116.16,113.62,115.93
2023-07-14,116.12,122.115,115.25,115.96
2023-07-17,116.07,118.83,112.73,118.31
2023-07-18,117.56,118.42,115.205,117.9
2023-07-19,121.31,121.61,115.56,116.41
2023-07-20,114.98,115.025,109.355,110.33
2023-07-21,110.97,112.27,109.555,110.89
2023-07-24,110.65,111.3,108.58,110.6
2023-07-25,111.05,114.04,111.05,113.02
2023-07-26,111.93,112.32,109.4,109.98
2023-07-27,111.765,115.03,110.54,111.16
2023-07-28,113.41,114.84,112.495,112.97
2023-07-31,114.1,114.67,112.43,114.35
2023-08-01,114.225,118.17,113.22,117.71
2023-08-02,119.34,119.43,107.4,109.36
2023-08-03,109.025,114.95,109.025,113.19
2023-08-04,114.515,118.83,113.97,115.83
2023-08-07,116.4,119.07,115.525,116.79
2023-08-08,114.945,115.44,111.415,113.27
2023-08-09,112.925,113.15,108.78,110.44
2023-08-10,111.39,113.87,109.52,110.21
2023-08-11,108.87,109.0,106.5,107.56
2023-08-14,106.84,111.99,105.46,111.99
2023-08-15,111.87,113.15,110.195,111.36
2023-08-16,110.305,110.37,106.99,107.17
2023-08-17,107.775,107.8,104.105,104.41
2023-08-18,102.25,106.06,101.7,105.46
2023-08-21,106.17,108.51,105.71,108.23
2023-08-22,109.275,109.58,104.86,105.65
2023-08-23,105.53,110.06,105.06,109.36
2023-08-24,111.165,111.565,100.9,101.78
2023-08-25,101.035,104.08,99.61,102.225
2023-08-28,103.475,104.04,100.93,102.66
2023-08-29,102.04,106.52,101.795,105.92
2023-08-30,105.38,107.66,104.54,106.6
2023-08-31,106.31,108.05,104.89,105.68
2023-09-01,107.03,110.06,106.705,109.42
2023-09-05,108.88,111.815,106.37,110.78
2023-09-06,110.61,111.305,108.23,109.31
2023-09-07,106.14,107.67,105.12,106.6
2023-09-08,107.05,109.695,105.76,106.1
2023-09-11,107.32,107.44,103.0,105.32
2023-09-12,104.08,106.72,103.18,105.33
2023-09-13,105.18,108.69,104.85,107.73
2023-09-14,108.56,109.1,106.25,106.63
2023-09-15,106.02,106.74,101.28,101.49
2023-09-18,100.815,102.98,99.51,102.37
2023-09-19,101.86,102.85,100.72,101.62
2023-09-20,102.43,103.94,100.295,100.34
2023-09-21,98.63,98.83,95.85,96.09
2023-09-22,96.95,98.4,95.62,96.14
2023-09-25,95.99,97.44,94.72,97.42
2023-09-26,96.55,97.765,95.32,95.98
2023-09-27,96.86,99.22,96.43,98.09
2023-09-28,98.06,104.19,97.76,102.78
2023-09-29,104.71,104.9,102.57,102.84
2023-10-02,102.205,103.68,101.71,103.28
2023-10-03,101.75,103.205,99.18,100.09
2023-10-04,100.56,104.39,100.35,104.03
2023-10-05,103.395,103.72,100.27,102.92
2023-10-06,102.1,107.87,102.09,107.23
2023-10-09,106.06,107.3,104.8,106.97
2023-10-10,107.53,110.08,106.51,108.98
2023-10-11,108.985,110.06,106.98,108.3
2023-10-12,108.35,111.295,107.54,108.79
2023-10-13,108.6,108.935,104.75,105.11
2023-10-16,105.43,107.47,105.03,106.4
2023-10-17,103.39,106.29,101.7,105.13
2023-10-18,103.25,104.74,101.75,102.19
2023-10-19,103.795,105.58,101.86,102.37
2023-10-20,102.06,104.26,101.49,101.82
2023-10-23,100.635,102.4,99.365,100.04
2023-10-24,100.96,101.78,99.39,101.69
2023-10-25,100.45,101.0,95.23,96.08
2023-10-26,96.03,97.485,93.15,93.62
2023-10-27,95.815,97.29,94.635,96.43
2023-10-30,96.2,97.01,94.72,96.19
2023-10-31,96.13,98.785,94.11,98.5
2023-11-01,98.585,108.135,98.585,108.07
2023-11-02,108.1,109.405,105.92,107.85
2023-11-03,109.14,113.35,107.91,112.23
2023-11-06,112.71,113.0,110.24,111.76
2023-11-07,111.9,114.645,111.27,113.48
2023-11-08,113.615,115.27,112.89,113.56
2023-11-09,114.07,115.805,113.11,113.51
2023-11-10,114.3,119.665,114.125,118.6
2023-11-13,118.45,118.68,116.0,116.77
2023-11-14,119.69,122.1,119.22,119.91
2023-11-15,120.555,120.555,116.925,117.99
2023-11-16,117.24,120.705,116.42,119.82
2023-11-17,119.46,121.48,118.84,120.61
2023-11-20,120.6,121.92,120.11,121.56
2023-11-21,120.5,120.565,118.0,119.18
2023-11-22,120.07,124.74,120.05,122.51
2023-11-24,122.02,123.21,121.615,122.31
2023-11-27,122.38,123.72,121.775,122.65
2023-11-28,121.92,122.51,120.81,122.0
2023-11-29,124.13,125.695,123.52,123.84
2023-11-30,123.58,123.85,119.72,121.165
2023-12-01,119.88,121.385,118.65,121.355
2023-12-04,119.835,119.9,116.375,118.58
2023-12-05,117.41,118.47,116.46,118.42
2023-12-06,120.84,122.77,116.405,116.81
2023-12-07,120.735,128.675,119.58,128.33
2023-12-08,129.48,130.97,126.9,128.95
2023-12-11,130.53,135.0,128.265,134.41
2023-12-12,132.29,139.885,131.92,137.61
2023-12-13,138.01,139.23,136.1,138.2
2023-12-14,138.925,141.82,135.74,138.03
2023-12-15,139.65,140.78,137.28,139.15
2023-12-18,139.07,139.78,137.67,138.88
2023-12-19,138.625,143.45,138.625,140.12
2023-12-20,139.095,139.47,135.375,135.49
2023-12-21,137.99,139.97,137.38,139.86
2023-12-22,140.52,140.585,138.32,139.65
2023-12-26,140.08,143.83,139.96,143.45
2023-12-27,144.835,146.215,143.26,146.14
2023-12-28,147.01,150.33,146.05,148.77
2023-12-29,149.71,150.99,147.29,147.42
2024-01-02,144.02,144.23,137.43,138.62
2024-01-03,135.45,137.25,133.79,135.35
2024-01-04,134.25,137.61,134.055,136.04
2024-01-05,136.83,141.0,136.61,138.59
2024-01-08,140.39,147.09,140.29,146.14
2024-01-09,146.03,149.85,145.1,149.21
2024-01-10,150.07,150.41,146.69,148.52
2024-01-11,148.61,150.335,143.69,148.05
