date,open,high,low,close
2023-06-01,79.42,83.995,79.42,82.985
2023-06-02,85.15,85.985,84.145,84.25
2023-06-05,83.77,84.51,83.305,84.375
2023-06-06,83.54,87.055,83.42,86.69
2023-06-07,85.67,86.93,85.1,85.3
2023-06-08,85.28,86.945,85.26,86.14
2023-06-09,86.12,86.83,85.08,85.515
2023-06-12,85.885,87.29,85.66,85.87
2023-06-13,87.99,89.22,87.27,87.52
2023-06-14,88.22,90.095,87.79,89.355
2023-06-15,91.49,92.72,90.71,92.19
2023-06-16,93.97,94.18,91.56,92.085
2023-06-20,89.75,89.97,87.32,87.96
2023-06-21,87.34,89.14,86.63,86.78
2023-06-22,86.63,87.285,85.35,86.895
2023-06-23,85.66,85.81,84.4,84.895
2023-06-26,85.21,86.68,85.21,85.47
2023-06-27,86.925,87.595,86.735,87.105
2023-06-28,85.68,85.695,84.38,84.575
2023-06-29,83.405,83.98,83.015,83.56
2023-06-30,83.29,84.22,83.035,83.31
2023-07-03,84.92,85.62,84.005,84.12
2023-07-05,83.79,84.685,82.85,84.3
2023-07-06,83.0,83.95,82.68,83.815
2023-07-07,86.78,91.555,86.695,90.58
2023-07-10,90.02,92.025,89.62,90.55
2023-07-11,91.03,92.31,89.01,91.8
2023-07-12,94.155,95.015,92.57,94.05
2023-07-13,95.09,97.0,94.69,96.605
2023-07-14,95.165,96.08,94.28,94.57
2023-07-17,92.3,93.545,91.07,93.42
2023-07-18,91.57,92.195,90.17,91.19
2023-07-19,93.55,94.71,92.1,92.12
2023-07-20,91.67,93.055,91.35,91.89
2023-07-21,92.955,93.2,91.56,92.15
2023-07-24,92.05,97.44,91.32,96.34
2023-07-25,98.305,98.48,94.645,95.035
2023-07-26,94.935,97.52,94.845,97.195
2023-07-27,97.95,97.95,95.18,95.44
2023-07-28,98.2,101.19,97.975,100.565
2023-07-31,99.75,102.49,99.75,102.2
2023-08-01,99.86,101.145,99.37,100.1
2023-08-02,97.73,97.73,94.57,95.1
2023-08-03,96.7,98.45,96.7,97.6
2023-08-04,97.735,98.46,96.715,96.9
2023-08-07,97.75,97.75,95.12,96.56
2023-08-08,93.63,94.47,92.94,94.25
2023-08-09,96.01,96.255,94.1,94.88
2023-08-10,98.28,101.8,97.17,99.23
2023-08-11,97.39,97.58,94.35,95.76
2023-08-14,94.265,94.43,92.55,93.475
2023-08-15,93.0,93.0,90.75,91.64
2023-08-16,89.37,90.49,88.3,89.115
2023-08-17,91.7,91.74,90.27,90.705
2023-08-18,87.78,88.33,86.91,88.04
2023-08-21,87.57,88.81,87.22,88.57
2023-08-22,89.41,89.41,87.86,88.09
2023-08-23,88.385,90.55,88.32,89.85
2023-08-24,90.65,90.89,89.08,89.11
2023-08-25,88.99,90.035,88.29,89.81
2023-08-28,91.49,92.76,91.315,92.25
2023-08-29,93.435,94.09,92.5,94.0
2023-08-30,92.53,94.23,92.49,93.67
2023-08-31,93.0,93.355,92.265,92.89
2023-09-01,94.63,96.66,94.63,95.02
2023-09-05,94.665,95.365,94.09,94.62
2023-09-06,94.22,95.72,94.15,94.525
2023-09-07,91.63,91.73,88.97,89.97
2023-09-08,89.71,90.26,88.73,90.06
2023-09-11,89.81,90.32,87.715,88.73
2023-09-12,88.83,89.94,88.3,88.31
2023-09-13,87.91,88.27,87.46,87.69
2023-09-14,88.52,88.52,87.465,88.01
2023-09-15,87.79,88.195,86.82,87.045
2023-09-18,86.12,87.17,85.5,87.025
2023-09-19,86.15,87.695,86.105,87.1
2023-09-20,87.04,87.42,85.655,85.73
2023-09-21,83.81,84.69,83.81,84.12
