date,open,high,low,close
2023-06-01,12.01,12.18,11.845,12.105
2023-06-02,12.265,12.51,12.15,12.385
2023-06-05,12.66,12.72,12.5,12.595
2023-06-06,12.525,12.93,12.525,12.93
2023-06-07,13.0,13.6,12.99,13.59
2023-06-08,13.54,13.71,13.465,13.615
2023-06-09,13.855,14.025,13.705,13.735
2023-06-12,13.84,13.88,13.65,13.785
2023-06-13,13.905,14.165,13.905,14.14
2023-06-14,14.275,14.445,13.975,14.205
2023-06-15,14.12,14.495,14.12,14.46
2023-06-16,14.49,14.61,14.33,14.425
2023-06-20,14.32,14.42,13.98,14.235
2023-06-21,14.24,14.28,13.945,14.02
2023-06-22,13.94,14.3,13.89,14.18
2023-06-23,13.98,14.15,13.935,14.02
2023-06-26,14.03,14.23,14.005,14.11
2023-06-27,14.205,14.455,14.065,14.41
2023-06-28,14.385,14.79,14.375,14.79
2023-06-29,14.83,15.125,14.79,14.945
2023-06-30,15.04,15.225,14.975,15.11
2023-07-03,15.175,15.4,15.175,15.25
2023-07-05,15.225,15.42,15.13,15.35
2023-07-06,15.17,15.25,14.885,14.99
2023-07-07,14.98,15.235,14.94,14.995
2023-07-10,14.93,15.085,14.835,15.07
2023-07-11,15.05,15.25,14.975,15.235
2023-07-12,15.37,15.42,15.205,15.225
2023-07-13,15.24,15.27,15.09,15.185
2023-07-14,15.23,15.27,14.91,14.99
2023-07-17,14.595,14.62,14.09,14.095
2023-07-18,13.97,14.17,13.92,14.165
2023-07-19,14.155,14.26,14.065,14.09
2023-07-20,14.025,14.08,13.9,14.035
2023-07-21,14.14,14.15,13.75,13.925
2023-07-24,13.89,14.02,13.855,13.96
2023-07-25,13.83,13.85,13.56,13.575
2023-07-26,13.55,13.745,13.52,13.67
2023-07-27,13.835,13.98,13.705,13.745
2023-07-28,13.58,13.6,13.02,13.25
2023-07-31,13.0,13.22,12.915,13.22
2023-08-01,13.145,13.435,13.115,13.41
2023-08-02,13.185,13.225,12.985,13.04
2023-08-03,12.985,13.14,12.865,13.105
2023-08-04,13.07,13.07,12.81,12.89
2023-08-07,12.92,12.945,12.785,12.935
2023-08-08,12.79,12.895,12.7,12.875
2023-08-09,12.735,12.825,12.67,12.725
2023-08-10,12.76,12.77,12.085,12.155
2023-08-11,12.11,12.19,12.0,12.15
2023-08-14,12.05,12.225,12.045,12.205
2023-08-15,12.085,12.145,11.97,11.975
2023-08-16,11.905,12.03,11.815,11.815
2023-08-17,11.88,11.965,11.785,11.82
2023-08-18,11.74,12.02,11.74,11.955
2023-08-21,12.015,12.045,11.87,11.975
2023-08-22,12.015,12.02,11.845,11.87
2023-08-23,11.82,11.97,11.8,11.95
2023-08-24,11.89,11.925,11.75,11.75
2023-08-25,11.845,11.985,11.585,11.9
2023-08-28,11.96,12.06,11.855,11.9
2023-08-29,11.945,12.06,11.925,12.045
2023-08-30,12.065,12.145,12.015,12.035
2023-08-31,12.11,12.27,12.09,12.14
2023-09-01,12.15,12.265,12.045,12.14
2023-09-05,12.11,12.17,12.04,12.09
2023-09-06,12.01,12.11,11.825,12.075
2023-09-07,11.945,12.05,11.905,11.96
2023-09-08,11.975,12.36,11.975,12.3
2023-09-11,12.38,12.4,12.17,12.22
2023-09-12,12.24,12.58,12.24,12.455
2023-09-13,12.69,12.9,12.635,12.645
2023-09-14,12.64,12.695,12.41,12.63
2023-09-15,12.44,12.78,12.44,12.61
2023-09-18,12.5,12.5,12.25,12.34
2023-09-19,12.37,12.64,12.31,12.555
2023-09-20,12.66,12.66,12.355,12.36
2023-09-21,12.265,12.35,12.17,12.195
2023-09-22,12.48,12.76,12.415,12.43
2023-09-25,12.4,12.695,12.34,12.585
2023-09-26,12.49,12.655,12.38,12.435
2023-09-27,12.505,12.52,12.25,12.38
2023-09-28,12.32,12.66,12.18,12.56
2023-09-29,12.61,12.655,12.355,12.425
2023-10-02,12.38,12.425,12.23,12.305
2023-10-03,12.16,12.23,12.025,12.08
2023-10-04,12.02,12.075,11.88,11.97
2023-10-05,11.94,11.99,11.69,11.9
2023-10-06,11.83,12.145,11.69,11.99
2023-10-09,11.815,12.145,11.815,12.07
2023-10-10,12.13,12.29,12.125,12.205
2023-10-11,12.28,12.385,12.155,12.26
2023-10-12,11.86,12.06,11.845,12.0
2023-10-13,11.975,11.99,11.8,11.815
2023-10-16,11.935,11.96,11.83,11.93
