date,open,high,low,close
2023-06-01,31.835,31.92,31.085,31.13
2023-06-02,31.37,31.565,30.84,31.305
2023-06-05,31.29,31.39,29.83,29.865
2023-06-06,29.74,31.445,29.705,30.94
2023-06-07,31.08,31.36,30.935,31.3
2023-06-08,31.49,31.85,31.07,31.81
2023-06-09,31.92,31.99,30.69,31.35
2023-06-12,31.415,33.3,31.37,33.055
2023-06-13,33.79,33.945,33.07,33.935
2023-06-14,33.87,35.6,33.8,35.59
2023-06-15,35.28,36.41,35.22,35.82
2023-06-16,36.33,36.79,35.6,36.405
2023-06-20,36.795,37.085,34.725,35.0
2023-06-21,34.89,35.02,32.835,32.895
2023-06-22,32.68,33.225,32.125,32.715
2023-06-23,32.16,33.43,32.035,32.985
2023-06-26,33.2,33.99,33.1,33.34
2023-06-27,33.13,34.225,33.055,34.1
2023-06-28,33.6,33.8,33.04,33.59
2023-06-29,33.27,33.3,32.49,32.94
2023-06-30,33.35,33.55,33.16,33.41
2023-07-03,33.58,33.88,33.145,33.63
2023-07-05,33.305,33.32,32.5,32.52
2023-07-06,31.85,32.035,31.39,31.98
2023-07-07,32.03,32.41,31.82,31.84
2023-07-10,31.85,32.825,31.78,32.745
2023-07-11,32.82,33.36,32.52,33.29
2023-07-12,33.71,34.08,33.06,33.975
2023-07-13,34.17,34.28,33.625,33.835
2023-07-14,33.78,33.86,33.0,33.14
2023-07-17,33.175,34.595,33.08,34.36
2023-07-18,34.27,34.7,33.83,34.5
2023-07-19,34.41,34.81,34.34,34.45
2023-07-20,33.74,34.2,33.235,33.38
2023-07-21,33.695,34.245,33.42,34.015
2023-07-24,33.895,34.46,33.565,33.65
2023-07-25,33.71,34.34,33.4,34.09
2023-07-26,33.72,34.52,33.72,34.375
2023-07-27,34.82,35.025,34.13,34.56
2023-07-28,36.8,36.99,35.52,36.815
2023-07-31,36.93,37.18,35.675,35.8
2023-08-01,35.78,36.0,35.29,35.785
2023-08-02,35.145,35.165,34.29,34.39
2023-08-03,34.29,35.025,34.13,34.85
2023-08-04,34.53,35.55,34.53,35.16
2023-08-07,35.41,35.55,34.76,35.23
2023-08-08,34.67,35.095,33.86,35.005
2023-08-09,35.02,35.065,34.235,34.29
2023-08-10,34.77,35.085,34.49,34.705
2023-08-11,34.485,34.935,34.375,34.91
2023-08-14,34.68,35.71,34.48,35.7
2023-08-15,35.465,35.61,34.75,34.76
2023-08-16,34.54,34.58,33.47,33.52
2023-08-17,33.555,33.56,32.35,32.565
2023-08-18,32.225,32.9,32.18,32.75
2023-08-21,32.61,33.17,32.02,33.165
2023-08-22,33.225,33.79,32.845,32.9
2023-08-23,32.86,34.145,32.83,33.99
2023-08-24,33.75,34.055,32.5,32.575
2023-08-25,32.59,33.385,32.36,33.255
2023-08-28,33.61,33.78,33.235,33.62
2023-08-29,33.51,34.48,33.495,34.3
2023-08-30,34.09,34.66,33.785,34.53
2023-08-31,34.395,35.545,34.3,35.17
2023-09-01,35.77,36.745,35.76,36.61
2023-09-05,36.565,37.405,36.47,36.71
2023-09-06,36.45,37.04,36.045,37.0
2023-09-07,36.85,38.32,36.78,38.2
2023-09-08,38.11,38.825,37.715,38.02
2023-09-11,38.24,38.74,37.86,38.595
2023-09-12,38.73,40.05,38.7,38.88
2023-09-13,38.785,39.145,38.27,38.72
2023-09-14,38.815,38.89,38.3,38.68
2023-09-15,38.39,38.52,37.62,37.89
2023-09-18,37.605,38.385,37.53,38.0
2023-09-19,38.08,38.08,36.02,36.335
2023-09-20,36.21,36.235,34.635,34.68
2023-09-21,34.58,35.245,34.49,34.64
2023-09-22,34.8,34.87,34.14,34.16
2023-09-25,33.99,34.36,33.77,34.29
2023-09-26,34.13,34.775,33.645,33.85
2023-09-27,33.89,34.82,33.88,34.65
2023-09-28,34.65,35.655,34.405,35.18
2023-09-29,35.64,35.91,35.155,35.55
2023-10-02,35.595,35.965,34.99,35.46
2023-10-03,35.355,36.53,35.34,35.73
2023-10-04,36.49,36.51,35.33,35.9
2023-10-05,36.0,36.075,35.61,35.89
2023-10-06,35.89,36.46,35.18,36.175
2023-10-09,35.71,36.17,35.505,36.07
2023-10-10,36.06,36.735,35.86,36.43
2023-10-11,36.62,37.0,36.385,36.875
2023-10-12,36.82,37.215,36.4,36.85
2023-10-13,36.735,36.75,35.86,36.0
2023-10-16,36.14,36.92,36.1,36.54
2023-10-17,35.92,36.345,35.07,36.065
2023-10-18,35.55,36.015,35.45,35.65
2023-10-19,35.965,36.355,35.52,35.65
2023-10-20,35.68,36.275,34.875,34.91
2023-10-23,34.655,35.18,33.395,33.87
2023-10-24,33.74,34.705,33.705,34.595
2023-10-25,34.18,34.42,32.555,32.85
2023-10-26,32.87,33.215,32.15,32.51
2023-10-27,34.645,36.38,34.63,35.56
2023-10-30,35.49,35.955,34.92,35.67
2023-10-31,35.69,36.565,35.64,36.49
2023-11-01,36.52,37.315,36.29,37.27
2023-11-02,37.55,37.82,36.92,37.695
2023-11-03,37.97,38.32,37.675,38.125
2023-11-06,38.02,38.19,37.875,37.95
2023-11-07,38.2,38.895,38.0,38.775
2023-11-08,38.89,38.89,37.755,37.92
2023-11-09,38.035,38.51,37.775,37.82
2023-11-10,38.38,38.99,38.26,38.855
2023-11-13,38.31,38.56,38.145,38.24
2023-11-14,38.83,39.485,38.07,39.43
2023-11-15,39.615,40.83,39.6,40.63
2023-11-16,41.005,43.39,40.85,43.36
2023-11-17,42.89,43.8,42.56,43.8
2023-11-20,43.835,44.92,43.795,44.74
2023-11-21,44.61,44.65,43.31,43.68
2023-11-22,44.155,44.61,43.54,43.66
2023-11-24,43.78,44.0,43.61,43.97
2023-11-27,43.71,44.535,43.71,44.09
2023-11-28,43.68,44.38,43.67,44.21
2023-11-29,44.605,45.34,44.605,44.93
2023-11-30,44.645,45.09,44.42,44.725
2023-12-01,44.33,44.335,42.875,43.73
2023-12-04,43.27,43.29,41.69,42.34
2023-12-05,41.95,42.285,41.61,41.94
2023-12-06,42.5,42.59,41.175,41.28
2023-12-07,41.73,42.43,41.19,42.12
2023-12-08,41.89,42.955,41.89,42.71
2023-12-11,43.14,44.725,43.12,44.56
2023-12-12,44.36,44.42,43.64,44.06
2023-12-13,44.08,44.72,43.34,44.58
2023-12-14,45.005,47.065,44.66,45.22
2023-12-15,45.875,47.265,45.755,46.13
2023-12-18,46.16,46.2,45.405,45.705
2023-12-19,45.57,46.68,45.57,46.66
2023-12-20,46.66,46.94,45.71,45.75
2023-12-21,46.48,47.11,46.025,47.06
