date,open,high,low,close
2023-06-01,59.905,60.16,59.78,59.995
2023-06-02,60.21,61.32,60.08,61.16
2023-06-05,61.015,61.43,60.56,60.755
2023-06-06,60.93,60.98,60.135,60.31
2023-06-07,59.99,60.35,59.845,60.22
2023-06-08,60.12,60.4,59.99,60.38
2023-06-09,60.26,60.655,60.175,60.495
2023-06-12,60.61,60.64,60.02,60.22
2023-06-13,60.22,60.67,60.055,60.455
2023-06-14,60.73,61.07,60.62,60.87
2023-06-15,60.66,61.29,60.37,61.24
2023-06-16,61.59,62.165,61.485,61.66
2023-06-20,61.64,61.955,61.245,61.27
2023-06-21,61.3,61.715,60.99,61.43
2023-06-22,61.865,62.02,61.59,61.86
2023-06-23,61.96,61.96,61.18,61.215
2023-06-26,61.175,61.285,60.4,61.24
2023-06-27,61.195,61.355,60.985,61.095
2023-06-28,60.825,61.015,60.41,60.53
2023-06-29,60.2,60.335,59.77,60.04
2023-06-30,60.01,60.345,59.89,60.21
2023-07-03,60.045,60.625,60.045,60.58
2023-07-05,60.31,61.1,60.175,61.045
2023-07-06,60.75,61.02,60.5,60.57
2023-07-07,60.335,60.485,59.73,59.77
2023-07-10,59.99,60.145,59.145,59.32
2023-07-11,59.42,59.54,58.85,59.51
2023-07-12,59.76,60.05,59.445,59.85
2023-07-13,60.105,60.455,60.055,60.35
2023-07-14,60.175,61.035,60.12,60.9
2023-07-17,60.775,61.09,60.525,60.8
2023-07-18,60.84,61.24,60.415,60.58
2023-07-19,60.88,61.785,60.825,61.655
2023-07-20,61.78,62.41,61.7,62.41
2023-07-21,62.47,62.665,62.245,62.45
2023-07-24,62.43,62.79,62.41,62.47
2023-07-25,62.295,62.375,62.045,62.28
2023-07-26,61.8,63.16,61.41,63.11
2023-07-27,63.085,63.24,62.38,62.45
2023-07-28,62.57,62.755,62.225,62.485
2023-07-31,62.375,62.425,61.74,61.94
2023-08-01,62.15,62.32,61.625,61.78
2023-08-02,61.625,62.58,61.61,61.96
2023-08-03,62.03,62.095,61.55,61.64
2023-08-04,61.68,61.875,60.62,60.72
2023-08-07,60.86,61.325,60.83,61.2
2023-08-08,61.21,61.28,60.63,60.925
2023-08-09,60.84,61.62,60.84,61.07
2023-08-10,61.36,61.71,60.795,60.91
2023-08-11,60.86,61.19,60.705,61.19
2023-08-14,61.38,61.48,60.76,60.89
2023-08-15,60.73,60.86,60.38,60.46
2023-08-16,60.57,60.815,60.41,60.47
2023-08-17,60.59,61.01,60.47,60.61
2023-08-18,60.595,61.08,60.445,60.98
2023-08-21,60.78,60.875,60.335,60.435
2023-08-22,60.33,60.57,59.975,60.065
2023-08-23,60.24,60.42,60.18,60.28
2023-08-24,60.29,60.88,60.095,60.1
2023-08-25,60.43,60.57,60.02,60.4
2023-08-28,60.56,60.71,60.375,60.56
2023-08-29,60.55,60.55,60.16,60.505
2023-08-30,60.61,60.72,60.295,60.485
2023-08-31,60.43,60.44,59.81,59.83
2023-09-01,59.995,60.11,59.125,59.3
2023-09-05,59.25,59.32,58.68,58.81
2023-09-06,58.7,58.83,58.425,58.79
2023-09-07,59.04,59.15,58.3,58.33
2023-09-08,58.32,58.4,58.01,58.34
2023-09-11,58.34,58.99,58.23,58.88
2023-09-12,58.91,58.91,58.19,58.305
2023-09-13,58.475,58.675,58.345,58.44
2023-09-14,58.27,58.585,58.195,58.46
2023-09-15,58.39,58.635,57.76,57.94
2023-09-18,58.02,58.34,57.64,58.29
2023-09-19,58.25,58.39,57.93,58.165
2023-09-20,58.32,58.825,58.09,58.43
2023-09-21,58.35,58.39,57.43,57.525
2023-09-22,57.74,57.965,57.505,57.58
2023-09-25,57.37,57.475,56.74,56.995
2023-09-26,56.71,56.895,56.4,56.53
2023-09-27,56.38,56.49,55.69,55.95
2023-09-28,56.24,56.3,55.7,55.8
2023-09-29,56.13,56.265,55.62,56.0
2023-10-02,55.87,56.0,55.08,55.46
2023-10-03,55.18,55.41,54.78,54.885
2023-10-04,54.925,55.255,54.715,55.02
2023-10-05,54.77,54.79,52.25,52.38
2023-10-06,52.03,53.29,51.55,53.14
2023-10-09,52.96,53.13,52.13,52.88
2023-10-10,54.13,54.31,53.565,54.06
2023-10-11,54.09,54.27,53.02,53.735
2023-10-12,53.725,53.8,52.435,52.81
2023-10-13,52.75,53.4,52.65,52.875
2023-10-16,53.06,53.55,52.865,53.425
2023-10-17,53.335,54.1,53.31,54.07
2023-10-18,54.15,54.525,53.93,54.06
2023-10-19,54.19,54.755,53.87,54.32
2023-10-20,54.49,55.02,54.49,54.56
2023-10-23,54.335,54.885,54.055,54.06
2023-10-24,55.66,56.135,55.31,55.63
2023-10-25,55.85,56.21,55.56,56.125
2023-10-26,56.4,56.61,55.725,55.77
2023-10-27,55.605,56.125,55.11,55.25
2023-10-30,55.51,56.275,55.505,56.15
2023-10-31,56.54,56.69,56.165,56.49
2023-11-01,56.86,56.86,56.27,56.435
2023-11-02,56.55,57.145,56.36,57.09
2023-11-03,57.48,57.58,56.7,56.74
2023-11-06,56.76,57.27,56.74,56.97
2023-11-07,56.915,57.395,56.745,57.19
2023-11-08,57.36,57.465,56.92,57.1
2023-11-09,57.06,57.07,56.375,56.67
2023-11-10,56.82,56.91,56.065,56.73
2023-11-13,56.605,57.09,56.605,56.92
2023-11-14,57.03,57.235,56.805,57.12
2023-11-15,57.3,57.32,56.75,57.22
2023-11-16,57.25,57.51,56.99,57.15
2023-11-17,57.16,57.34,56.705,57.27
2023-11-20,57.04,57.575,56.955,57.41
2023-11-21,57.52,58.035,57.35,58.035
2023-11-22,58.28,58.525,58.265,58.44
2023-11-24,58.56,58.73,58.335,58.51
2023-11-27,58.57,58.685,58.28,58.48
2023-11-28,58.4,58.825,58.4,58.58
2023-11-29,58.59,58.645,58.105,58.24
2023-11-30,57.94,58.45,57.6,58.4
2023-12-01,58.38,58.68,58.26,58.635
2023-12-04,58.6,58.95,58.45,58.575
2023-12-05,58.545,58.83,58.425,58.68
2023-12-06,58.55,58.73,58.205,58.6
2023-12-07,58.665,58.875,58.395,58.73
2023-12-08,58.72,58.73,58.365,58.62
2023-12-11,58.86,59.085,58.505,59.05
2023-12-12,59.21,59.42,58.94,59.41
2023-12-13,59.43,60.02,59.265,59.96
2023-12-14,59.84,60.03,58.77,59.05
2023-12-15,58.85,59.17,57.94,58.53
2023-12-18,58.825,59.49,58.625,59.02
2023-12-19,59.01,59.195,58.635,58.83
2023-12-20,58.455,58.64,57.57,57.61
2023-12-21,57.83,58.07,57.475,57.98
2023-12-22,58.1,58.46,58.05,58.33
2023-12-26,58.1,58.705,58.1,58.57
2023-12-27,58.63,58.76,58.405,58.71
2023-12-28,58.7,58.865,58.53,58.76
2023-12-29,58.71,58.98,58.64,58.95
2024-01-02,58.79,59.875,58.67,59.84
2024-01-03,59.95,60.195,59.81,59.94
2024-01-04,60.0,60.26,59.68,59.78
2024-01-05,59.81,59.95,59.095,59.65
2024-01-08,59.65,60.18,59.425,60.12
2024-01-09,59.88,60.11,59.635,60.0
2024-01-10,60.135,60.395,59.985,60.18
2024-01-11,60.23,60.23,59.695,59.82
2024-01-12,59.88,60.455,59.88,60.39
2024-01-16,60.37,60.425,59.855,59.98
2024-01-17,59.87,60.21,59.82,59.97
2024-01-18,59.6,60.22,59.555,60.17
2024-01-19,60.19,60.19,59.64,59.83
2024-01-22,59.755,60.065,59.445,59.57
2024-01-23,59.5,59.995,59.49,59.85
2024-01-24,59.8,59.8,58.89,58.92
2024-01-25,59.0,59.16,58.66,59.16
2024-01-26,59.315,59.49,59.125,59.36
2024-01-29,59.31,59.79,59.18,59.725
2024-01-30,59.75,60.02,59.465,59.895
2024-01-31,60.085,60.445,59.295,59.5
2024-02-01,59.58,61.0,59.38,60.99
2024-02-02,60.79,60.85,60.235,60.55
2024-02-05,60.28,60.34,59.88,60.04
2024-02-06,59.9,60.05,59.68,59.94
2024-02-07,60.11,60.2,59.945,60.0
2024-02-08,59.89,59.95,59.415,59.84
2024-02-09,59.54,59.565,59.04,59.565
2024-02-12,59.69,59.755,58.965,59.71
2024-02-13,59.61,60.6,58.79,59.345
2024-02-14,59.225,59.585,59.045,59.28
2024-02-15,59.49,59.59,59.135,59.4
2024-02-16,59.33,59.615,58.965,59.38
2024-02-20,59.6,60.835,59.53,60.73
2024-02-21,60.99,61.28,60.855,61.24
2024-02-22,60.95,61.25,60.57,61.14
2024-02-23,61.15,61.62,61.0,61.19
2024-02-26,61.24,61.24,60.66,60.7
2024-02-27,60.58,60.78,60.125,60.355
2024-02-28,60.44,60.48,60.065,60.43
2024-02-29,60.4,60.63,59.9,59.97
2024-03-01,59.85,59.85,59.345,59.53
2024-03-04,59.25,59.94,59.25,59.79
2024-03-05,59.97,60.11,59.43,59.5
2024-03-06,59.545,59.995,59.39,59.56
2024-03-07,59.74,59.74,59.25,59.47
2024-03-08,59.24,59.78,58.98,59.53
2024-03-11,59.79,60.29,59.575,60.25
2024-03-12,60.34,60.745,60.24,60.5
2024-03-13,60.88,61.21,60.81,61.125
2024-03-14,60.62,60.795,60.405,60.51
