date,open,high,low,close
2023-06-01,38.12,38.2,37.725,38.035
2023-06-02,38.325,38.65,38.16,38.36
2023-06-05,38.45,39.015,38.345,38.665
2023-06-06,38.85,38.85,38.295,38.365
2023-06-07,38.28,39.06,38.14,38.89
2023-06-08,38.99,39.18,38.75,39.09
2023-06-09,39.17,39.57,38.875,38.98
2023-06-12,39.02,40.06,38.99,39.89
2023-06-13,39.59,40.36,39.455,40.3
2023-06-14,40.29,40.29,39.315,39.355
2023-06-15,39.45,39.825,39.295,39.78
2023-06-16,39.88,40.36,39.88,40.07
2023-06-20,39.83,39.83,39.33,39.335
2023-06-21,39.11,39.24,38.76,38.885
2023-06-22,38.965,38.965,38.41,38.73
2023-06-23,38.675,38.845,38.28,38.31
2023-06-26,37.015,37.03,36.16,36.895
2023-06-27,36.96,36.985,36.285,36.41
2023-06-28,36.465,36.465,36.035,36.25
2023-06-29,35.94,36.215,35.765,36.13
2023-06-30,36.225,36.75,36.14,36.68
2023-07-03,36.46,36.745,36.36,36.63
2023-07-05,36.58,36.99,36.395,36.465
2023-07-06,36.2,36.27,35.62,35.64
2023-07-07,35.53,35.765,35.36,35.54
2023-07-10,35.585,36.0,35.55,35.68
2023-07-11,35.645,36.04,35.63,36.015
2023-07-12,36.17,36.245,35.925,35.99
2023-07-13,35.985,36.355,35.92,36.06
2023-07-14,36.31,36.485,36.005,36.33
2023-07-17,36.085,36.085,35.78,35.86
2023-07-18,35.895,36.48,35.89,36.26
2023-07-19,36.36,36.7,36.215,36.43
2023-07-20,36.4,37.065,36.36,36.765
2023-07-21,36.81,37.43,36.8,37.42
2023-07-24,37.4,37.79,37.38,37.5
2023-07-25,37.38,37.71,37.045,37.05
2023-07-26,36.84,37.345,36.77,37.22
2023-07-27,36.855,37.0,36.18,36.21
2023-07-28,36.38,36.425,36.03,36.05
2023-07-31,36.155,36.155,35.925,36.06
2023-08-01,35.92,36.91,35.37,35.63
2023-08-02,35.67,35.88,35.28,35.34
2023-08-03,35.19,35.28,34.925,35.0
2023-08-04,34.89,35.335,34.665,35.04
2023-08-07,34.98,35.85,34.9,35.68
2023-08-08,36.25,36.34,35.395,35.625
2023-08-09,35.6,36.055,35.52,35.84
2023-08-10,35.885,36.09,35.6,35.74
2023-08-11,35.62,36.28,35.605,36.05
2023-08-14,35.86,36.5,35.86,36.07
2023-08-15,35.86,35.9,35.365,35.39
2023-08-16,35.14,35.645,35.0,35.505
2023-08-17,35.64,36.71,35.61,36.49
2023-08-18,36.43,36.85,36.325,36.69
2023-08-21,36.75,37.18,36.645,37.015
2023-08-22,36.97,37.15,36.555,36.845
2023-08-23,37.09,37.13,36.56,36.68
2023-08-24,36.495,36.635,36.075,36.16
2023-08-25,36.13,36.685,35.965,36.385
2023-08-28,36.36,36.49,36.03,36.2
2023-08-29,36.34,36.93,36.005,36.155
2023-08-30,36.18,36.245,35.825,35.91
