date,open,high,low,close
2023-06-01,6.69,7.26,6.64,6.815
2023-06-02,7.1,7.1,6.71,7.02
2023-06-05,7.11,7.585,7.08,7.25
2023-06-06,7.18,7.755,7.16,7.655
2023-06-07,7.84,7.995,7.645,7.725
2023-06-08,7.66,8.2,7.66,8.13
2023-06-09,8.255,8.81,8.11,8.175
2023-06-12,8.45,9.3,8.41,9.18
2023-06-13,9.51,9.605,8.9,9.535
2023-06-14,9.79,10.21,9.3,9.735
2023-06-15,9.17,9.575,8.885,9.56
2023-06-16,8.91,9.17,8.5,8.58
2023-06-20,8.265,8.64,8.2,8.585
2023-06-21,8.5,8.755,8.34,8.635
2023-06-22,8.54,8.68,8.35,8.485
2023-06-23,7.89,8.29,7.71,8.285
2023-06-26,8.25,8.66,8.15,8.21
2023-06-27,8.38,8.72,8.32,8.635
2023-06-28,8.585,9.085,8.58,8.87
2023-06-29,9.09,9.265,8.6,8.72
2023-06-30,8.935,9.395,8.325,8.35
2023-07-03,8.38,8.63,8.355,8.53
2023-07-05,8.52,8.675,8.31,8.39
2023-07-06,8.21,8.245,7.86,8.105
2023-07-07,8.095,8.29,8.035,8.06
2023-07-10,8.095,8.72,8.04,8.705
2023-07-11,8.8,9.195,8.765,9.065
2023-07-12,9.34,9.38,9.0,9.205
2023-07-13,8.91,9.24,8.77,9.165
2023-07-14,9.245,9.45,8.94,9.08
2023-07-17,9.04,9.79,8.995,9.475
2023-07-18,9.555,9.735,9.435,9.56
2023-07-19,9.72,10.125,9.65,9.85
2023-07-20,9.62,9.985,9.37,9.565
2023-07-21,9.645,9.69,9.27,9.435
2023-07-24,9.4,9.55,9.295,9.45
2023-07-25,9.4,9.775,9.315,9.32
2023-07-26,9.265,9.54,9.21,9.52
2023-07-27,9.705,9.725,8.94,9.1
2023-07-28,9.355,9.59,9.16,9.535
2023-07-31,10.38,11.69,10.3,11.44
2023-08-01,11.06,11.1,10.31,10.345
2023-08-02,10.105,10.255,9.72,10.07
2023-08-03,9.91,10.16,9.86,10.05
2023-08-04,10.025,10.095,9.475,9.51
2023-08-07,9.49,9.56,9.16,9.4
2023-08-08,9.06,9.45,9.02,9.315
2023-08-09,9.23,9.24,8.8,8.985
2023-08-10,9.08,9.235,8.72,8.72
2023-08-11,8.505,8.7,8.43,8.65
2023-08-14,8.515,8.71,8.36,8.67
2023-08-15,8.56,8.575,8.34,8.37
2023-08-16,8.225,8.425,8.225,8.265
2023-08-17,8.37,8.4,8.08,8.115
2023-08-18,7.93,8.29,7.9,8.215
2023-08-21,8.25,8.33,8.085,8.28
2023-08-22,8.425,8.455,8.115,8.14
2023-08-23,8.09,8.47,8.08,8.435
2023-08-24,8.46,8.46,8.08,8.13
2023-08-25,8.125,8.425,8.06,8.3
2023-08-28,8.34,8.41,8.17,8.24
2023-08-29,8.185,8.575,8.165,8.45
2023-08-30,8.43,8.775,8.365,8.735
2023-08-31,8.805,8.87,8.525,8.655
2023-09-01,8.78,8.92,8.74,8.79
2023-09-05,8.765,8.87,8.625,8.755
2023-09-06,8.725,8.8,8.43,8.545
2023-09-07,8.37,8.58,8.22,8.57
2023-09-08,8.6,8.665,8.45,8.56
2023-09-11,8.68,8.92,8.66,8.9
2023-09-12,8.865,9.18,8.84,9.005
2023-09-13,9.0,9.075,8.77,8.795
2023-09-14,8.93,9.175,8.87,9.05
2023-09-15,9.015,9.14,8.88,9.065
2023-09-18,9.045,9.045,8.64,8.675
2023-09-19,8.66,8.865,8.54,8.62
2023-09-20,8.68,8.785,8.31,8.315
2023-09-21,8.1,8.15,7.915,7.96
2023-09-22,8.03,8.045,7.44,7.555
2023-09-25,7.45,7.65,7.4,7.505
2023-09-26,7.39,7.59,7.38,7.405
2023-09-27,7.53,7.65,7.39,7.605
2023-09-28,7.605,7.84,7.535,7.775
2023-09-29,7.915,8.3,7.915,7.995
2023-10-02,8.05,8.155,7.8,7.835
2023-10-03,7.67,7.735,7.185,7.285
2023-10-04,7.4,7.485,7.14,7.48
2023-10-05,7.43,7.705,7.3,7.66
2023-10-06,7.565,8.025,7.565,7.98
2023-10-09,7.78,8.195,7.78,8.175
2023-10-10,8.245,8.53,8.23,8.365
2023-10-11,8.47,8.72,8.47,8.585
2023-10-12,8.635,8.655,8.28,8.385
2023-10-13,8.43,8.46,8.07,8.115
2023-10-16,8.22,8.345,8.09,8.23
2023-10-17,8.17,8.355,8.095,8.245
2023-10-18,8.15,8.24,7.69,7.765
2023-10-19,7.735,7.97,7.6,7.625
2023-10-20,7.555,7.67,7.32,7.365
2023-10-23,7.275,7.49,6.97,7.255
2023-10-24,7.4,7.565,7.26,7.37
2023-10-25,7.25,7.25,7.02,7.085
2023-10-26,7.005,7.17,6.795,6.895
2023-10-27,7.065,7.08,6.85,6.87
2023-10-30,7.585,7.87,6.68,6.935
2023-10-31,7.1,7.57,7.05,7.555
2023-11-01,7.69,7.745,7.35,7.58
2023-11-02,7.905,8.195,7.885,8.18
2023-11-03,8.295,8.465,8.005,8.01
2023-11-06,8.045,8.055,7.375,7.49
2023-11-07,7.505,7.585,7.33,7.415
2023-11-08,7.375,7.375,7.135,7.3
2023-11-09,7.165,7.165,6.575,6.84
2023-11-10,6.915,6.95,6.74,6.925
2023-11-13,6.85,7.105,6.72,7.045
2023-11-14,7.385,7.525,7.23,7.49
2023-11-15,7.37,7.495,7.225,7.365
2023-11-16,7.285,7.285,6.635,6.705
2023-11-17,6.755,6.88,6.65,6.825
2023-11-20,6.765,6.765,6.56,6.615
2023-11-21,6.53,6.725,6.41,6.715
2023-11-22,6.83,7.025,6.71,6.905
2023-11-24,6.91,6.94,6.79,6.85
2023-11-27,6.865,7.19,6.865,7.035
2023-11-28,7.055,7.35,7.0,7.33
2023-11-29,7.45,7.73,7.31,7.34
2023-11-30,7.395,7.395,7.1,7.3
2023-12-01,7.245,7.93,7.17,7.825
2023-12-04,7.7,8.25,7.68,7.955
2023-12-05,7.86,8.03,7.755,7.995
2023-12-06,8.18,8.45,7.86,7.885
2023-12-07,7.98,8.14,7.88,7.955
2023-12-08,7.89,8.22,7.89,8.13
2023-12-11,8.13,8.27,8.01,8.07
2023-12-12,8.065,8.085,7.83,7.95
2023-12-13,7.985,8.955,7.84,8.95
2023-12-14,9.1,9.84,9.095,9.485
2023-12-15,9.53,9.56,9.14,9.35
2023-12-18,9.24,9.785,9.22,9.66
2023-12-19,9.775,9.99,9.66,9.945
2023-12-20,10.0,10.15,9.235,9.305
2023-12-21,9.5,9.67,9.395,9.645
2023-12-22,9.76,9.87,9.59,9.72
2023-12-26,9.78,9.99,9.78,9.96
2023-12-27,10.02,10.485,10.02,10.32
2023-12-28,10.25,10.385,10.19,10.28
2023-12-29,10.23,10.29,9.81,9.945
2024-01-02,9.66,9.8,9.52,9.64
2024-01-03,8.81,9.02,8.28,8.31
2024-01-04,8.36,8.58,8.175,8.415
2024-01-05,8.24,8.495,8.16,8.225
2024-01-08,8.26,8.61,8.235,8.535
2024-01-09,8.39,8.52,8.28,8.33
2024-01-10,8.315,8.6,8.145,8.475
2024-01-11,8.37,8.415,8.06,8.16
2024-01-12,8.225,8.3,7.81,7.885
2024-01-16,7.76,7.85,7.615,7.715
2024-01-17,7.51,7.58,7.37,7.525
2024-01-18,7.625,7.625,7.23,7.405
2024-01-19,7.46,7.5,7.21,7.495
2024-01-22,7.835,8.33,7.73,7.93
2024-01-23,8.11,8.11,7.73,7.755
2024-01-24,7.86,7.935,7.535,7.56
2024-01-25,7.645,7.75,7.555,7.66
2024-01-26,7.69,7.83,7.52,7.61
2024-01-29,8.8,9.45,8.62,9.15
2024-01-30,8.98,9.4,8.38,8.4
2024-01-31,8.11,8.335,7.81,7.835
2024-02-01,7.92,7.95,7.575,7.735
2024-02-02,7.57,7.95,7.475,7.875
2024-02-05,7.7,7.71,7.45,7.575
2024-02-06,7.58,7.88,7.54,7.8
2024-02-07,7.795,7.8,7.57,7.67
2024-02-08,7.745,8.14,7.675,8.07
2024-02-09,8.185,8.335,8.085,8.115
2024-02-12,8.15,8.5,8.15,8.33
2024-02-13,7.81,8.2,7.785,8.02
2024-02-14,8.14,8.43,8.1,8.43
2024-02-15,8.495,8.54,8.35,8.525
2024-02-16,8.47,8.57,8.275,8.36
2024-02-20,8.25,8.52,8.21,8.52
2024-02-21,8.31,8.335,8.1,8.11
2024-02-22,8.195,8.34,8.145,8.15
2024-02-23,8.17,8.36,8.12,8.17
2024-02-26,8.21,8.69,8.19,8.54
2024-02-27,8.75,9.17,8.71,9.145
2024-02-28,9.04,9.175,8.835,8.85
2024-02-29,9.085,9.13,8.82,9.005
2024-03-01,8.98,9.035,8.77,8.98
2024-03-04,9.05,9.125,8.57,8.575
2024-03-05,8.06,8.155,7.26,7.26
2024-03-06,7.365,7.615,7.05,7.395
2024-03-07,7.48,7.57,7.18,7.48
2024-03-08,7.505,7.825,7.47,7.72
2024-03-11,7.805,7.945,7.61,7.68
2024-03-12,7.68,7.68,7.38,7.475
2024-03-13,7.4,7.555,7.36,7.39
2024-03-14,7.33,7.33,6.99,7.05
2024-03-15,7.0,7.04,6.91,7.02
2024-03-18,7.065,7.11,6.86,7.09
2024-03-19,6.9,7.025,6.815,6.915
2024-03-20,6.9,7.37,6.87,7.36
2024-03-21,7.535,7.57,7.365,7.43
2024-03-22,7.3,7.395,7.25,7.29
2024-03-25,7.3,7.585,7.3,7.455
2024-03-26,7.35,7.46,7.165,7.2
2024-03-27,7.295,7.37,7.17,7.37
2024-03-28,7.34,7.46,7.29,7.29
2024-04-01,7.31,7.33,7.12,7.215
2024-04-02,7.04,7.22,6.97,7.195
2024-04-03,7.305,7.58,7.245,7.535
2024-04-04,7.665,7.705,7.275,7.315
2024-04-05,7.3,7.46,7.26,7.4
2024-04-08,7.51,7.77,7.505,7.76
2024-04-09,7.82,7.94,7.735,7.9
2024-04-10,7.62,7.8,7.485,7.55
2024-04-11,7.565,7.64,7.43,7.64
2024-04-12,7.57,7.59,7.305,7.325
2024-04-15,7.325,7.405,7.085,7.13
2024-04-16,7.0,7.275,6.97,7.21
2024-04-17,7.235,7.34,7.12,7.155
2024-04-18,7.17,7.38,7.08,7.135
2024-04-19,7.085,7.28,7.055,7.12
2024-04-22,7.185,7.285,7.105,7.26
2024-04-23,7.27,7.59,7.27,7.585
2024-04-24,7.6,7.67,7.465,7.6
2024-04-25,7.425,7.6,7.26,7.595
2024-04-26,7.63,7.9,7.585,7.89
2024-04-29,7.33,7.445,7.0,7.045
2024-04-30,6.87,6.87,6.61,6.77
2024-05-01,6.67,7.18,6.665,6.91
2024-05-02,7.055,7.1,6.87,6.99
2024-05-03,7.125,7.23,6.88,6.955
2024-05-06,7.09,7.265,7.065,7.155
2024-05-07,7.125,7.185,7.03,7.055
2024-05-08,6.96,7.08,6.945,7.045
2024-05-09,7.1,7.105,6.99,7.055
2024-05-10,7.075,7.075,6.93,6.935
2024-05-13,7.015,7.315,7.005,7.105
2024-05-14,7.22,7.635,7.22,7.47
2024-05-15,7.6,7.61,7.22,7.275
2024-05-16,7.25,7.295,7.11,7.125
2024-05-17,7.145,7.41,7.12,7.275
2024-05-20,7.28,7.28,7.17,7.195
2024-05-21,7.18,7.18,7.055,7.075
2024-05-22,7.04,7.135,6.97,7.01
2024-05-23,7.015,7.015,6.78,6.82
2024-05-24,6.89,6.995,6.89,6.91
2024-05-28,7.005,7.05,6.875,6.885
2024-05-29,6.775,6.85,6.7,6.85
2024-05-30,6.835,6.925,6.81,6.905
2024-05-31,6.94,6.98,6.765,6.895
2024-06-03,6.965,6.99,6.755,6.755
2024-06-04,6.745,6.855,6.71,6.71
2024-06-05,6.76,6.93,6.73,6.91
2024-06-06,6.905,7.09,6.845,7.09
2024-06-07,6.94,7.045,6.87,6.985
2024-06-10,6.895,7.07,6.89,7.03
2024-06-11,6.99,7.02,6.905,6.99
2024-06-12,7.19,7.42,7.05,7.075
2024-06-13,7.11,7.115,6.775,6.795
2024-06-14,6.71,6.765,6.43,6.46
2024-06-17,6.455,6.48,6.305,6.455
2024-06-18,6.46,6.6,6.39,6.41
2024-06-20,6.41,6.44,6.265,6.325
2024-06-21,6.3,6.345,6.2,6.315
2024-06-24,6.31,6.57,6.31,6.55
2024-06-25,6.53,6.53,6.415,6.46
2024-06-26,6.415,6.475,6.36,6.465
2024-06-27,6.405,6.54,6.365,6.535
2024-06-28,6.59,6.65,6.535,6.62
2024-07-01,6.66,6.66,6.42,6.42
2024-07-02,6.41,6.48,6.295,6.46
2024-07-03,6.475,6.545,6.425,6.515
2024-07-05,6.47,6.505,6.385,6.47
2024-07-08,6.495,6.525,6.35,6.36
2024-07-09,6.345,6.38,6.15,6.375
2024-07-10,6.425,6.62,6.32,6.565
2024-07-11,6.83,6.925,6.69,6.765
2024-07-12,6.895,7.0,6.82,6.965
2024-07-15,7.065,7.425,7.015,7.34
2024-07-16,7.44,7.82,7.345,7.75
2024-07-17,7.58,7.91,7.58,7.845
2024-07-18,7.87,8.06,7.49,7.53
2024-07-19,7.495,7.61,7.325,7.47
2024-07-22,7.58,7.605,7.34,7.545
2024-07-23,7.5,7.66,7.425,7.44
2024-07-24,7.355,7.495,7.09,7.105
2024-07-25,7.01,7.405,7.01,7.275
2024-07-26,7.475,7.49,7.29,7.41
2024-07-29,7.46,7.51,7.23,7.325
2024-07-30,7.585,7.92,7.1,7.43
2024-07-31,7.48,7.83,7.28,7.56
2024-08-01,7.59,7.655,7.07,7.165
2024-08-02,6.915,6.945,6.6,6.66
2024-08-05,6.025,6.79,6.01,6.54
2024-08-06,6.555,6.6,6.395,6.43
2024-08-07,6.6,6.745,6.31,6.32
2024-08-08,6.465,6.71,6.42,6.64
2024-08-09,6.66,6.72,6.56,6.64
2024-08-12,6.615,6.665,6.47,6.48
2024-08-13,6.52,6.65,6.5,6.65
2024-08-14,6.755,6.78,6.565,6.6
2024-08-15,6.75,6.96,6.7,6.92
2024-08-16,6.915,7.075,6.9,7.005
2024-08-19,7.12,7.495,7.11,7.455
2024-08-20,7.39,7.51,7.285,7.36
2024-08-21,7.4,7.435,7.13,7.295
2024-08-22,7.29,7.335,7.185,7.19
2024-08-23,7.23,7.56,7.19,7.51
2024-08-26,7.59,7.785,7.56,7.67
2024-08-27,7.6,7.885,7.545,7.775
2024-08-28,7.7,7.72,7.415,7.48
2024-08-29,7.65,8.3,7.65,8.02
2024-08-30,8.11,8.225,7.81,8.0
2024-09-03,7.89,7.91,7.48,7.53
2024-09-04,7.46,7.755,7.44,7.48
2024-09-05,7.54,7.635,7.24,7.26
2024-09-06,7.315,7.39,6.92,7.005
2024-09-09,7.06,7.21,7.03,7.085
2024-09-10,7.15,7.15,6.755,7.05
2024-09-11,7.02,7.345,6.96,7.32
2024-09-12,7.325,7.51,7.245,7.45
2024-09-13,7.565,7.74,7.545,7.73
