occ,underlying,leg,entry,credit,exit,exit_px,exit_kind,pnl
SOFI250822P00020000,SOFI,BUY_PUT,2025-08-04,0.58,2025-08-08,0.221,take_profit,698.0
COIN250822P00300000,COIN,BUY_PUT,2025-08-05,16.008,2025-08-11,5.145,take_profit,1085.25
SOFI250905P00023000,SOFI,BUY_PUT,2025-08-19,0.475,2025-08-26,0.179,take_profit,487.05
WBD250926P00011000,WBD,BUY_PUT,2025-08-26,0.199,2025-09-09,0.074,take_profit,11.6
AMD250912P00162500,AMD,PUT,2025-08-12,3.847,2025-09-12,0,ASSIGN,768.5
SOFI251003P00023000,SOFI,BUY_PUT,2025-09-03,0.722,2025-09-15,0.242,take_profit,799.85
WBD251010P00018000,WBD,BUY_PUT,2025-09-16,1.188,2025-09-23,0.483,take_profit,1527.9
AMD251010C00175000,AMD,BUY_CC,2025-09-16,2.755,2025-09-29,1.05,cc_take_profit,339.0
WBD251010P00018000,WBD,PUT,2025-09-30,0.418,2025-10-10,0,ASSIGN,949.9
SOFI251024P00027500,SOFI,BUY_PUT,2025-09-23,1.045,2025-10-21,0.441,take_profit,712.8
BABA251107P00157500,BABA,BUY_PUT,2025-10-14,6.175,2025-10-21,3.15,take_profit,603.0
INTC251114P00035000,INTC,BUY_PUT,2025-10-21,1.52,2025-10-28,0.473,take_profit,415.0
AMD251031C00180000,AMD,CALL,2025-09-30,2.992,2025-10-31,0,CALLED,597.5
NOK251114P00007000,NOK,BUY_PUT,2025-11-04,0.237,2025-11-13,0.105,take_profit,845.25
WBD251121C00023000,WBD,CALL,2025-10-28,0.247,2025-11-21,0,CALLED,556.6
MU251128P00237500,MU,PUT,2025-11-11,8.55,2025-11-28,0,ASSIGN,854.5
WBD251205P00022000,WBD,BUY_PUT,2025-11-25,0.399,2025-12-01,0.2,take_profit,151.6
MU251212C00262500,MU,BUY_CC,2025-12-02,3.486,2025-12-04,0.956,cc_take_profit,252.1
WBD251226P00022000,WBD,BUY_PUT,2025-12-02,0.427,2025-12-09,0.095,take_profit,646.0
NOK251219P00006000,NOK,BUY_PUT,2025-12-09,0.048,2025-12-12,0.021,take_profit,4.95
AMD251212P00225000,AMD,PUT,2025-11-18,9.405,2025-12-12,0,ASSIGN,1880.0
MU251219C00275000,MU,BUY_CC,2025-12-09,4.987,2025-12-16,1.522,cc_take_profit,345.5
WBD251226P00029000,WBD,BUY_PUT,2025-12-16,0.427,2025-12-24,0.095,take_profit,549.1
GM260109P00081000,GM,BUY_PUT,2025-12-23,0.883,2026-01-06,0.42,take_profit,226.75
AMD260116C00235000,AMD,BUY_CC,2025-12-23,2.897,2026-01-07,0.956,cc_take_profit,386.4
MU260109C00300000,MU,CALL,2025-12-23,4.189,2026-01-09,0,CALLED,418.45
WBD260116P00028000,WBD,BUY_PUT,2025-12-30,0.389,2026-01-12,0.126,take_profit,456.3
MU260123P00330000,MU,BUY_PUT,2026-01-13,4.94,2026-01-21,0.735,take_profit,419.5
GM260130P00072000,GM,PUT,2026-01-21,0.427,2026-01-30,0,EXPIRE,42.25
