date,equity
2024-03-01,100000.0
2024-03-04,99651.9
2024-03-05,98366.3
2024-03-06,98772.3
2024-03-07,98930.3
2024-03-08,99538.3
2024-03-11,99508.3
2024-03-12,99544.3
2024-03-13,99154.3
2024-03-14,98358.3
2024-03-15,98398.3
2024-03-18,98664.3
2024-03-19,98528.3
2024-03-20,99372.3
2024-03-21,100034.3
2024-03-22,99368.1
2024-03-25,99720.1
2024-03-26,99258.4
2024-03-27,99739.4
2024-03-28,99612.6
2024-04-01,99555.6
2024-04-02,99308.8
2024-04-03,99586.8
2024-04-04,98860.8
2024-04-05,98698.8
2024-04-08,99406.8
2024-04-09,99727.6
2024-04-10,98514.6
2024-04-11,99063.6
2024-04-12,97389.95
2024-04-15,97121.55
2024-04-16,97197.25
2024-04-17,96933.25
2024-04-18,96502.25
2024-04-19,96516.25
2024-04-22,97450.25
2024-04-23,98347.75
2024-04-24,98344.15
2024-04-25,98603.15
2024-04-26,97554.15
2024-04-29,96627.15
2024-04-30,95424.45
2024-05-01,95738.45
2024-05-02,96076.45
2024-05-03,96277.45
2024-05-06,96986.45
2024-05-07,96553.25
2024-05-08,96253.25
2024-05-09,96389.25
2024-05-10,96083.25
2024-05-13,97143.75
2024-05-14,98236.4
2024-05-15,98044.4
2024-05-16,98069.0
2024-05-17,98291.0
2024-05-20,98223.0
2024-05-21,97977.45
2024-05-22,97357.45
2024-05-23,96092.45
2024-05-24,96936.45
2024-05-28,96651.45
2024-05-29,95775.3
2024-05-30,96298.3
2024-05-31,96678.3
2024-06-03,95998.3
2024-06-04,95946.2
2024-06-05,97203.2
2024-06-06,97269.2
2024-06-07,96913.2
2024-06-10,97237.2
2024-06-11,96857.95
2024-06-12,96892.95
2024-06-13,96027.95
2024-06-14,94777.95
2024-06-17,95028.95
2024-06-18,95049.25
2024-06-20,94809.25
2024-06-21,94550.25
2024-06-24,95435.25
2024-06-25,94981.6
2024-06-26,94841.6
2024-06-27,94882.6
2024-06-28,95265.6
2024-07-01,94917.6
2024-07-02,95565.3
2024-07-03,96435.3
2024-07-05,96446.65
2024-07-08,96808.65
2024-07-09,97472.1
2024-07-10,98151.1
2024-07-11,98586.1
2024-07-12,99795.85
2024-07-15,100255.65
2024-07-16,100803.55
2024-07-17,100431.55
2024-07-18,99839.55
2024-07-19,98246.55
2024-07-22,99373.55
2024-07-23,98440.55
2024-07-24,96564.25
2024-07-25,93330.35
2024-07-26,94132.35
2024-07-29,93735.35
2024-07-30,92919.15
2024-07-31,94220.65
2024-08-01,91121.15
2024-08-02,84692.15
2024-08-05,82848.15
2024-08-06,82934.15
2024-08-07,82405.15
2024-08-08,85433.15
2024-08-09,85511.65
2024-08-12,84884.15
2024-08-13,86413.15
2024-08-14,86263.15
2024-08-15,88769.15
2024-08-16,90006.15
2024-08-19,91855.15
2024-08-20,90816.0
2024-08-21,91614.0
2024-08-22,90548.0
2024-08-23,92316.0
2024-08-26,91310.0
2024-08-27,91457.0
2024-08-28,89974.0
2024-08-29,91514.0
2024-08-30,92915.0
2024-09-03,90118.0
2024-09-04,89883.0
2024-09-05,89204.7
2024-09-06,87660.7
2024-09-09,88100.7
2024-09-10,87238.2
2024-09-11,88741.2
2024-09-12,89347.2
2024-09-13,90532.2
2024-09-16,91558.2
2024-09-17,92510.6
2024-09-18,92509.6
2024-09-19,93368.1
2024-09-20,93593.6
2024-09-23,93852.6
2024-09-24,93783.1
2024-09-25,92834.1
2024-09-26,94836.05
2024-09-27,95300.05
2024-09-30,93794.05
2024-10-01,92979.1
2024-10-02,92779.1
2024-10-03,93089.6
2024-10-04,94409.1
2024-10-07,94199.6
2024-10-08,94776.6
2024-10-09,95591.6
2024-10-10,96039.6
2024-10-11,96734.6
2024-10-14,97376.6
2024-10-15,96422.1
2024-10-16,97257.1
2024-10-17,97590.6
2024-10-18,97681.6
2024-10-21,97204.6
2024-10-22,97782.1
2024-10-23,97149.1
2024-10-24,97922.1
2024-10-25,98102.1
2024-10-28,98762.1
2024-10-29,97797.7
2024-10-30,97296.2
2024-10-31,96292.7
2024-11-01,96869.7
2024-11-04,97020.7
2024-11-05,98088.6
2024-11-06,99976.6
2024-11-07,100599.1
2024-11-08,100319.1
2024-11-11,99922.1
2024-11-12,98598.1
2024-11-13,98380.1
2024-11-14,98334.1
2024-11-15,97399.6
2024-11-18,98085.1
2024-11-19,96532.1
2024-11-20,96488.1
2024-11-21,96801.1
2024-11-22,97294.1
2024-11-25,98261.1
2024-11-26,97200.0
2024-11-27,96839.0
2024-11-29,97153.0
2024-12-02,96740.5
2024-12-03,96172.0
2024-12-04,95703.0
2024-12-05,95193.1
2024-12-06,95210.1
2024-12-09,96627.1
2024-12-10,95704.05
2024-12-11,95790.05
2024-12-12,95916.05
2024-12-13,96082.3
2024-12-16,96124.3
2024-12-17,96244.0
