date,equity
2024-03-01,100000.0
2024-03-04,100000.0
2024-03-05,100000.0
2024-03-06,100000.0
2024-03-07,100000.0
2024-03-08,100000.0
2024-03-11,100000.0
2024-03-12,100000.0
2024-03-13,100000.0
2024-03-14,100000.0
2024-03-15,100000.0
2024-03-18,100000.0
2024-03-19,100000.0
2024-03-20,100000.0
2024-03-21,100000.0
2024-03-22,100000.0
2024-03-25,100000.0
2024-03-26,99806.25
2024-03-27,99436.25
2024-03-28,99829.25
2024-04-01,99436.25
2024-04-02,99189.0
2024-04-03,100051.0
2024-04-04,99886.0
2024-04-05,99443.0
2024-04-08,100470.0
2024-04-09,99834.0
2024-04-10,100058.0
2024-04-11,101396.0
2024-04-12,100946.65
2024-04-15,100946.65
2024-04-16,100932.65
2024-04-17,100760.65
2024-04-18,100975.65
2024-04-19,100648.65
2024-04-22,101290.65
2024-04-23,101802.9
2024-04-24,101734.4
2024-04-25,101755.4
2024-04-26,101938.4
2024-04-29,101936.45
2024-04-30,100998.95
2024-05-01,102054.95
2024-05-02,102898.95
2024-05-03,103582.95
2024-05-06,103733.25
2024-05-07,103414.25
2024-05-08,103315.25
2024-05-09,103410.25
2024-05-10,103018.25
2024-05-13,103006.25
2024-05-14,102941.15
2024-05-15,104286.15
2024-05-16,103268.15
2024-05-17,103802.15
2024-05-20,104720.15
2024-05-21,104712.3
2024-05-22,104497.8
2024-05-23,104294.8
2024-05-24,104389.8
2024-05-28,104336.8
2024-05-29,104363.3
2024-05-30,103888.3
2024-05-31,103498.3
2024-06-03,103923.3
2024-06-04,103690.2
2024-06-05,104975.2
2024-06-06,104968.9
2024-06-07,105086.9
2024-06-10,105136.4
2024-06-11,104914.6
2024-06-12,105302.6
2024-06-13,105371.1
2024-06-14,104799.6
2024-06-17,105325.6
2024-06-18,105447.5
2024-06-20,105477.0
2024-06-21,105383.0
2024-06-24,105675.0
2024-06-25,105308.6
2024-06-26,105439.1
2024-06-27,105797.1
2024-06-28,105752.1
2024-07-01,105804.6
2024-07-02,106275.0
2024-07-03,106538.3
2024-07-05,106682.3
2024-07-08,106597.8
2024-07-09,106604.4
2024-07-10,107049.4
2024-07-11,107048.4
2024-07-12,107413.4
2024-07-15,107477.9
2024-07-16,107528.0
2024-07-17,106975.6
2024-07-18,106888.6
2024-07-19,106534.1
2024-07-22,107039.6
2024-07-23,105732.7
2024-07-24,104898.7
2024-07-25,103222.25
2024-07-26,103102.75
2024-07-29,103309.75
2024-07-30,102598.15
2024-07-31,103234.15
2024-08-01,101720.65
2024-08-02,93663.15
2024-08-05,90628.15
2024-08-06,90688.15
2024-08-07,89991.15
2024-08-08,93505.65
2024-08-09,94142.65
2024-08-12,94213.65
2024-08-13,95244.95
2024-08-14,94235.95
2024-08-15,96631.95
2024-08-16,96575.95
2024-08-19,97831.8
2024-08-20,97601.6
2024-08-21,98045.6
2024-08-22,97361.6
2024-08-23,98867.6
2024-08-26,98588.6
2024-08-27,99023.1
2024-08-28,97775.6
2024-08-29,98376.6
2024-08-30,98918.1
2024-09-03,96982.6
2024-09-04,96859.6
2024-09-05,97213.6
2024-09-06,96160.1
2024-09-09,96033.6
2024-09-10,94807.35
2024-09-11,95901.35
2024-09-12,98066.35
2024-09-13,98748.85
2024-09-16,99464.35
2024-09-17,99347.35
2024-09-18,100961.35
2024-09-19,102369.85
2024-09-20,102493.35
2024-09-23,102420.35
2024-09-24,103666.65
2024-09-25,102332.65
2024-09-26,102291.7
2024-09-27,103778.7
2024-09-30,102061.7
2024-10-01,101136.85
2024-10-02,102598.85
2024-10-03,102312.35
2024-10-04,102828.85
2024-10-07,101976.85
2024-10-08,102498.6
2024-10-09,103625.6
2024-10-10,103722.6
2024-10-11,105368.6
2024-10-14,105482.6
2024-10-15,103959.1
2024-10-16,103987.1
2024-10-17,102497.6
2024-10-18,103180.6
2024-10-21,102111.6
2024-10-22,102322.35
2024-10-23,102148.35
2024-10-24,102126.35
2024-10-25,103090.35
2024-10-28,105261.35
2024-10-29,105253.15
2024-10-30,110825.65
2024-10-31,109120.15
2024-11-01,110335.75
2024-11-04,109304.75
2024-11-05,109936.95
2024-11-06,108675.95
2024-11-07,111578.55
2024-11-08,108257.55
2024-11-11,108500.05
2024-11-12,105230.0
2024-11-13,104900.0
2024-11-14,103258.5
2024-11-15,102121.5
2024-11-18,102097.0
2024-11-19,100810.45
2024-11-20,100478.45
2024-11-21,99964.45
2024-11-22,103216.45
2024-11-25,104940.15
2024-11-26,104011.4
2024-11-27,106141.4
2024-11-29,106589.7
2024-12-02,107734.2
2024-12-03,109346.1
2024-12-04,109256.05
2024-12-05,107320.05
2024-12-06,109332.05
2024-12-09,111395.05
2024-12-10,110078.65
2024-12-11,109869.65
2024-12-12,107975.45
2024-12-13,107858.45
2024-12-16,107585.05
2024-12-17,107731.7
2024-12-18,106368.7
2024-12-19,106840.7
2024-12-20,107875.7
2024-12-23,107899.2
2024-12-24,108343.2
2024-12-26,108789.2
2024-12-27,107413.2
2024-12-30,106751.2
2024-12-31,106420.0
2025-01-02,106846.0
2025-01-03,110741.0
2025-01-06,113015.0
2025-01-07,110897.2
2025-01-08,108952.2
2025-01-10,108674.2
2025-01-13,107155.2
2025-01-14,106286.0
2025-01-15,109841.0
2025-01-16,108231.5
2025-01-17,108462.5
2025-01-21,108218.5
2025-01-22,107853.15
2025-01-23,108603.65
2025-01-24,110670.15
2025-01-27,109970.65
2025-01-28,113358.15
2025-01-29,114790.35
2025-01-30,116147.35
2025-01-31,114422.35
2025-02-03,113236.6
2025-02-04,115677.85
2025-02-05,112306.35
2025-02-06,111849.1
2025-02-07,113464.1
2025-02-10,114453.1
2025-02-11,114216.15
2025-02-12,114918.15
2025-02-13,117932.15
2025-02-14,118902.15
2025-02-18,120110.15
2025-02-19,117759.3
2025-02-20,115873.8
2025-02-21,114057.3
2025-02-24,111648.8
2025-02-25,109956.75
2025-02-26,110006.75
2025-02-27,108175.75
2025-02-28,109226.75
2025-03-03,108440.75
2025-03-04,106063.0
2025-03-05,107052.0
2025-03-06,105905.0
2025-03-07,107679.0
2025-03-10,103037.0
2025-03-11,102208.5
2025-03-12,103646.0
2025-03-13,101147.0
2025-03-14,104590.0
2025-03-17,106296.0
2025-03-18,104193.25
2025-03-19,106057.25
