date,open,high,low,close
2023-06-01,207.7,210.45,206.18,209.05
2023-06-02,215.03,227.755,214.605,226.605
2023-06-05,226.94,227.42,221.29,222.47
2023-06-06,221.59,228.015,221.59,226.72
2023-06-07,227.855,236.34,226.33,235.66
2023-06-08,235.015,236.215,232.095,234.61
2023-06-09,235.715,235.715,231.45,235.09
2023-06-12,235.3,238.78,233.42,238.02
2023-06-13,240.26,246.68,240.03,245.43
2023-06-14,246.86,248.185,241.71,243.26
2023-06-15,243.94,248.34,243.74,247.72
2023-06-16,249.415,250.59,245.0,245.27
2023-06-20,242.29,243.15,240.58,241.155
2023-06-21,238.705,245.205,238.635,241.51
2023-06-22,239.725,239.725,236.25,237.29
2023-06-23,234.16,235.85,231.48,234.32
2023-06-26,235.425,239.45,235.16,236.89
2023-06-27,237.46,240.83,235.61,240.77
2023-06-28,239.205,241.98,238.1,241.91
2023-06-29,241.835,246.77,241.37,244.215
2023-06-30,246.76,246.89,243.93,246.15
2023-07-03,245.4,248.39,245.4,247.305
2023-07-05,245.29,247.44,244.215,244.82
2023-07-06,242.69,243.84,238.87,240.6
2023-07-07,240.59,247.77,240.36,245.11
2023-07-10,244.64,249.13,244.64,248.8
2023-07-11,249.84,254.45,249.84,252.85
2023-07-12,255.305,257.56,251.47,253.65
2023-07-13,254.9,256.46,253.07,255.93
2023-07-14,255.9,256.06,252.95,255.41
2023-07-17,254.4,258.85,252.13,257.52
2023-07-18,257.46,264.14,256.945,263.81
2023-07-19,260.335,262.88,259.845,262.735
2023-07-20,264.015,265.22,260.495,261.13
2023-07-21,260.15,261.07,257.605,257.69
2023-07-24,258.52,262.33,258.265,259.35
2023-07-25,260.205,263.87,259.995,261.99
2023-07-26,262.54,262.54,257.39,258.32
2023-07-27,258.42,261.01,256.87,258.395
2023-07-28,260.07,262.755,259.41,260.42
2023-07-31,262.49,265.18,262.07,264.99
2023-08-01,272.425,288.6,270.79,288.6
2023-08-02,287.725,293.71,286.28,287.57
2023-08-03,285.72,287.84,281.085,281.4
2023-08-04,283.27,283.27,275.38,276.4
2023-08-07,278.94,281.91,276.0,281.645
2023-08-08,277.98,283.86,274.85,282.965
2023-08-09,284.43,287.07,283.96,284.47
2023-08-10,284.43,287.66,281.24,283.77
2023-08-11,284.095,285.89,282.66,285.1
2023-08-14,284.46,285.37,281.31,284.59
2023-08-15,282.05,282.05,277.09,277.4
2023-08-16,277.065,281.59,274.245,274.5
2023-08-17,277.75,279.42,274.71,275.125
2023-08-18,273.05,275.57,271.27,273.67
2023-08-21,274.92,276.235,269.03,272.69
2023-08-22,273.51,273.52,269.86,270.14
2023-08-23,270.585,273.73,269.57,272.89
2023-08-24,271.94,274.61,269.22,269.33
2023-08-25,271.29,273.54,269.22,272.42
2023-08-28,273.505,276.675,273.28,274.85
2023-08-29,274.97,280.065,273.73,279.93
2023-08-30,280.11,283.43,280.11,282.25
2023-08-31,284.395,284.41,280.88,281.19
2023-09-01,285.55,287.07,284.12,286.31
2023-09-05,286.78,289.41,281.41,281.65
2023-09-06,280.315,284.33,279.22,282.79
2023-09-07,282.09,283.26,277.8,281.52
2023-09-08,281.485,283.32,279.29,282.29
2023-09-11,284.63,284.67,280.12,282.065
2023-09-12,280.43,284.59,280.04,281.85
2023-09-13,280.595,282.37,273.16,275.92
2023-09-14,279.1,283.12,278.94,282.6
2023-09-15,280.67,280.7,277.4,279.14
2023-09-18,279.535,282.63,279.19,281.0
2023-09-19,280.68,283.38,277.79,279.65
2023-09-20,283.04,286.53,278.35,278.43
2023-09-21,275.51,275.51,271.79,272.0
2023-09-22,271.865,275.08,271.815,273.08
2023-09-25,273.0,274.82,271.15,274.25
2023-09-26,271.555,273.27,269.28,269.55
2023-09-27,271.67,274.22,269.46,272.77
2023-09-28,273.52,278.1,272.65,276.12
2023-09-29,278.97,279.35,271.48,272.93
2023-10-02,272.92,276.09,270.34,271.73
2023-10-03,270.98,273.41,267.64,268.8
2023-10-04,267.43,267.43,263.015,265.09
2023-10-05,263.76,265.24,260.52,260.75
2023-10-06,261.805,268.27,258.335,266.11
2023-10-09,266.38,271.39,264.69,271.31
2023-10-10,272.3,275.075,272.09,273.16
2023-10-11,274.055,274.38,269.9,272.8
2023-10-12,272.89,273.5,266.205,269.64
2023-10-13,271.145,273.66,266.19,267.805
2023-10-16,272.525,273.695,269.75,270.66
2023-10-17,269.495,275.25,269.495,272.57
2023-10-18,268.69,268.69,258.83,259.24
2023-10-19,257.78,260.0,251.78,252.95
2023-10-20,251.665,253.36,248.22,249.24
2023-10-23,247.4,251.51,246.7,247.22
2023-10-24,249.77,251.45,247.49,249.58
2023-10-25,249.94,250.19,244.5,244.8
2023-10-26,246.065,246.545,240.5,242.31
2023-10-27,242.59,243.805,237.98,238.415
2023-10-30,241.3,243.55,239.37,242.2
2023-10-31,228.17,230.3,223.78,226.125
2023-11-01,225.385,232.52,224.005,231.73
2023-11-02,236.51,239.55,233.01,239.07
2023-11-03,242.005,244.08,238.29,240.84
2023-11-06,241.75,242.78,236.41,238.37
2023-11-07,234.745,237.04,233.69,234.89
2023-11-08,235.36,237.54,234.45,234.83
2023-11-09,237.68,239.11,233.86,234.095
2023-11-10,235.435,240.15,234.62,239.75
2023-11-13,239.66,243.23,239.66,241.7
2023-11-14,246.53,249.52,244.77,247.84
2023-11-15,249.5,252.69,248.72,251.07
2023-11-16,250.2,252.815,246.635,248.26
2023-11-17,250.5,254.23,250.5,253.11
2023-11-20,252.405,252.55,248.87,250.52
2023-11-21,249.575,249.73,248.445,249.5
2023-11-22,242.19,247.45,242.15,245.96
2023-11-24,247.52,248.815,247.0,247.52
2023-11-27,247.56,248.19,246.39,247.44
2023-11-28,248.18,248.67,246.14,247.51
2023-11-29,250.17,251.33,248.32,249.44
2023-11-30,251.14,251.46,247.955,250.89
2023-12-01,251.38,257.44,251.16,256.78
2023-12-04,252.82,255.41,252.47,254.75
2023-12-05,254.05,257.1,254.05,255.1
2023-12-06,256.73,261.0,255.7,255.96
2023-12-07,258.22,259.06,255.94,257.31
2023-12-08,257.445,261.63,257.23,259.51
2023-12-11,260.04,262.09,259.595,260.81
2023-12-12,259.615,262.42,259.18,261.44
2023-12-13,261.08,268.205,259.36,268.0
2023-12-14,272.33,285.45,272.19,285.19
2023-12-15,281.21,286.71,281.21,285.57
2023-12-18,286.93,288.67,284.62,285.69
2023-12-19,286.515,293.01,286.515,293.01
2023-12-20,291.31,298.19,289.62,289.7
2023-12-21,289.845,290.27,286.62,290.045
2023-12-22,290.41,292.77,289.05,290.335
2023-12-26,291.745,297.035,291.745,295.78
2023-12-27,295.795,299.06,295.795,298.22
2023-12-28,297.35,298.65,296.16,296.81
2023-12-29,297.255,298.15,293.21,295.825
2024-01-02,293.89,296.39,291.46,292.67
2024-01-03,288.475,288.86,283.48,284.235
2024-01-04,284.25,288.18,283.97,286.115
2024-01-05,286.47,290.82,285.8,288.885
2024-01-08,287.83,292.62,285.885,292.27
2024-01-09,289.09,292.27,288.245,292.25
2024-01-10,293.54,294.435,291.72,293.56
2024-01-11,293.57,295.595,289.58,292.01
2024-01-12,295.64,295.64,289.0,290.235
2024-01-16,288.45,290.08,285.605,287.24
2024-01-17,278.195,282.02,276.97,278.69
2024-01-18,280.1,282.5,277.86,282.03
2024-01-19,282.17,286.04,278.99,285.15
2024-01-22,286.59,290.585,286.59,288.72
2024-01-23,290.485,292.76,287.52,288.86
2024-01-24,292.33,292.555,288.5,290.76
2024-01-25,294.445,303.22,294.27,300.83
2024-01-26,301.0,302.94,298.75,299.34
2024-01-29,299.29,303.59,297.59,303.39
2024-01-30,301.11,305.72,301.11,304.835
2024-01-31,305.57,305.57,299.97,300.305
2024-02-01,304.13,307.95,302.13,307.7
2024-02-02,306.73,317.255,306.505,315.09
2024-02-05,333.35,333.37,316.11,321.245
2024-02-06,319.94,327.205,319.75,322.685
2024-02-07,324.36,327.625,323.19,323.47
2024-02-08,326.01,326.01,321.45,321.915
2024-02-09,321.75,321.75,315.695,317.16
2024-02-12,317.09,322.9,316.91,321.74
2024-02-13,314.65,315.755,310.89,312.78
2024-02-14,316.78,317.765,314.31,316.92
2024-02-15,316.36,323.16,316.36,323.15
2024-02-16,324.05,328.14,321.48,321.87
2024-02-20,317.385,318.95,312.82,313.49
2024-02-21,314.08,317.66,313.195,317.165
2024-02-22,320.81,323.28,320.665,322.06
2024-02-23,322.895,325.0,322.065,323.93
2024-02-26,323.135,327.145,322.55,325.325
2024-02-27,327.03,327.74,323.85,327.68
2024-02-28,329.18,331.52,328.785,329.6
2024-02-29,330.76,334.84,330.225,333.9
2024-03-01,333.86,337.6,333.83,336.88
2024-03-04,337.135,340.25,336.32,338.66
2024-03-05,335.67,338.825,331.78,333.46
2024-03-06,336.915,337.44,334.3,335.74
2024-03-07,338.73,342.26,338.68,340.31
2024-03-08,341.71,344.395,338.17,339.28
2024-03-11,337.99,337.99,331.68,334.98
2024-03-12,335.575,338.32,332.84,337.11
2024-03-13,337.895,343.07,337.895,341.61
2024-03-14,344.92,346.675,339.0,341.98
2024-03-15,343.48,347.22,342.73,346.99
2024-03-18,348.33,353.34,348.33,351.8
2024-03-19,351.635,353.92,349.76,353.92
2024-03-20,350.45,358.17,348.3,356.455
2024-03-21,357.235,365.2,356.74,364.63
2024-03-22,364.55,365.43,358.06,358.07
2024-03-25,357.3,358.615,355.13,355.965
2024-03-26,356.51,359.41,356.2,356.6
2024-03-27,358.79,364.66,358.735,364.62
2024-03-28,364.635,367.11,364.11,366.345
