date,open,high,low,close
2023-06-01,61.75,66.3,60.76,63.53
2023-06-02,65.09,65.09,62.08,64.545
2023-06-05,63.4,64.29,55.83,58.695
2023-06-06,47.075,52.37,46.43,51.63
2023-06-07,53.065,53.98,51.71,53.26
2023-06-08,52.19,55.03,52.0,54.9
2023-06-09,55.05,57.4,52.49,53.3
2023-06-12,52.525,52.91,50.11,50.56
2023-06-13,51.74,52.62,50.53,52.4
2023-06-14,53.01,54.77,51.72,53.89
2023-06-15,52.41,54.56,50.93,54.25
2023-06-16,55.455,56.25,53.97,55.55
2023-06-20,55.845,57.92,53.75,57.09
2023-06-21,58.89,59.185,56.86,58.1
2023-06-22,58.92,59.26,55.11,57.45
2023-06-23,56.76,61.87,55.77,61.45
2023-06-26,61.21,66.11,61.13,61.91
2023-06-27,63.66,70.36,62.925,69.93
2023-06-28,69.115,74.295,69.0,70.72
2023-06-29,72.03,74.05,70.84,72.405
2023-06-30,74.03,74.93,68.25,71.58
2023-07-03,73.13,80.74,73.13,79.88
2023-07-05,76.75,79.92,76.2,78.35
2023-07-06,77.7,78.39,74.59,78.13
2023-07-07,78.1,81.15,77.87,78.69
2023-07-10,79.055,81.36,76.75,81.21
2023-07-11,80.885,92.05,80.75,89.11
2023-07-12,88.705,89.0,84.45,85.93
2023-07-13,85.29,108.34,83.45,107.01
2023-07-14,106.76,114.33,101.24,105.425
2023-07-17,104.51,109.4,103.5,105.58
2023-07-18,104.38,109.8,101.97,104.58
2023-07-19,107.545,111.0,105.11,110.185
2023-07-20,109.26,111.83,100.39,101.29
2023-07-21,102.66,104.28,98.78,100.84
2023-07-24,99.39,100.325,95.72,98.8
2023-07-25,99.51,102.4,97.68,97.76
2023-07-26,97.37,101.31,97.37,99.82
2023-07-27,102.63,102.63,91.96,92.69
2023-07-28,94.56,96.92,93.9,94.73
2023-07-31,94.74,100.05,94.655,98.63
2023-08-01,95.88,95.88,89.31,94.14
2023-08-02,91.245,95.39,88.06,90.42
2023-08-03,88.62,93.39,88.47,90.78
2023-08-04,88.14,94.27,86.7,87.3
2023-08-07,87.225,87.25,82.145,85.99
2023-08-08,87.02,88.805,84.805,88.04
2023-08-09,88.76,88.815,84.09,84.35
2023-08-10,84.75,88.47,82.55,83.36
2023-08-11,81.9,83.395,80.56,81.03
2023-08-14,80.01,81.9,78.94,80.83
