date,open,high,low,close
2023-06-01,32.505,33.29,32.15,33.015
2023-06-02,33.64,34.475,33.5,34.285
2023-06-05,34.44,34.44,33.675,34.145
2023-06-06,34.0,35.37,33.98,35.235
2023-06-07,35.42,36.45,35.24,36.225
2023-06-08,36.175,36.43,35.685,35.845
2023-06-09,37.49,38.15,36.225,36.235
2023-06-12,36.34,37.01,36.265,36.67
2023-06-13,37.0,37.83,37.0,37.65
2023-06-14,37.865,37.96,37.045,37.36
2023-06-15,37.245,38.245,37.245,38.015
2023-06-16,38.23,38.23,37.66,37.98
2023-06-20,37.7,37.83,36.92,37.33
2023-06-21,37.23,37.3,36.88,37.02
2023-06-22,36.76,36.92,36.4,36.66
2023-06-23,35.89,36.435,35.88,36.18
2023-06-26,36.16,36.985,36.125,36.72
2023-06-27,36.98,37.515,36.5,37.48
2023-06-28,37.52,38.205,37.455,38.2
2023-06-29,38.35,38.615,38.02,38.205
2023-06-30,38.32,38.85,38.01,38.57
2023-07-03,38.78,39.135,38.63,38.94
2023-07-05,39.1,39.54,38.92,39.43
2023-07-06,38.885,39.47,38.6,39.47
2023-07-07,39.54,39.975,39.33,39.64
2023-07-10,39.56,39.745,39.2,39.64
2023-07-11,39.58,40.1,39.16,39.98
2023-07-12,40.815,40.95,40.38,40.415
2023-07-13,40.81,41.025,40.41,40.48
2023-07-14,40.615,40.685,39.94,40.02
2023-07-17,39.385,39.515,38.515,38.755
2023-07-18,38.745,39.185,38.55,39.15
2023-07-19,39.3,39.58,39.16,39.235
2023-07-20,39.0,39.3,38.72,39.28
2023-07-21,39.605,39.66,38.35,38.54
2023-07-24,38.84,39.48,38.76,39.29
2023-07-25,37.72,38.775,37.135,37.93
2023-07-26,37.96,38.44,37.64,38.3
2023-07-27,38.685,39.44,38.53,38.965
2023-07-28,38.82,38.92,37.735,38.05
2023-07-31,38.13,38.37,37.82,38.37
2023-08-01,38.1,38.34,37.935,38.12
2023-08-02,37.63,37.82,37.26,37.38
2023-08-03,37.13,37.165,36.65,36.91
2023-08-04,36.84,37.07,36.37,36.58
2023-08-07,36.795,37.1,36.365,37.08
2023-08-08,36.305,36.865,36.105,36.845
2023-08-09,36.52,36.8,36.215,36.255
2023-08-10,36.31,36.325,34.005,34.155
2023-08-11,34.0,34.16,33.43,33.895
2023-08-14,33.47,34.2,33.42,34.07
2023-08-15,33.54,33.69,33.22,33.305
2023-08-16,33.155,33.265,32.71,32.81
2023-08-17,33.045,33.32,32.76,32.905
2023-08-18,32.61,33.2,32.61,33.12
2023-08-21,33.24,33.41,32.98,33.28
2023-08-22,33.44,33.47,32.86,32.93
2023-08-23,32.87,33.57,32.8,33.57
2023-08-24,33.42,33.56,32.76,32.88
2023-08-25,33.085,33.29,32.055,32.94
2023-08-28,33.255,33.42,32.93,33.12
2023-08-29,33.21,33.5,33.08,33.46
2023-08-30,33.48,33.695,33.355,33.41
2023-08-31,33.5,34.03,33.31,33.52
2023-09-01,33.54,33.805,33.265,33.53
2023-09-05,33.335,33.475,33.03,33.285
2023-09-06,33.08,33.4,32.53,32.83
2023-09-07,32.34,32.61,32.015,32.57
2023-09-08,32.64,33.12,32.545,32.955
2023-09-11,33.225,33.265,32.5,32.63
2023-09-12,32.78,33.76,32.78,33.46
2023-09-13,33.88,34.295,33.435,33.67
2023-09-14,33.65,33.785,33.05,33.67
2023-09-15,33.47,34.575,33.43,33.94
2023-09-18,33.75,33.91,33.31,33.34
2023-09-19,33.455,34.295,33.36,33.955
2023-09-20,34.09,34.12,33.165,33.21
2023-09-21,32.875,33.43,32.7,32.705
2023-09-22,32.99,33.57,32.505,32.58
2023-09-25,32.42,33.18,32.265,33.07
2023-09-26,32.64,32.995,32.21,32.26
2023-09-27,32.47,32.535,31.975,32.35
2023-09-28,32.34,33.39,32.09,33.15
2023-09-29,33.3,33.42,32.765,32.98
