date,open,high,low,close
2023-06-01,298.56,306.87,296.95,299.98
2023-06-02,304.92,304.92,291.43,302.41
2023-06-05,295.38,296.7,271.71,276.51
2023-06-06,273.4,304.3,268.91,299.135
2023-06-07,298.2,300.93,288.25,290.82
2023-06-08,290.66,295.98,285.32,292.4
2023-06-09,294.24,295.02,281.11,282.45
2023-06-12,279.78,281.43,277.47,278.045
2023-06-13,282.09,283.27,275.31,283.27
2023-06-14,282.04,285.55,278.01,283.05
2023-06-15,272.795,281.05,267.74,277.87
2023-06-16,283.71,297.68,281.77,293.375
2023-06-20,299.9,315.05,291.37,313.56
2023-06-21,328.35,337.63,321.02,330.765
2023-06-22,332.8,336.52,313.79,327.12
2023-06-23,324.97,335.99,318.01,329.26
2023-06-26,324.505,327.57,301.42,305.85
2023-06-27,312.935,327.59,312.935,325.09
2023-06-28,320.27,332.54,320.27,325.38
2023-06-29,333.65,340.57,329.42,340.47
2023-06-30,349.48,351.255,325.695,342.84
2023-07-03,351.58,377.92,351.58,377.92
2023-07-05,367.01,382.36,361.5,378.15
2023-07-06,383.87,383.87,362.68,376.73
2023-07-07,374.0,391.25,374.0,380.54
2023-07-10,382.5,407.79,372.96,407.79
2023-07-11,401.31,414.77,397.35,412.87
2023-07-12,416.12,420.44,407.0,412.62
2023-07-13,415.7,466.76,412.94,462.26
2023-07-14,454.25,473.75,447.4,458.17
2023-07-17,450.01,464.655,444.37,449.81
2023-07-18,449.32,452.99,435.19,446.18
2023-07-19,449.35,458.25,447.57,453.25
2023-07-20,454.63,460.2,435.46,439.87
2023-07-21,442.13,442.13,429.33,436.23
2023-07-24,426.28,431.14,416.48,431.14
2023-07-25,430.25,441.31,430.25,436.78
2023-07-26,441.29,447.07,438.43,442.94
2023-07-27,450.635,451.3,424.35,426.71
2023-07-28,433.42,437.74,426.01,434.43
2023-07-31,439.18,442.02,433.83,438.0
2023-08-01,428.5,437.475,422.13,434.65
2023-08-02,435.18,435.18,401.55,407.53
2023-08-03,397.565,399.99,388.33,391.405
2023-08-04,390.0,392.46,375.15,377.45
2023-08-07,370.55,372.06,358.13,372.04
2023-08-08,377.86,395.28,376.22,389.385
2023-08-09,391.055,391.055,377.14,377.63
2023-08-10,387.4,387.4,373.23,378.2
2023-08-11,381.51,386.24,381.51,383.79
2023-08-14,381.82,392.29,380.64,388.76
2023-08-15,392.25,392.25,376.375,376.375
2023-08-16,370.7,375.47,366.7,369.41
2023-08-17,356.84,361.76,345.8,347.05
2023-08-18,330.71,336.95,323.01,328.31
2023-08-21,331.165,336.77,326.61,335.51
2023-08-22,336.23,336.23,328.17,329.59
2023-08-23,330.0,349.9,330.0,346.45
2023-08-24,347.13,347.13,333.4,336.75
2023-08-25,341.2,343.315,330.34,336.33
2023-08-28,338.99,348.285,338.99,344.41
2023-08-29,342.74,386.62,342.74,381.25
2023-08-30,374.77,374.77,368.9,371.83
2023-08-31,373.16,374.18,355.8,356.85
2023-09-01,357.52,357.52,347.01,351.27
2023-09-05,347.79,351.88,347.79,349.31
2023-09-06,350.88,356.74,346.81,350.65
2023-09-07,341.865,356.49,339.52,353.98
2023-09-08,353.17,355.97,348.2,355.97
2023-09-11,353.495,354.6,336.0,343.005
2023-09-12,354.1,365.73,346.59,347.77
2023-09-13,347.77,350.51,341.23,341.77
2023-09-14,351.0,359.86,346.39,346.39
2023-09-15,344.41,345.6,336.98,340.28
2023-09-18,350.33,355.8,339.59,340.74
2023-09-19,344.97,348.04,339.33,339.85
2023-09-20,339.31,344.27,334.83,334.83
2023-09-21,325.33,327.51,322.65,325.83
2023-09-22,323.11,325.5,321.08,322.65
2023-09-25,318.61,327.55,316.5,327.55
2023-09-26,326.36,329.0,317.97,318.25
2023-09-27,324.1,325.17,311.07,315.99
2023-09-28,318.965,335.0,318.94,328.71
2023-09-29,332.05,333.885,326.07,327.68
2023-10-02,346.4,352.08,328.03,330.03
2023-10-03,324.81,325.39,311.46,311.545
2023-10-04,308.18,323.67,308.18,320.8
2023-10-05,324.31,324.31,317.37,322.47
2023-10-06,320.69,341.095,320.0,340.28
2023-10-09,336.69,340.99,334.33,340.61
2023-10-10,341.17,344.6,339.02,340.91
2023-10-11,339.58,339.99,330.87,334.66
2023-10-12,332.69,332.69,321.13,323.47
2023-10-13,326.99,326.99,315.44,318.335
2023-10-16,340.22,352.79,321.525,325.53
2023-10-17,322.495,340.44,321.56,335.07
