date,open,high,low,close
2023-06-01,10.08,10.46,10.01,10.33
2023-06-02,10.55,10.57,10.29,10.405
2023-06-05,10.325,10.7,10.31,10.51
2023-06-06,10.41,10.625,10.375,10.505
2023-06-07,10.595,10.63,10.09,10.185
2023-06-08,10.115,10.19,10.03,10.04
2023-06-09,10.15,10.58,10.025,10.085
2023-06-12,10.215,10.24,10.02,10.24
2023-06-13,10.38,10.4,10.14,10.325
2023-06-14,10.3,10.385,10.09,10.25
2023-06-15,10.05,10.685,9.99,10.675
2023-06-16,10.78,10.825,10.42,10.675
2023-06-20,10.62,10.75,10.39,10.575
2023-06-21,10.58,10.61,10.145,10.235
2023-06-22,10.18,10.64,10.18,10.635
2023-06-23,10.47,11.15,10.42,10.825
2023-06-26,10.7,11.395,10.7,11.19
2023-06-27,11.365,11.62,11.145,11.485
2023-06-28,11.51,11.695,11.42,11.65
2023-06-29,11.95,12.03,11.585,11.675
2023-06-30,11.78,12.1,11.77,11.835
2023-07-03,11.88,12.02,11.845,12.015
2023-07-05,11.945,12.345,11.89,12.125
2023-07-06,11.975,12.14,11.765,11.91
2023-07-07,11.91,12.04,11.65,11.68
2023-07-10,11.8,11.975,11.66,11.78
2023-07-11,11.94,13.075,11.925,12.75
2023-07-12,13.06,13.62,12.95,13.39
2023-07-13,13.615,13.88,13.5,13.51
2023-07-14,13.53,13.605,13.0,13.17
2023-07-17,13.14,13.64,12.97,13.475
2023-07-18,13.49,13.51,12.87,13.385
2023-07-19,13.4,13.525,13.08,13.115
2023-07-20,12.97,13.265,12.835,12.935
2023-07-21,13.01,13.055,12.68,12.735
2023-07-24,12.835,12.92,12.55,12.69
2023-07-25,12.51,12.67,12.355,12.505
2023-07-26,10.33,10.725,9.99,10.725
2023-07-27,10.895,10.895,10.185,10.32
2023-07-28,10.31,10.75,10.29,10.685
2023-07-31,10.7,11.375,10.69,11.355
2023-08-01,11.23,11.33,11.04,11.29
2023-08-02,10.96,11.215,10.89,10.965
2023-08-03,10.915,10.99,10.69,10.795
2023-08-04,10.93,11.045,10.73,10.745
2023-08-07,10.725,10.78,10.5,10.58
2023-08-08,10.39,10.595,10.185,10.54
