date,open,high,low,close
2023-06-01,418.205,422.92,416.855,421.79
2023-06-02,424.58,428.73,423.98,427.735
2023-06-05,428.22,429.67,426.38,427.1
2023-06-06,426.67,428.56,426.035,428.03
2023-06-07,428.46,429.6,426.13,426.57
2023-06-08,426.565,429.57,425.855,429.17
2023-06-09,430.08,431.99,428.885,429.99
2023-06-12,430.925,433.855,430.17,433.82
2023-06-13,435.41,437.32,434.68,436.67
2023-06-14,437.1,439.03,433.655,437.14
2023-06-15,436.38,443.88,436.28,442.59
2023-06-16,443.11,443.11,438.98,439.28
2023-06-20,437.43,438.36,435.03,437.24
2023-06-21,436.2,436.97,434.37,434.85
2023-06-22,433.99,436.62,433.64,436.57
2023-06-23,432.96,435.05,432.5,433.16
2023-06-26,432.64,434.55,431.205,431.4
2023-06-27,432.39,436.8,431.915,436.14
2023-06-28,435.09,437.42,434.41,436.34
2023-06-29,435.94,438.265,435.62,438.14
2023-06-30,441.44,444.22,441.18,443.22
2023-07-03,442.94,444.07,442.65,443.89
2023-07-05,441.93,443.87,441.91,443.14
2023-07-06,439.39,440.07,437.07,439.69
2023-07-07,438.63,442.64,438.305,438.52
2023-07-10,438.19,439.825,437.59,439.65
2023-07-11,440.455,442.94,439.45,442.5
2023-07-12,446.42,447.465,444.91,446.0
2023-07-13,447.895,450.375,447.485,449.61
2023-07-14,450.6,451.35,448.58,449.33
2023-07-17,449.13,451.92,449.13,450.86
2023-07-18,450.53,454.845,450.1,454.22
2023-07-19,455.22,456.425,454.4,455.05
2023-07-20,454.16,455.08,451.46,452.26
2023-07-21,453.93,454.14,452.18,452.2
2023-07-24,453.38,455.01,452.75,454.19
2023-07-25,453.95,456.71,453.915,455.36
2023-07-26,454.5,456.9,453.41,455.505
2023-07-27,459.08,459.44,451.58,452.5
2023-07-28,455.775,457.78,455.12,456.91
2023-07-31,457.41,458.11,456.07,457.81
2023-08-01,456.32,457.19,455.505,456.44
2023-08-02,453.25,453.495,449.36,450.16
2023-08-03,448.115,450.79,447.395,448.88
2023-08-04,450.705,452.885,446.285,446.79
2023-08-07,448.69,450.86,448.01,450.68
2023-08-08,448.03,449.225,445.3,448.86
2023-08-09,449.03,449.16,444.96,445.74
2023-08-10,448.195,451.67,444.73,445.88
2023-08-11,443.96,446.67,443.455,445.36
2023-08-14,444.8,448.1,444.385,448.1
2023-08-15,446.29,446.605,442.32,442.93
2023-08-16,442.47,444.17,439.54,439.62
2023-08-17,441.1,441.375,435.75,436.26
2023-08-18,433.27,437.55,433.07,436.39
2023-08-21,437.51,440.105,435.33,439.32
2023-08-22,441.115,441.12,437.6,438.11
2023-08-23,439.25,443.63,439.11,442.98
2023-08-24,444.85,445.2,436.855,436.92
2023-08-25,438.6,441.26,435.01,439.98
2023-08-28,442.32,443.375,440.875,442.78
2023-08-29,442.705,449.43,442.485,449.19
2023-08-30,449.51,451.66,448.81,450.96
2023-08-31,451.65,452.82,450.18,450.2
2023-09-01,453.17,453.66,449.69,451.18
2023-09-05,450.68,451.045,449.185,449.26
2023-09-06,448.43,448.49,443.825,446.24
2023-09-07,443.06,445.52,442.76,444.88
2023-09-08,444.89,447.1,444.53,445.58
2023-09-11,448.29,448.77,446.5,448.54
2023-09-12,446.91,448.46,445.39,446.01
2023-09-13,446.1,447.68,445.08,446.46
2023-09-14,449.08,451.06,447.72,450.4
2023-09-15,447.245,447.42,443.02,443.305
2023-09-18,443.04,444.965,442.57,443.63
2023-09-19,442.78,443.22,439.97,442.62
2023-09-20,443.98,444.435,438.43,438.52
2023-09-21,435.71,435.94,431.25,431.3
2023-09-22,432.48,434.06,430.01,430.28
2023-09-25,429.13,432.25,428.745,432.23
2023-09-26,429.1,429.81,425.035,425.84
2023-09-27,427.08,427.615,422.31,425.925
2023-09-28,425.56,430.24,424.87,428.51
2023-09-29,431.69,431.82,425.94,427.3
2023-10-02,426.6,428.58,424.49,427.36
2023-10-03,425.2,426.635,420.2,421.68
2023-10-04,422.07,425.405,420.57,424.705
2023-10-05,424.42,425.37,421.21,424.31
2023-10-06,422.165,431.11,420.6,429.44
2023-10-09,427.49,432.86,427.04,432.24
2023-10-10,433.02,437.205,432.53,434.47
2023-10-11,435.68,436.57,433.18,436.33
2023-10-12,436.86,437.32,431.24,433.68
2023-10-13,435.26,436.39,429.9,431.625
2023-10-16,433.81,437.115,433.57,436.04
2023-10-17,432.77,438.13,432.48,436.11
2023-10-18,434.05,435.115,429.09,430.24
2023-10-19,430.89,432.82,425.74,426.43
2023-10-20,425.89,426.48,421.08,421.25
2023-10-23,419.54,424.45,417.82,420.52
2023-10-24,422.69,424.81,420.74,423.56
2023-10-25,421.91,421.91,417.03,417.62
2023-10-26,416.46,417.29,411.71,412.6
2023-10-27,414.385,414.57,409.24,410.76
2023-10-30,413.56,416.67,412.27,415.64
2023-10-31,416.17,418.5,414.21,418.18
2023-11-01,419.285,423.485,418.68,422.66
2023-11-02,426.6,430.91,426.6,430.69
2023-11-03,433.135,436.29,433.11,434.72
2023-11-06,435.48,436.14,433.71,435.69
2023-11-07,435.66,437.58,434.51,436.89
2023-11-08,437.5,438.09,434.895,437.43
2023-11-09,438.38,438.47,433.41,433.88
2023-11-10,435.99,440.92,434.45,440.72
2023-11-13,439.21,441.325,438.445,440.17
2023-11-14,446.35,450.05,446.13,448.66
2023-11-15,450.28,451.38,448.82,449.69
2023-11-16,449.225,450.51,448.18,450.25
2023-11-17,450.23,451.395,449.31,450.74
2023-11-20,450.63,455.1,450.57,454.26
2023-11-21,453.235,453.62,451.97,453.28
2023-11-22,454.995,456.33,453.93,455.0
2023-11-24,455.08,455.42,454.75,455.26
2023-11-27,454.69,455.49,454.09,454.515
2023-11-28,454.02,456.26,453.51,454.87
2023-11-29,457.13,458.31,454.21,454.66
2023-11-30,455.45,456.75,453.385,456.28
2023-12-01,455.68,459.63,455.16,458.99
2023-12-04,455.54,456.93,454.395,456.59
2023-12-05,455.22,457.57,454.88,456.58
2023-12-06,458.76,458.82,454.365,454.74
2023-12-07,456.91,458.88,456.315,458.21
2023-12-08,457.47,460.72,457.23,460.15
2023-12-11,459.69,462.16,459.47,461.96
2023-12-12,461.57,464.2,460.61,464.2
2023-12-13,464.45,470.72,464.12,470.54
2023-12-14,472.555,473.72,469.28,472.03
2023-12-15,469.41,470.66,468.44,469.35
2023-12-18,470.95,472.94,470.8,472.01
2023-12-19,472.5,474.91,472.475,474.78
2023-12-20,473.89,475.89,467.84,468.06
2023-12-21,471.32,472.97,468.86,472.68
2023-12-22,473.9,475.37,471.73,473.67
2023-12-26,474.08,476.52,474.0,475.63
2023-12-27,475.49,476.65,474.95,476.56
2023-12-28,476.885,477.515,476.26,476.71
2023-12-29,476.43,477.01,473.35,475.36
2024-01-02,472.15,473.64,470.49,472.66
2024-01-03,470.46,471.175,468.17,468.76
2024-01-04,468.21,470.95,467.05,467.34
2024-01-05,467.345,470.41,466.46,467.86
