date,open,high,low,close
2023-06-01,12.81,13.1,12.765,13.025
2023-06-02,13.71,13.76,13.565,13.68
2023-06-05,13.805,13.805,13.55,13.61
2023-06-06,13.75,13.915,13.72,13.725
2023-06-07,13.78,13.95,13.75,13.945
2023-06-08,14.04,14.095,13.93,14.085
2023-06-09,14.145,14.275,14.0,14.035
2023-06-12,13.8,13.815,13.63,13.765
2023-06-13,14.11,14.12,13.9,13.9
2023-06-14,14.27,14.355,14.075,14.255
2023-06-15,14.27,14.485,14.21,14.455
2023-06-16,14.315,14.54,14.29,14.435
2023-06-20,14.21,14.235,14.01,14.06
2023-06-21,14.0,14.035,13.905,13.98
2023-06-22,14.07,14.07,13.855,13.905
2023-06-23,13.7,13.755,13.6,13.705
2023-06-26,13.7,13.89,13.695,13.805
2023-06-27,14.005,14.07,13.84,13.915
2023-06-28,13.635,13.65,13.32,13.32
2023-06-29,13.32,13.56,13.315,13.515
2023-06-30,13.595,13.6,13.39,13.42
2023-07-03,13.685,13.865,13.645,13.78
2023-07-05,13.5,13.51,13.345,13.395
2023-07-06,13.28,13.425,13.1,13.175
2023-07-07,13.195,13.485,13.18,13.395
2023-07-10,13.22,13.36,13.195,13.21
2023-07-11,13.25,13.775,13.25,13.72
2023-07-12,14.07,14.09,13.92,13.925
2023-07-13,14.15,14.355,14.115,14.33
2023-07-14,14.355,14.41,14.205,14.295
2023-07-17,14.045,14.12,13.835,14.065
2023-07-18,14.02,14.185,13.95,14.025
2023-07-19,14.045,14.125,13.94,14.045
2023-07-20,14.225,14.285,14.045,14.05
2023-07-21,14.09,14.255,14.075,14.2
2023-07-24,14.23,14.83,14.22,14.71
2023-07-25,15.2,15.31,15.095,15.175
2023-07-26,15.04,15.255,14.92,15.1
2023-07-27,14.97,15.0,14.77,14.79
2023-07-28,14.51,14.62,14.24,14.245
2023-07-31,14.39,14.655,14.39,14.63
2023-08-01,14.315,14.37,14.14,14.145
2023-08-02,14.03,14.06,13.87,13.89
2023-08-03,13.75,13.88,13.625,13.79
2023-08-04,13.905,14.065,13.81,13.825
2023-08-07,13.74,13.89,13.605,13.86
2023-08-08,13.485,13.895,13.425,13.75
2023-08-09,13.785,13.845,13.57,13.595
2023-08-10,13.7,13.785,13.49,13.49
2023-08-11,13.47,13.505,13.29,13.315
2023-08-14,12.645,12.645,12.45,12.48
2023-08-15,12.365,12.39,12.245,12.265
2023-08-16,12.24,12.425,12.22,12.27
2023-08-17,12.535,12.6,12.36,12.395
2023-08-18,12.35,12.425,12.26,12.315
2023-08-21,12.27,12.37,12.23,12.31
2023-08-22,12.58,12.71,12.5,12.68
2023-08-23,12.805,13.045,12.795,12.975
2023-08-24,12.705,12.825,12.635,12.735
2023-08-25,12.775,12.82,12.65,12.74
2023-08-28,12.78,12.95,12.77,12.925
2023-08-29,12.995,13.375,12.945,13.335
2023-08-30,13.45,13.455,13.25,13.33
2023-08-31,13.37,13.415,13.16,13.16
2023-09-01,13.75,14.0,13.66,13.985
2023-09-05,13.9,13.975,13.83,13.88
2023-09-06,13.855,14.03,13.61,13.615
2023-09-07,13.44,13.49,13.14,13.165
2023-09-08,13.305,13.37,13.26,13.315
2023-09-11,13.75,13.815,13.67,13.705
2023-09-12,13.665,13.78,13.59,13.6
2023-09-13,13.655,13.775,13.655,13.695
2023-09-14,14.15,14.475,14.15,14.39
2023-09-15,14.585,14.59,14.27,14.31
2023-09-18,14.38,14.385,14.11,14.12
2023-09-19,14.17,14.235,13.985,14.115
2023-09-20,14.22,14.34,14.185,14.19
2023-09-21,13.78,13.86,13.63,13.66
2023-09-22,13.875,13.98,13.745,13.755
2023-09-25,13.46,13.47,13.21,13.4
2023-09-26,13.22,13.33,13.085,13.1
2023-09-27,13.19,13.19,12.88,12.985
2023-09-28,13.06,13.28,13.005,13.235
2023-09-29,13.435,13.505,13.335,13.405
2023-10-02,13.345,13.35,13.12,13.225
2023-10-03,13.03,13.18,12.85,12.88
2023-10-04,12.87,12.945,12.7,12.76
2023-10-05,12.735,12.87,12.67,12.77
2023-10-06,12.71,13.07,12.69,12.97
2023-10-09,12.785,12.9,12.65,12.86
2023-10-10,13.14,13.23,13.095,13.19
2023-10-11,13.265,13.38,13.185,13.37
2023-10-12,13.41,13.41,13.02,13.1
2023-10-13,13.2,13.32,13.04,13.085
2023-10-16,13.295,13.395,13.23,13.335
2023-10-17,13.17,13.53,13.165,13.46
2023-10-18,13.24,13.26,12.9,12.905
2023-10-19,12.86,12.94,12.735,12.75
2023-10-20,12.4,12.5,12.28,12.405
2023-10-23,12.38,12.56,12.325,12.445
2023-10-24,12.695,12.84,12.66,12.835
2023-10-25,12.965,12.995,12.715,12.715
2023-10-26,12.735,13.075,12.735,13.05
2023-10-27,13.215,13.685,13.19,13.485
2023-10-30,13.795,13.8,13.505,13.515
2023-10-31,13.43,13.75,13.4,13.71
2023-11-01,13.9,14.23,13.9,14.195
2023-11-02,14.4,14.575,14.35,14.495
2023-11-03,14.55,14.675,14.52,14.55
2023-11-06,14.62,14.685,14.565,14.605
2023-11-07,14.555,14.56,14.27,14.33
2023-11-08,14.42,14.48,14.215,14.24
2023-11-09,14.39,14.515,14.215,14.255
2023-11-10,14.47,14.605,14.365,14.59
2023-11-13,14.53,14.545,14.435,14.475
2023-11-14,15.0,15.25,14.97,15.175
2023-11-15,15.215,15.23,15.025,15.075
2023-11-16,15.11,15.245,15.025,15.205
2023-11-17,15.175,15.265,15.105,15.145
2023-11-20,15.515,15.75,15.51,15.65
2023-11-21,15.885,16.015,15.755,15.87
2023-11-22,15.5,15.52,15.1,15.225
