date,open,high,low,close
2023-06-01,11.3,11.6,10.94,11.34
2023-06-02,11.525,11.85,11.445,11.75
2023-06-05,11.74,11.87,11.475,11.635
2023-06-06,11.56,12.195,11.56,12.105
2023-06-07,12.205,13.315,12.125,13.12
2023-06-08,13.115,14.2,13.1,14.035
2023-06-09,14.11,14.165,13.6,13.86
2023-06-12,13.95,14.22,13.81,13.99
2023-06-13,14.11,14.46,13.75,13.785
2023-06-14,13.765,14.135,13.5,13.64
2023-06-15,13.56,13.57,12.85,13.115
2023-06-16,13.05,13.105,12.58,12.78
2023-06-20,12.64,12.73,12.155,12.18
2023-06-21,12.185,12.48,12.075,12.35
2023-06-22,12.37,12.4,12.02,12.085
2023-06-23,11.95,11.95,11.67,11.765
2023-06-26,11.8,12.0,11.61,11.79
2023-06-27,11.83,12.435,11.785,12.24
2023-06-28,12.235,12.49,12.13,12.465
2023-06-29,12.3,12.49,12.245,12.415
2023-06-30,12.48,12.575,12.405,12.53
2023-07-03,12.55,13.03,12.55,13.005
2023-07-05,12.85,13.03,12.555,12.83
2023-07-06,12.63,12.69,12.4,12.67
2023-07-07,12.28,12.815,12.28,12.56
2023-07-10,12.525,13.025,12.455,12.95
2023-07-11,12.93,13.34,12.93,13.305
2023-07-12,13.51,13.58,13.07,13.16
2023-07-13,13.26,13.26,12.55,13.085
2023-07-14,13.045,13.085,12.37,12.41
2023-07-17,12.35,12.35,12.14,12.305
2023-07-18,12.38,13.05,12.38,12.78
2023-07-19,13.06,13.36,12.835,13.29
2023-07-20,13.17,13.42,13.05,13.125
2023-07-21,13.25,13.37,12.87,12.92
2023-07-24,13.09,13.11,12.57,12.61
2023-07-25,12.6,12.79,12.42,12.53
2023-07-26,12.56,12.8,12.475,12.755
2023-07-27,13.005,13.015,12.24,12.275
2023-07-28,12.53,12.85,12.45,12.78
2023-07-31,12.86,13.255,12.86,13.085
2023-08-01,13.01,13.07,12.725,12.86
2023-08-02,12.7,12.79,12.465,12.525
2023-08-03,12.505,13.01,12.125,12.875
2023-08-04,12.925,14.035,12.77,13.965
2023-08-07,14.09,14.5,13.845,14.48
2023-08-08,14.29,14.5,13.75,14.43
2023-08-09,14.53,14.75,14.105,14.13
2023-08-10,14.25,14.5,14.085,14.12
2023-08-11,14.06,14.26,13.685,13.71
2023-08-14,13.53,13.78,13.415,13.535
2023-08-15,13.36,13.555,13.14,13.435
2023-08-16,13.26,13.47,13.155,13.19
2023-08-17,13.17,13.28,12.75,12.77
2023-08-18,12.64,12.82,12.56,12.775
2023-08-21,12.77,12.795,12.505,12.645
2023-08-22,12.63,12.76,12.46,12.53
2023-08-23,12.585,12.78,12.535,12.7
2023-08-24,12.63,12.81,12.485,12.68
