occ,underlying,leg,entry,credit,exit,exit_px,exit_kind,pnl
COIN240419P00255000,COIN,BUY_PUT,2024-03-26,14.867,2024-04-12,8.61,take_profit,624.75
MU240503P00118000,MU,BUY_PUT,2024-04-02,3.277,2024-04-12,2.195,take_profit,321.9
COIN240503P00205000,COIN,BUY_PUT,2024-04-16,11.495,2024-04-24,5.25,take_profit,623.5
MU240503P00105000,MU,BUY_PUT,2024-04-23,1.472,2024-04-29,0.242,take_profit,366.3
COIN240510P00202500,COIN,BUY_PUT,2024-04-30,10.117,2024-05-06,1.124,take_profit,1796.8
SNAP240607P00015000,SNAP,BUY_PUT,2024-05-14,0.342,2024-05-21,0.147,take_profit,499.5
COIN240531P00210000,COIN,BUY_PUT,2024-05-07,9.215,2024-05-22,4.83,take_profit,437.5
MU240614P00127000,MU,BUY_PUT,2024-05-29,2.85,2024-06-06,1.176,take_profit,499.2
BABA240607P00085000,BABA,PUT,2024-05-21,1.7,2024-06-07,0,ASSIGN,169.55
SNAP240614P00015000,SNAP,BUY_PUT,2024-06-04,0.37,2024-06-10,0.158,take_profit,365.4
MU240628P00127000,MU,BUY_PUT,2024-06-11,3.629,2024-06-20,1.575,take_profit,613.2
GM240712P00046000,GM,BUY_PUT,2024-06-18,0.465,2024-06-25,0.43,take_profit,20.0
MU240712P00129000,MU,BUY_PUT,2024-06-25,4.655,2024-07-03,1.659,take_profit,895.8
PLTR240712P00025000,PLTR,BUY_PUT,2024-07-02,0.314,2024-07-08,0.053,take_profit,351.4
PLTR240802P00026000,PLTR,BUY_PUT,2024-07-09,0.551,2024-07-17,0.504,take_profit,59.2
BABA240816C00085000,BABA,BUY_CC,2024-07-16,0.988,2024-07-25,0.41,cc_take_profit,56.85
GM240726P00047500,GM,PUT,2024-07-16,0.494,2024-07-26,0,ASSIGN,342.3
BABA240823C00085000,BABA,BUY_CC,2024-07-30,0.969,2024-08-16,0.735,cc_take_profit,22.4
SNAP240816P00013000,SNAP,PUT,2024-07-23,0.655,2024-08-16,0,ASSIGN,2081.6
KO240830P00067000,KO,BUY_PUT,2024-08-13,0.361,2024-08-19,0.116,take_profit,70.65
GM240906C00047500,GM,CALL,2024-08-20,0.427,2024-09-06,0,EXPIRE,295.75
BABA240920C00090000,BABA,BUY_CC,2024-08-20,0.655,2024-09-09,0.315,cc_take_profit,33.05
GM241018C00051000,GM,BUY_CC,2024-09-24,0.589,2024-09-26,0.179,cc_take_profit,280.35
BABA240927C00086000,BABA,CALL,2024-09-10,1.092,2024-09-27,0,CALLED,108.75
NOK241115P00004500,NOK,BUY_PUT,2024-10-22,0.048,2024-10-29,0.021,take_profit,11.55
CAT241101P00380000,CAT,BUY_PUT,2024-10-15,6.555,2024-11-01,3.129,roll_for_credit (fresh CAT241115P00365000),341.6
BABA241101P00110000,BABA,PUT,2024-10-08,5.938,2024-11-01,0,ASSIGN,1779.75
GM241101C00050000,GM,CALL,2024-10-01,0.58,2024-11-01,0,CALLED,402.15
GM241122P00050000,GM,BUY_PUT,2024-11-05,0.494,2024-11-07,0.42,take_profit,51.2
SNAP241115C00013000,SNAP,BUY_CC,2024-11-05,0.285,2024-11-07,0.095,cc_take_profit,577.6
GM241129P00056000,GM,BUY_PUT,2024-11-12,0.788,2024-11-25,0.084,take_profit,486.15
SOFI241206P00015000,SOFI,BUY_PUT,2024-11-26,0.332,2024-11-29,0.126,take_profit,530.55
COIN241206P00297500,COIN,BUY_PUT,2024-11-19,13.499,2024-12-04,3.685,take_profit,980.4
SNAP241213C00013000,SNAP,BUY_CC,2024-12-03,0.171,2024-12-12,0.021,cc_take_profit,448.0
SOFI241220P00015000,SOFI,BUY_PUT,2024-12-03,0.446,2024-12-16,0.116,take_profit,898.8
COIN241220P00292500,COIN,BUY_PUT,2024-12-10,7.581,2024-12-17,1.859,take_profit,571.25
PLTR250117P00070000,PLTR,BUY_PUT,2024-12-17,3.705,2024-12-23,1.838,take_profit,1114.5
SNAP250117C00014000,SNAP,BUY_CC,2025-01-07,0.247,2025-01-14,0.074,cc_take_profit,523.2
SOFI250124P00014000,SOFI,BUY_PUT,2024-12-24,0.399,2025-01-16,0.074,take_profit,946.5
GM250117P00052000,GM,PUT,2025-01-07,0.703,2025-01-17,0,ASSIGN,69.8
PLTR250124P00072000,PLTR,BUY_PUT,2024-12-31,2.289,2025-01-22,0.619,take_profit,664.0
GM250207C00058000,GM,BUY_CC,2025-01-22,0.323,2025-01-29,0.063,cc_take_profit,25.0
PLTR250214P00069000,PLTR,BUY_PUT,2025-01-28,3.097,2025-02-03,1.774,take_profit,656.25
PLTR250221P00077000,PLTR,BUY_PUT,2025-02-04,0.37,2025-02-06,0.158,take_profit,101.5
PLTR250221P00111000,PLTR,BUY_PUT,2025-02-11,2.688,2025-02-14,1.155,take_profit,457.05
SOFI250221P00016000,SOFI,BUY_PUT,2025-01-22,0.674,2025-02-19,0.116,take_profit,1482.3
BABA250228C00110000,BABA,CALL,2025-02-04,2.565,2025-02-28,0,CALLED,768.0
PLTR250307P00117000,PLTR,PUT,2025-02-19,3.8,2025-03-07,0,ASSIGN,1138.5
T250328P00026000,T,BUY_PUT,2025-02-25,0.314,2025-03-18,0.158,take_profit,248.2
GM250404C00053000,GM,BUY_CC,2025-03-04,0.237,2025-03-31,0.042,cc_take_profit,18.55
BABA250404P00140000,BABA,PUT,2025-03-18,3.515,2025-04-04,0,ASSIGN,702.0
T250502P00027000,T,BUY_PUT,2025-04-01,0.446,2025-04-29,0.221,take_profit,324.0
GM250516C00052000,GM,BUY_CC,2025-04-29,0.19,2025-05-02,0.074,cc_take_profit,10.65
PLTR250509C00125000,PLTR,BUY_CC,2025-04-29,4.75,2025-05-07,0.189,cc_take_profit,1365.3
BABA250530C00140000,BABA,BUY_CC,2025-05-06,2.803,2025-05-16,0.609,cc_take_profit,436.7
GM250530C00052000,GM,BUY_CC,2025-05-13,0.465,2025-05-23,0.116,cc_take_profit,34.0
PLTR250606C00132000,PLTR,BUY_CC,2025-05-13,2.612,2025-05-30,1.176,cc_take_profit,427.95
PLTR250620C00146000,PLTR,BUY_CC,2025-06-03,1.995,2025-06-06,0.598,cc_take_profit,415.95
GM250627C00052000,GM,BUY_CC,2025-06-03,0.294,2025-06-18,0.105,cc_take_profit,17.95
PLTR250620C00141000,PLTR,CALL,2025-06-10,1.672,2025-06-20,0,EXPIRE,500.1
GM250725C00053000,GM,BUY_CC,2025-07-01,0.931,2025-07-23,0.116,cc_take_profit,80.55
PLTR250801C00155000,PLTR,CALL,2025-07-08,2.033,2025-08-01,0,EXPIRE,608.4
GM250815C00056000,GM,BUY_CC,2025-07-29,0.294,2025-08-07,0.168,cc_take_profit,11.65
PLTR250815C00180000,PLTR,CALL,2025-08-05,3.619,2025-08-15,0,EXPIRE,1084.35
BABA250919C00149000,BABA,BUY_CC,2025-09-03,1.188,2025-09-05,0.693,cc_take_profit,96.9
GM250905C00057000,GM,CALL,2025-08-12,0.56,2025-09-05,0,CALLED,55.55
PLTR250926C00182500,PLTR,BUY_CC,2025-09-16,1.9,2025-09-26,0.693,cc_take_profit,359.1
BABA251010C00155000,BABA,CALL,2025-09-09,3.847,2025-10-10,0,CALLED,768.5
PLTR251031C00200000,PLTR,BUY_CC,2025-09-30,2.897,2025-10-20,1.439,cc_take_profit,434.7
PLTR251031C00192500,PLTR,BUY_CC,2025-10-21,2.403,2025-10-23,0.704,cc_take_profit,507.0
INTC251114P00034000,INTC,BUY_PUT,2025-10-14,1.51,2025-10-27,0.546,take_profit,1527.2
AMD251121P00222500,AMD,BUY_PUT,2025-10-21,9.88,2025-10-29,4.19,take_profit,1136.1
MU251107P00207500,MU,BUY_PUT,2025-10-28,5.215,2025-10-31,1.806,take_profit,679.9
PLTR251107C00210000,PLTR,BUY_CC,2025-10-28,3.705,2025-11-05,0.514,cc_take_profit,954.15
NOK251114P00007000,NOK,BUY_PUT,2025-11-04,0.237,2025-11-13,0.105,take_profit,1053.5
PLTR251121C00207500,PLTR,BUY_CC,2025-11-11,1.681,2025-11-13,0.546,cc_take_profit,337.65
MU251128P00237500,MU,PUT,2025-11-11,8.55,2025-11-28,0,ASSIGN,854.5
WBD251205P00022000,WBD,BUY_PUT,2025-11-25,0.399,2025-12-01,0.2,take_profit,246.35
MU251212C00262500,MU,BUY_CC,2025-12-02,3.486,2025-12-04,0.956,cc_take_profit,252.1
AMD251212P00225000,AMD,PUT,2025-11-18,9.405,2025-12-12,0,ASSIGN,1880.0
MU251219C00275000,MU,BUY_CC,2025-12-09,4.987,2025-12-16,1.522,cc_take_profit,345.5
PLTR251226C00195000,PLTR,BUY_CC,2025-12-09,2.384,2025-12-18,0.997,cc_take_profit,413.1
PLTR260116C00210000,PLTR,BUY_CC,2025-12-23,2.555,2025-12-30,0.64,cc_take_profit,571.5
AMD260116C00235000,AMD,BUY_CC,2025-12-23,2.897,2026-01-07,0.956,cc_take_profit,386.4
MU260109C00300000,MU,CALL,2025-12-23,4.189,2026-01-09,0,CALLED,418.45
MU260123P00330000,MU,BUY_PUT,2026-01-13,4.94,2026-01-21,0.735,take_profit,419.5
PLTR260206C00200000,PLTR,BUY_CC,2026-01-13,4.275,2026-01-21,1.922,cc_take_profit,703.05
XOM260206P00125000,XOM,BUY_PUT,2026-01-21,0.58,2026-01-28,0.179,take_profit,39.1
AMD260130C00225000,AMD,CALL,2026-01-13,4.797,2026-01-30,0,CALLED,958.5
VALE260220P00016000,VALE,BUY_PUT,2026-02-10,0.142,2026-02-12,0.053,take_profit,48.0
MU260227P00360000,MU,BUY_PUT,2026-01-27,11.229,2026-02-19,4.095,take_profit,712.4
INTC260220P00046000,INTC,PUT,2026-02-03,0.76,2026-02-20,0,ASSIGN,906.0
PLTR260320C00167500,PLTR,BUY_CC,2026-03-10,1.71,2026-03-11,0.892,cc_take_profit,242.25
INTC260327C00051000,INTC,BUY_CC,2026-03-10,0.893,2026-03-18,0.263,cc_take_profit,744.6
GM260320P00077500,GM,PUT,2026-02-18,1.53,2026-03-20,0,ASSIGN,152.45
PLTR260417C00170000,PLTR,BUY_CC,2026-03-17,2.631,2026-03-27,0.977,cc_take_profit,493.5
INTC260417C00055000,INTC,CALL,2026-04-07,1.13,2026-04-17,0,CALLED,1350.6
NOK260501P00010000,NOK,BUY_PUT,2026-04-21,0.361,2026-04-27,0.063,take_profit,1843.2
NOK260529P00010000,NOK,BUY_PUT,2026-04-28,0.389,2026-04-30,0.168,take_profit,1353.6
GM260501C00080000,GM,BUY_CC,2026-03-31,1.387,2026-04-30,0.21,cc_take_profit,116.7
INTC260515P00090000,INTC,BUY_PUT,2026-05-05,1.482,2026-05-07,0.672,take_profit,560.0
GM260605C00082000,GM,BUY_CC,2026-05-05,0.893,2026-05-18,0.315,cc_take_profit,56.8
INTC260522P00120000,INTC,BUY_PUT,2026-05-12,5.89,2026-05-22,1.869,roll_for_credit (fresh INTC260612P00109000),2005.5
NOK260529P00013000,NOK,BUY_PUT,2026-05-19,0.427,2026-05-22,0.084,take_profit,1334.0
PLTR260612C00150000,PLTR,BUY_CC,2026-05-19,2.147,2026-05-28,0.861,cc_take_profit,382.8
PLTR260612C00175000,PLTR,BUY_CC,2026-06-02,1.548,2026-06-04,0.294,cc_take_profit,373.35
F260612P00016000,F,PUT,2026-06-02,0.304,2026-06-12,0,ASSIGN,1046.5
GM260612C00081000,GM,CALL,2026-05-19,0.342,2026-06-12,0,CALLED,33.7
INTC260710P00117000,INTC,BUY_PUT,2026-06-16,6.431,2026-06-23,4.767,take_profit,661.8
NOK260626P00015000,NOK,PUT,2026-05-27,0.997,2026-06-26,0,ASSIGN,4367.0
PLTR260731C00142000,PLTR,BUY_CC,2026-07-14,1.045,2026-07-23,0.462,cc_take_profit,171.9
PLTR260807C00146000,PLTR,CALL,2026-07-28,1.643,OPEN,0,OPEN_AT_END,491.55
F260821C00016000,F,CALL,2026-07-28,0.237,OPEN,0,OPEN_AT_END,813.75
