ts,kind,underlying,occ,qty,price,fee,cash,note
2024-03-26,SELL_PUT,COIN,COIN240419P00255000,1,14.867,0.5,1486.75,delta 0.31 dte 25
2024-04-02,SELL_PUT,MU,MU240503P00118000,3,3.277,1.5,983.25,delta 0.29 dte 32
2024-04-12,BUY_PUT,COIN,COIN240419P00255000,1,8.61,0.5,-861.0,take_profit
2024-04-12,BUY_PUT,MU,MU240503P00118000,3,2.195,1.5,-658.35,take_profit
2024-04-16,SELL_PUT,COIN,COIN240503P00205000,1,11.495,0.5,1149.5,delta 0.30 dte 18
2024-04-23,SELL_PUT,MU,MU240503P00105000,3,1.472,1.5,441.75,delta 0.30 dte 11
2024-04-24,BUY_PUT,COIN,COIN240503P00205000,1,5.25,0.5,-525.0,take_profit
2024-04-29,BUY_PUT,MU,MU240503P00105000,3,0.242,1.5,-72.45,take_profit
2024-04-30,SELL_PUT,COIN,COIN240510P00202500,2,10.117,1.0,2023.5,delta 0.31 dte 11
2024-05-06,BUY_PUT,COIN,COIN240510P00202500,2,1.124,1.0,-224.7,take_profit
2024-05-07,SELL_PUT,COIN,COIN240531P00210000,1,9.215,0.5,921.5,delta 0.30 dte 25
2024-05-14,SELL_PUT,SNAP,SNAP240607P00015000,27,0.342,13.5,923.4,delta 0.30 dte 25
2024-05-21,BUY_PUT,SNAP,SNAP240607P00015000,27,0.147,13.5,-396.9,take_profit
2024-05-21,SELL_PUT,BABA,BABA240607P00085000,1,1.7,0.5,170.05,delta 0.29 dte 18
2024-05-22,BUY_PUT,COIN,COIN240531P00210000,1,4.83,0.5,-483.0,take_profit
2024-05-29,SELL_PUT,MU,MU240614P00127000,3,2.85,1.5,855.0,delta 0.30 dte 17
2024-06-04,SELL_PUT,SNAP,SNAP240614P00015000,18,0.37,9.0,666.9,delta 0.37 dte 11
2024-06-06,BUY_PUT,MU,MU240614P00127000,3,1.176,1.5,-352.8,take_profit
2024-06-07,ASSIGN,BABA,BABA240607P00085000,1,85.0,0,8500.0,assigned; close 78.42 < strike
2024-06-10,BUY_PUT,SNAP,SNAP240614P00015000,18,0.158,9.0,-283.5,take_profit
2024-06-11,SELL_PUT,MU,MU240628P00127000,3,3.629,1.5,1088.7,delta 0.30 dte 18
2024-06-13,DIV,BABA,,100,1.64,0,16400.0,dividend ex-date
2024-06-18,SELL_PUT,GM,GM240712P00046000,8,0.465,4.0,372.4,delta 0.30 dte 25
2024-06-20,BUY_PUT,MU,MU240628P00127000,3,1.575,1.5,-472.5,take_profit
2024-06-25,BUY_PUT,GM,GM240712P00046000,8,0.43,4.0,-344.4,take_profit
2024-06-25,SELL_PUT,MU,MU240712P00129000,3,4.655,1.5,1396.5,delta 0.30 dte 18
2024-07-02,SELL_PUT,PLTR,PLTR240712P00025000,14,0.314,7.0,438.9,delta 0.29 dte 11
2024-07-03,BUY_PUT,MU,MU240712P00129000,3,1.659,1.5,-497.7,take_profit
2024-07-08,BUY_PUT,PLTR,PLTR240712P00025000,14,0.053,7.0,-73.5,take_profit
2024-07-09,SELL_PUT,PLTR,PLTR240802P00026000,16,0.551,8.0,881.6,delta 0.27 dte 25
2024-07-16,SELL_PUT,GM,GM240726P00047500,7,0.494,3.5,345.8,delta 0.29 dte 11
2024-07-16,SELL_CC,BABA,BABA240816C00085000,1,0.988,0.5,98.8,delta 0.26 dte 32
