date,equity
2024-03-01,100000.0
2024-03-04,100000.0
2024-03-05,100000.0
2024-03-06,100000.0
2024-03-07,100000.0
2024-03-08,100000.0
2024-03-11,100000.0
2024-03-12,100000.0
2024-03-13,100000.0
2024-03-14,100000.0
2024-03-15,100000.0
2024-03-18,100000.0
2024-03-19,100000.0
2024-03-20,100000.0
2024-03-21,100000.0
2024-03-22,100000.0
2024-03-25,100000.0
2024-03-26,100010.7
2024-03-27,100095.7
2024-03-28,99650.7
2024-04-01,99794.7
2024-04-02,99654.1
2024-04-03,99696.1
2024-04-04,99406.1
2024-04-05,99750.1
2024-04-08,99912.1
2024-04-09,99777.9
2024-04-10,99558.9
2024-04-11,100122.9
2024-04-12,99660.6
2024-04-15,99117.6
2024-04-16,99217.9
2024-04-17,98557.9
2024-04-18,98584.9
2024-04-19,97693.9
2024-04-22,99187.9
2024-04-23,100494.95
2024-04-24,100352.15
2024-04-25,100519.15
2024-04-26,101410.15
2024-04-29,101714.5
2024-04-30,100107.15
2024-05-01,100903.15
2024-05-02,101741.15
2024-05-03,102846.15
2024-05-06,104148.3
2024-05-07,101942.7
2024-05-08,101997.7
2024-05-09,101635.7
2024-05-10,100528.7
2024-05-13,101048.7
2024-05-14,101704.35
2024-05-15,103088.35
2024-05-16,102289.05
2024-05-17,102890.65
2024-05-20,103475.65
2024-05-21,103136.95
2024-05-22,102734.45
2024-05-23,101729.45
2024-05-24,102472.45
2024-05-28,102513.45
2024-05-29,102131.0
2024-05-30,102976.5
2024-05-31,102711.5
2024-06-03,102348.3
2024-06-04,103088.5
2024-06-05,104675.5
2024-06-06,105352.5
2024-06-07,104876.5
2024-06-10,105003.5
2024-06-11,105201.7
2024-06-12,105264.7
2024-06-13,104591.7
2024-06-14,104257.7
2024-06-17,105577.7
2024-06-18,106010.7
2024-06-20,106016.1
2024-06-21,105051.6
2024-06-24,105635.6
2024-06-25,105995.1
2024-06-26,105900.1
2024-06-27,106341.1
2024-06-28,106510.1
2024-07-01,106567.1
2024-07-02,107054.1
2024-07-03,107344.7
2024-07-05,107443.3
2024-07-08,107265.3
2024-07-09,107718.8
2024-07-10,107974.8
2024-07-11,108252.8
2024-07-12,108679.3
2024-07-15,108267.9
2024-07-16,108300.8
2024-07-17,106607.8
2024-07-18,106216.0
2024-07-19,105519.0
2024-07-22,106293.0
2024-07-23,106092.0
2024-07-24,104078.0
2024-07-25,103214.1
2024-07-26,104047.1
2024-07-29,104209.1
2024-07-30,102614.9
2024-07-31,104449.9
2024-08-01,102167.3
2024-08-02,98980.3
2024-08-05,98172.3
2024-08-06,98367.5
2024-08-07,97853.5
2024-08-08,99099.5
2024-08-09,99603.5
2024-08-12,99980.25
2024-08-13,100722.85
2024-08-14,101200.85
2024-08-15,102663.85
2024-08-16,103625.85
2024-08-19,104125.7
2024-08-20,103425.8
2024-08-21,103955.8
2024-08-22,102966.4
2024-08-23,103224.4
2024-08-26,101818.4
2024-08-27,101590.3
2024-08-28,100361.3
2024-08-29,101076.3
2024-08-30,101868.3
2024-09-03,99571.3
2024-09-04,99701.3
2024-09-05,99659.3
2024-09-06,98529.3
2024-09-09,99351.2
2024-09-10,99069.7
2024-09-11,99991.7
2024-09-12,100267.7
2024-09-13,101172.7
2024-09-16,100537.7
2024-09-17,101078.7
2024-09-18,101082.7
2024-09-19,101993.45
2024-09-20,102330.45
2024-09-23,103006.45
2024-09-24,103205.95
2024-09-25,103347.95
2024-09-26,106045.95
2024-09-27,106038.95
2024-09-30,105393.95
2024-10-01,104607.95
2024-10-02,104858.95
2024-10-03,105403.75
2024-10-04,105546.15
2024-10-07,105571.15
2024-10-08,105608.8
2024-10-09,105580.8
2024-10-10,106679.8
2024-10-11,107249.8
2024-10-14,107614.8
2024-10-15,105719.9
2024-10-16,106813.9
2024-10-17,106773.9
2024-10-18,106999.9
2024-10-21,106228.9
2024-10-22,105759.3
2024-10-23,104661.3
2024-10-24,105118.3
2024-10-25,105875.3
2024-10-28,106550.3
2024-10-29,106715.1
2024-10-30,106171.1
2024-10-31,104555.1
2024-11-01,104710.1
2024-11-04,105013.1
2024-11-05,107171.1
2024-11-06,107928.3
2024-11-07,109181.3
2024-11-08,107498.3
2024-11-11,107139.3
2024-11-12,105312.3
2024-11-13,104295.3
2024-11-14,103799.3
2024-11-15,102776.3
2024-11-18,103399.3
2024-11-19,102957.3
2024-11-20,102971.3
2024-11-21,103757.3
2024-11-22,104019.3
2024-11-25,104991.7
2024-11-26,104026.1
2024-11-27,104098.1
2024-11-29,104781.5
2024-12-02,104448.9
2024-12-03,104551.9
2024-12-04,104581.9
2024-12-05,103791.9
2024-12-06,104333.9
2024-12-09,105873.9
2024-12-10,104227.9
2024-12-11,104556.9
2024-12-12,103651.9
2024-12-13,104365.9
2024-12-16,105077.9
2024-12-17,104837.9
2024-12-18,103349.9
2024-12-19,99933.9
2024-12-20,100375.9
2024-12-23,100366.9
2024-12-24,101467.9
2024-12-26,101971.9
2024-12-27,101487.9
2024-12-30,100305.9
2024-12-31,100018.5
2025-01-02,100219.5
2025-01-03,101294.5
2025-01-06,104024.5
2025-01-07,103733.5
2025-01-08,102571.5
2025-01-10,101673.5
2025-01-13,100636.5
2025-01-14,101436.5
2025-01-15,103270.5
2025-01-16,102978.5
2025-01-17,103704.5
2025-01-21,105561.5
2025-01-22,105077.7
2025-01-23,104687.7
2025-01-24,104965.7
2025-01-27,103132.7
2025-01-28,102221.7
2025-01-29,102594.5
2025-01-30,104276.5
2025-01-31,103166.5
2025-02-03,102162.5
2025-02-04,103426.5
2025-02-05,102917.5
2025-02-06,103280.5
2025-02-07,103089.5
2025-02-10,104276.5
2025-02-11,104150.5
2025-02-12,104374.5
2025-02-13,105540.5
2025-02-14,106668.5
2025-02-18,108147.5
2025-02-19,107555.5
2025-02-20,107109.5
2025-02-21,105728.5
2025-02-24,105161.5
2025-02-25,104917.5
2025-02-26,106280.5
2025-02-27,104570.5
2025-02-28,105812.5
2025-03-03,104276.5
2025-03-04,103223.95
2025-03-05,105978.95
2025-03-06,104520.35
2025-03-07,105728.35
2025-03-10,104616.35
2025-03-11,104330.35
2025-03-12,105142.35
2025-03-13,104857.35
2025-03-14,107050.35
2025-03-17,108157.35
2025-03-18,107537.35
2025-03-19,108411.35
