date,equity
2025-08-01,100000.0
2025-08-04,100048.7
2025-08-05,99998.7
2025-08-06,100355.7
2025-08-07,100337.75
2025-08-08,99714.9
2025-08-11,99606.55
2025-08-12,99928.05
2025-08-13,100816.05
2025-08-14,100645.05
2025-08-15,100641.05
2025-08-18,100841.15
2025-08-19,100615.15
2025-08-20,100659.15
2025-08-21,100665.15
2025-08-22,101095.15
2025-08-25,101148.15
2025-08-26,100964.05
2025-08-27,101215.05
2025-08-28,101620.7
2025-08-29,101559.35
2025-09-02,101420.35
2025-09-03,101402.7
2025-09-04,101584.7
2025-09-05,101879.05
2025-09-08,102020.85
2025-09-09,102194.05
2025-09-10,102203.05
2025-09-11,102491.45
2025-09-12,102410.45
2025-09-15,102392.45
2025-09-16,102288.45
2025-09-17,102389.45
2025-09-18,102448.45
2025-09-19,102564.45
2025-09-22,102519.45
2025-09-23,102447.15
2025-09-24,102389.65
2025-09-25,102428.65
2025-09-26,102461.45
2025-09-29,102146.95
2025-09-30,102060.55
2025-10-01,101786.55
2025-10-02,101701.55
2025-10-03,101580.65
2025-10-06,101301.15
2025-10-07,101846.15
2025-10-08,101610.15
2025-10-09,101748.65
2025-10-10,100478.15
2025-10-13,101316.15
2025-10-14,101887.15
2025-10-15,102100.15
2025-10-16,101615.15
2025-10-17,102071.15
2025-10-20,102776.15
2025-10-21,103233.65
2025-10-22,103043.85
2025-10-23,102575.95
2025-10-24,102868.45
2025-10-27,103074.45
2025-10-28,103457.6
2025-10-29,102934.2
2025-10-30,102629.6
2025-10-31,102912.1
2025-11-03,102929.1
2025-11-04,102549.0
2025-11-05,102850.5
2025-11-06,102439.0
2025-11-07,102972.5
2025-11-10,103344.8
2025-11-11,103628.7
2025-11-12,103860.95
2025-11-13,103286.95
2025-11-14,103227.95
2025-11-17,102607.95
2025-11-18,102983.95
2025-11-19,102051.95
2025-11-20,101720.95
2025-11-21,102666.45
2025-11-24,103020.95
2025-11-25,103266.0
2025-11-26,103778.0
2025-11-28,104201.0
2025-12-01,104134.1
2025-12-02,104152.4
2025-12-03,104349.9
2025-12-04,104344.7
2025-12-05,103709.7
2025-12-08,103914.45
2025-12-09,103572.2
2025-12-10,103827.2
2025-12-11,104139.7
2025-12-12,104394.2
2025-12-15,103368.2
2025-12-16,103787.2
2025-12-17,103094.2
2025-12-18,103872.7
2025-12-19,104570.2
2025-12-22,104828.05
2025-12-23,104727.4
2025-12-24,105111.4
2025-12-26,104954.6
2025-12-29,104878.6
2025-12-30,104613.25
2025-12-31,104402.75
2026-01-02,104832.85
2026-01-05,105406.9
2026-01-06,104408.9
2026-01-07,104699.4
2026-01-08,104845.4
2026-01-09,104800.4
2026-01-12,104536.9
2026-01-13,104511.65
2026-01-14,104111.15
2026-01-15,104488.65
2026-01-16,104109.65
2026-01-20,103491.65
2026-01-21,103828.95
2026-01-22,104207.45
2026-01-23,104722.95
2026-01-26,104907.45
2026-01-27,104679.8
2026-01-28,104535.8
2026-01-29,104031.8
2026-01-30,104131.6
2026-02-02,104479.85
2026-02-03,104573.05
2026-02-04,104469.55
2026-02-05,103933.05
2026-02-06,104880.05
2026-02-09,105173.05
2026-02-10,105194.05
2026-02-11,105728.05
2026-02-12,104952.1
2026-02-13,105217.6
2026-02-17,105466.1
2026-02-18,105136.32
2026-02-19,105043.32
2026-02-20,105018.32
2026-02-23,104861.82
2026-02-24,105588.47
2026-02-25,105810.47
2026-02-26,105432.72
2026-02-27,104899.22
2026-03-02,104939.87
2026-03-03,105028.62
2026-03-04,105724.62
2026-03-05,105020.12
2026-03-06,104759.12
2026-03-09,104293.62
2026-03-10,104345.62
2026-03-11,104180.62
2026-03-12,103907.62
2026-03-13,104017.62
2026-03-16,104418.12
2026-03-17,104463.97
2026-03-18,104006.47
2026-03-19,104032.47
2026-03-20,104054.97
2026-03-23,104727.97
2026-03-24,104674.47
2026-03-25,104568.97
2026-03-26,104063.47
2026-03-27,103535.47
2026-03-30,103412.47
2026-03-31,104084.22
2026-04-01,103770.22
2026-04-02,103763.22
2026-04-06,104105.22
2026-04-07,103693.97
2026-04-08,104199.47
2026-04-09,103868.47
2026-04-10,103579.97
2026-04-13,103543.97
2026-04-14,104176.47
2026-04-15,104364.47
2026-04-16,104921.47
2026-04-17,105490.97
2026-04-20,105321.97
2026-04-21,104649.37
