date,open,high,low,close
2023-06-01,206.69,210.2,206.04,207.93
2023-06-02,210.075,215.12,210.075,213.31
2023-06-05,212.87,212.88,207.73,208.82
2023-06-06,207.875,211.67,200.7,207.295
2023-06-07,207.8,212.37,207.245,212.2
2023-06-08,212.215,219.985,212.215,218.16
2023-06-09,218.005,219.065,215.785,217.31
2023-06-12,217.615,223.81,216.67,221.59
2023-06-13,221.73,223.06,219.55,220.4
2023-06-14,221.02,221.02,216.05,216.81
2023-06-15,217.225,220.57,215.49,219.6
2023-06-16,220.68,223.84,218.99,219.99
2023-06-20,218.92,219.24,211.95,212.43
2023-06-21,211.61,212.93,209.425,212.05
2023-06-22,205.695,208.47,203.74,205.625
2023-06-23,204.08,205.55,202.66,205.38
2023-06-26,206.27,207.045,204.66,205.58
2023-06-27,206.66,209.645,206.13,209.515
2023-06-28,212.0,212.08,209.535,210.64
2023-06-29,210.57,213.22,210.565,211.83
2023-06-30,212.64,212.91,209.45,211.155
2023-07-03,211.01,212.16,210.27,210.92
2023-07-05,210.36,214.25,207.98,213.31
2023-07-06,212.52,213.55,209.65,212.58
2023-07-07,212.94,215.53,211.92,212.09
2023-07-10,211.73,213.58,211.73,213.2
2023-07-11,212.53,218.97,211.42,218.76
2023-07-12,219.58,221.53,216.96,217.11
2023-07-13,218.25,218.83,216.36,216.79
2023-07-14,216.89,217.0,212.835,212.96
2023-07-17,212.46,213.93,211.76,211.9
2023-07-18,210.65,212.99,209.635,211.63
2023-07-19,211.2,211.82,208.32,208.69
2023-07-20,208.965,215.09,208.965,213.65
2023-07-21,213.68,215.55,211.65,211.84
2023-07-24,211.72,215.93,211.72,215.82
2023-07-25,214.29,214.8,210.9,214.18
2023-07-26,222.18,232.99,222.0,232.935
2023-07-27,235.27,238.67,231.86,233.75
2023-07-28,236.21,240.095,236.0,238.67
2023-07-31,238.69,239.02,236.24,239.02
2023-08-01,237.57,243.05,237.43,238.0
2023-08-02,235.115,235.99,230.725,231.37
2023-08-03,230.9,233.49,230.555,231.4
2023-08-04,231.805,234.815,230.38,231.34
2023-08-07,233.73,238.74,233.73,238.215
2023-08-08,236.655,240.6,236.15,238.085
2023-08-09,238.565,241.12,236.43,237.9
2023-08-10,238.22,241.495,237.25,238.39
2023-08-11,237.52,237.85,235.26,235.45
2023-08-14,236.535,238.56,235.82,236.68
2023-08-15,234.85,235.53,231.69,232.23
2023-08-16,231.65,234.49,229.625,229.96
2023-08-17,230.47,231.56,224.3,224.57
2023-08-18,221.795,226.73,221.69,226.73
2023-08-21,226.64,227.65,225.16,227.31
2023-08-22,228.42,230.28,227.05,230.05
2023-08-23,229.98,230.41,227.17,228.44
2023-08-24,222.85,224.12,217.155,217.32
2023-08-25,219.055,223.76,212.89,223.45
2023-08-28,224.36,227.42,223.45,227.09
2023-08-29,226.26,229.31,225.895,227.29
2023-08-30,226.99,231.04,226.99,228.81
2023-08-31,229.335,230.29,222.93,224.04
2023-09-01,225.99,225.99,221.98,223.39
2023-09-05,223.055,224.055,221.2,222.53
2023-09-06,221.8,222.62,216.455,218.01
2023-09-07,218.09,220.23,215.06,215.99
2023-09-08,215.76,215.89,210.59,211.25
2023-09-11,213.77,214.03,208.83,210.92
2023-09-12,209.77,212.22,208.91,210.62
2023-09-13,209.5,212.08,207.83,208.415
2023-09-14,209.345,210.35,208.14,209.11
2023-09-15,209.31,209.625,206.94,208.03
2023-09-18,207.62,207.62,205.0,205.07
2023-09-19,205.395,205.425,202.55,204.54
2023-09-20,205.81,206.11,202.32,202.37
2023-09-21,201.04,203.56,199.76,199.85
2023-09-22,200.055,200.64,197.23,197.79
2023-09-25,196.95,198.85,195.19,198.845
2023-09-26,197.71,199.39,195.49,195.63
2023-09-27,195.615,196.18,193.14,195.54
2023-09-28,193.79,195.03,190.055,190.325
2023-09-29,192.08,192.905,190.24,191.78
2023-10-02,191.145,192.19,187.0,187.8
2023-10-03,188.23,192.39,188.23,188.88
2023-10-04,188.89,190.53,184.45,186.695
2023-10-05,186.2,188.09,184.57,186.255
2023-10-06,185.8,188.5,182.55,187.39
2023-10-09,188.38,189.41,185.69,188.52
2023-10-10,190.595,194.28,188.87,193.48
2023-10-11,195.49,199.42,194.31,196.14
2023-10-12,195.27,195.27,190.045,191.305
2023-10-13,186.31,187.24,183.28,185.05
2023-10-16,185.87,185.87,182.53,184.97
2023-10-17,183.87,188.19,183.51,185.62
2023-10-18,187.36,190.13,185.24,185.59
2023-10-19,186.1,186.91,182.59,182.78
2023-10-20,182.68,183.2,179.91,180.01
2023-10-23,179.26,183.69,178.6,181.07
2023-10-24,183.2,184.32,181.84,182.23
2023-10-25,186.67,186.67,176.28,177.67
2023-10-26,176.92,182.935,176.65,179.01
2023-10-27,180.15,182.31,179.06,179.675
2023-10-30,179.66,184.11,179.66,182.3
2023-10-31,183.03,187.275,181.43,186.83
2023-11-01,189.84,190.61,187.645,189.36
2023-11-02,190.9,192.93,190.58,191.965
2023-11-03,194.095,197.05,193.85,195.11
2023-11-06,195.5,195.915,192.46,193.0
2023-11-07,191.95,191.95,189.6,191.43
2023-11-08,191.37,192.25,190.17,191.895
2023-11-09,193.59,196.92,192.66,193.34
2023-11-10,195.225,197.225,194.29,196.675
2023-11-13,203.315,206.79,202.63,204.49
2023-11-14,207.55,208.54,206.135,207.43
2023-11-15,208.21,211.01,207.81,208.67
2023-11-16,207.4,207.84,204.86,206.69
2023-11-17,208.17,209.38,207.07,208.07
2023-11-20,211.05,218.83,210.98,217.74
2023-11-21,216.33,219.29,216.33,218.34
2023-11-22,218.54,221.24,217.885,219.96
2023-11-24,220.495,221.56,219.01,219.87
2023-11-27,219.28,219.46,217.685,219.27
2023-11-28,222.22,224.695,219.48,222.37
2023-11-29,223.625,224.94,221.45,224.47
2023-11-30,225.14,232.86,225.0,231.72
2023-12-01,232.08,235.305,231.51,233.79
2023-12-04,230.74,234.9,230.165,234.86
2023-12-05,233.495,234.74,231.585,234.185
2023-12-06,234.85,239.21,234.85,236.95
2023-12-07,236.96,238.22,230.28,237.33
2023-12-08,237.94,244.51,237.9,244.5
2023-12-11,243.37,248.08,243.37,248.05
2023-12-12,248.08,250.52,247.6,248.61
2023-12-13,249.065,251.86,247.58,250.85
2023-12-14,250.875,257.04,249.295,256.34
2023-12-15,257.63,265.4,257.63,263.61
2023-12-18,260.77,262.96,260.36,260.43
2023-12-19,261.77,265.31,261.18,263.52
2023-12-20,261.91,266.07,260.21,260.21
