date,open,high,low,close
2023-06-01,151.255,153.73,149.745,152.16
2023-06-02,154.47,156.73,153.74,156.21
2023-06-05,158.27,158.345,155.27,155.49
2023-06-06,153.33,156.11,153.33,155.83
2023-06-07,156.59,160.21,156.54,159.87
2023-06-08,159.965,160.48,157.14,159.22
2023-06-09,159.17,160.36,158.67,158.85
2023-06-12,157.135,159.2,156.32,157.46
2023-06-13,158.695,160.52,158.3,158.54
2023-06-14,159.905,160.72,156.175,157.11
2023-06-15,157.43,159.725,157.43,158.33
2023-06-16,158.28,159.19,157.29,157.29
2023-06-20,156.3,156.3,152.28,153.73
2023-06-21,152.61,155.94,152.54,154.875
2023-06-22,153.35,153.56,151.99,152.65
2023-06-23,150.6,151.68,150.2,151.29
2023-06-26,151.54,154.93,151.54,154.04
2023-06-27,153.635,154.65,152.93,153.53
2023-06-28,153.44,154.99,152.21,154.92
2023-06-29,155.31,156.27,154.455,156.26
2023-06-30,157.36,157.92,156.605,157.37
2023-07-03,157.18,158.1,156.74,157.115
2023-07-05,157.34,157.39,155.13,156.31
2023-07-06,155.195,155.8,151.69,152.86
2023-07-07,152.07,155.975,151.97,154.22
2023-07-10,154.01,155.62,154.01,155.3
2023-07-11,156.23,158.37,155.76,158.1
2023-07-12,159.29,160.315,158.44,159.64
2023-07-13,160.03,160.545,156.65,157.44
2023-07-14,156.8,156.8,153.39,153.58
2023-07-17,153.4,154.13,152.67,153.44
2023-07-18,152.56,156.0,152.44,153.69
2023-07-19,153.33,155.77,153.31,154.72
2023-07-20,156.3,157.1,155.76,156.425
2023-07-21,157.425,158.79,157.2,158.67
2023-07-24,160.37,163.99,160.06,161.81
2023-07-25,161.71,163.5,160.71,162.53
2023-07-26,161.2,162.04,160.57,161.38
2023-07-27,162.18,162.36,159.25,159.62
2023-07-28,158.62,158.94,156.54,158.85
2023-07-31,160.87,163.905,160.63,163.67
2023-08-01,163.37,163.37,160.56,162.37
2023-08-02,160.93,161.075,158.075,159.73
2023-08-03,160.73,161.68,158.885,159.69
2023-08-04,160.7,162.98,159.09,159.255
2023-08-07,160.58,161.335,159.13,159.82
2023-08-08,157.91,159.79,156.39,159.69
2023-08-09,160.86,161.43,159.375,159.84
2023-08-10,160.35,162.45,159.64,160.76
2023-08-11,160.29,164.15,160.29,164.14
2023-08-14,163.94,164.205,162.68,164.04
2023-08-15,163.36,163.36,159.15,159.24
2023-08-16,160.66,161.765,158.49,158.63
2023-08-17,159.55,162.13,159.025,159.73
2023-08-18,158.35,161.32,158.35,160.93
2023-08-21,161.41,162.04,159.46,160.4
2023-08-22,160.84,161.22,158.97,159.045
2023-08-23,158.11,159.34,156.75,159.26
2023-08-24,157.945,159.86,157.62,157.92
2023-08-25,159.07,159.9,157.66,159.03
2023-08-28,159.85,161.63,159.25,160.29
