date,open,high,low,close
2023-06-01,104.09,104.56,102.98,103.625
2023-06-02,107.26,108.415,106.17,107.78
2023-06-05,107.63,107.78,105.19,105.21
2023-06-06,105.595,106.74,105.22,106.17
2023-06-07,106.03,108.23,105.46,107.075
2023-06-08,107.2,107.52,105.685,106.205
2023-06-09,105.99,106.28,105.36,105.85
2023-06-12,106.32,106.84,104.61,106.81
2023-06-13,107.36,107.425,106.305,106.7
2023-06-14,107.865,113.4,107.75,112.82
2023-06-15,111.72,112.815,110.17,112.34
2023-06-16,113.85,114.74,113.19,113.585
2023-06-20,111.34,112.77,108.975,109.57
2023-06-21,109.135,110.35,108.72,109.99
2023-06-22,110.705,111.24,109.78,110.43
2023-06-23,107.59,110.26,107.39,109.52
2023-06-26,109.67,112.17,109.67,111.73
2023-06-27,112.7,114.17,112.46,113.615
2023-06-28,113.49,113.74,112.14,113.02
2023-06-29,113.47,114.25,112.62,113.36
2023-06-30,112.0,112.2,109.95,110.38
2023-07-03,110.83,111.16,109.12,109.12
2023-07-05,108.465,108.87,106.54,107.11
2023-07-06,105.28,106.07,103.68,105.1
2023-07-07,104.77,105.47,104.06,104.47
2023-07-10,104.47,106.28,104.29,105.77
2023-07-11,105.845,107.565,105.72,107.38
2023-07-12,108.28,109.01,107.235,107.71
2023-07-13,109.0,109.05,107.695,107.82
2023-07-14,107.91,108.63,107.19,107.93
2023-07-17,107.535,109.08,106.86,108.715
2023-07-18,108.58,110.3,108.4,109.73
2023-07-19,109.06,110.24,108.6,109.89
2023-07-20,109.555,109.99,107.48,107.5
2023-07-21,107.81,109.26,107.54,109.11
2023-07-24,110.335,110.5,108.52,108.78
2023-07-25,108.33,108.83,107.42,108.29
2023-07-26,108.16,109.57,107.96,109.3
2023-07-27,109.85,110.075,107.415,107.68
2023-07-28,108.085,108.87,107.635,108.63
2023-07-31,109.385,110.85,109.09,110.43
2023-08-01,110.14,110.31,109.2,109.41
2023-08-02,108.33,108.465,107.45,107.45
2023-08-03,107.05,109.085,106.8,108.64
2023-08-04,108.75,110.305,108.28,108.78
2023-08-07,109.76,110.88,109.3,110.51
2023-08-08,109.655,109.72,107.36,109.705
2023-08-09,109.83,110.005,108.32,109.69
2023-08-10,110.54,111.94,108.55,109.035
2023-08-11,108.85,109.47,107.865,108.095
2023-08-14,107.88,108.29,107.07,107.595
2023-08-15,106.12,106.81,105.66,106.57
2023-08-16,106.5,108.35,106.5,106.54
2023-08-17,107.8,107.8,104.83,105.05
2023-08-18,103.8,104.99,103.78,104.83
2023-08-21,105.33,105.395,102.675,102.87
2023-08-22,101.09,102.35,100.74,101.49
2023-08-23,97.155,99.12,96.55,98.74
2023-08-24,98.86,99.18,97.56,97.65
2023-08-25,98.47,99.045,97.88,98.8
2023-08-28,99.725,100.01,98.865,99.625
2023-08-29,100.09,102.155,99.73,101.77
2023-08-30,101.85,102.78,101.555,102.09
2023-08-31,102.65,102.83,101.61,101.71
2023-09-01,101.93,102.94,101.6,102.33
2023-09-05,101.58,101.74,100.235,100.31
2023-09-06,99.73,100.295,99.03,100.22
2023-09-07,98.42,98.71,97.66,97.93
2023-09-08,98.08,98.08,97.285,97.72
2023-09-11,98.35,98.37,96.59,96.76
2023-09-12,97.11,97.125,96.2,96.32
2023-09-13,96.1,97.185,95.66,96.1
2023-09-14,96.8,97.65,95.915,97.19
2023-09-15,98.15,98.15,96.13,96.31
2023-09-18,95.99,96.35,95.28,95.52
2023-09-19,95.02,95.455,94.425,94.615
2023-09-20,94.34,95.38,93.865,94.06
2023-09-21,93.45,93.45,91.515,91.605
2023-09-22,91.595,92.29,90.59,90.86
2023-09-25,89.93,90.8,89.86,90.54
2023-09-26,90.035,90.68,89.84,90.17
2023-09-27,90.58,90.7,89.21,89.425
2023-09-28,89.08,89.77,88.69,89.63
2023-09-29,99.115,99.41,94.65,95.655
2023-10-02,96.15,96.34,93.745,94.48
2023-10-03,94.19,96.04,94.19,95.09
2023-10-04,95.815,96.255,95.14,95.86
2023-10-05,95.8,96.22,95.29,95.79
2023-10-06,95.8,97.7,95.07,97.1
2023-10-09,96.88,97.1,95.96,96.88
2023-10-10,97.37,98.85,97.29,97.62
2023-10-11,98.36,98.94,98.04,98.65
2023-10-12,99.435,100.045,98.53,99.24
2023-10-13,99.625,100.83,99.52,99.91
2023-10-16,99.88,102.56,99.85,102.02
2023-10-17,102.07,103.57,102.07,103.0
2023-10-18,103.285,103.895,102.96,103.855
2023-10-19,103.825,104.34,102.855,103.09
2023-10-20,103.38,103.75,102.58,102.63
2023-10-23,102.15,103.745,101.85,102.82
2023-10-24,103.73,105.63,103.73,105.265
2023-10-25,104.65,105.035,103.495,103.505
