date,open,high,low,close
2023-06-01,4.02,4.075,4.015,4.055
2023-06-02,4.045,4.07,4.035,4.065
2023-06-05,4.08,4.08,4.04,4.05
2023-06-06,3.985,4.015,3.98,3.985
2023-06-07,4.025,4.055,4.015,4.02
2023-06-08,4.005,4.015,3.99,3.995
2023-06-09,4.01,4.035,4.0,4.005
2023-06-12,4.005,4.08,4.0,4.075
2023-06-13,4.105,4.125,4.09,4.095
2023-06-14,4.16,4.19,4.125,4.15
2023-06-15,4.185,4.23,4.17,4.225
2023-06-16,4.275,4.28,4.24,4.28
2023-06-20,4.215,4.225,4.185,4.205
2023-06-21,4.155,4.155,4.1,4.115
2023-06-22,4.085,4.09,4.06,4.075
2023-06-23,4.005,4.01,3.975,3.98
2023-06-26,4.035,4.06,4.02,4.025
2023-06-27,4.06,4.125,4.05,4.12
2023-06-28,4.155,4.17,4.13,4.14
2023-06-29,4.155,4.165,4.115,4.15
2023-06-30,4.16,4.175,4.145,4.155
2023-07-03,4.245,4.265,4.23,4.245
2023-07-05,4.195,4.195,4.16,4.175
2023-07-06,4.135,4.145,4.11,4.145
2023-07-07,4.135,4.165,4.13,4.145
2023-07-10,4.155,4.18,4.155,4.17
2023-07-11,4.205,4.215,4.18,4.205
2023-07-12,4.29,4.29,4.24,4.275
2023-07-13,4.34,4.36,4.325,4.36
2023-07-14,3.96,3.98,3.91,3.97
2023-07-17,3.86,3.895,3.835,3.845
2023-07-18,3.895,3.93,3.865,3.89
2023-07-19,3.91,3.95,3.91,3.94
2023-07-20,3.935,3.945,3.885,3.935
2023-07-21,3.96,3.965,3.92,3.935
2023-07-24,3.935,3.96,3.93,3.96
2023-07-25,3.945,3.97,3.94,3.97
2023-07-26,3.925,3.97,3.91,3.97
2023-07-27,3.935,3.95,3.905,3.905
2023-07-28,3.92,3.96,3.92,3.94
2023-07-31,3.915,3.945,3.915,3.94
2023-08-01,3.905,3.945,3.905,3.94
2023-08-02,3.885,3.94,3.88,3.94
2023-08-03,3.88,3.89,3.865,3.885
2023-08-04,3.875,3.95,3.875,3.91
2023-08-07,3.935,3.935,3.885,3.9
2023-08-08,3.87,3.895,3.855,3.895
2023-08-09,3.925,3.93,3.9,3.905
2023-08-10,3.96,3.99,3.945,3.945
2023-08-11,3.875,3.89,3.87,3.885
2023-08-14,3.875,3.89,3.855,3.87
2023-08-15,3.83,3.84,3.8,3.805
2023-08-16,3.795,3.8,3.75,3.755
2023-08-17,3.82,3.83,3.77,3.775
2023-08-18,3.765,3.815,3.765,3.805
2023-08-21,3.825,3.825,3.795,3.81
2023-08-22,3.845,3.85,3.79,3.795
2023-08-23,3.795,3.83,3.795,3.82
2023-08-24,3.805,3.82,3.76,3.77
2023-08-25,3.775,3.81,3.76,3.795
2023-08-28,3.82,3.84,3.815,3.84
2023-08-29,3.935,3.955,3.925,3.95
2023-08-30,3.975,3.99,3.965,3.975
2023-08-31,3.985,4.0,3.97,3.99
2023-09-01,4.01,4.02,3.995,3.995
2023-09-05,4.0,4.02,3.995,4.0
2023-09-06,4.045,4.05,4.005,4.05
2023-09-07,4.025,4.085,4.02,4.075
2023-09-08,4.035,4.07,4.025,4.04
2023-09-11,4.055,4.08,4.03,4.06
2023-09-12,4.035,4.055,4.02,4.05
2023-09-13,3.99,4.02,3.99,4.01
2023-09-14,3.97,4.03,3.97,4.02
2023-09-15,3.945,3.97,3.925,3.935
2023-09-18,3.935,3.97,3.925,3.95
2023-09-19,3.99,4.01,3.975,3.995
2023-09-20,4.025,4.03,3.96,3.96
2023-09-21,3.895,3.9,3.875,3.88
