date,open,high,low,close
2023-06-01,15.705,15.87,15.625,15.805
2023-06-02,15.16,15.36,14.86,15.205
2023-06-05,15.37,15.44,15.25,15.39
2023-06-06,15.53,15.75,15.36,15.67
2023-06-07,15.64,16.115,15.59,16.1
2023-06-08,16.05,16.075,15.88,16.07
2023-06-09,16.005,16.125,15.91,15.955
2023-06-12,15.94,15.995,15.82,15.93
2023-06-13,15.78,15.965,15.68,15.83
2023-06-14,15.875,16.01,15.825,15.835
2023-06-15,15.885,16.095,15.795,16.03
2023-06-16,16.09,16.13,15.965,16.06
2023-06-20,16.0,16.065,15.775,15.775
2023-06-21,15.7,15.715,15.49,15.61
2023-06-22,15.525,15.635,15.47,15.575
2023-06-23,15.58,15.725,15.42,15.435
2023-06-26,15.44,15.65,15.43,15.63
2023-06-27,15.54,15.89,15.54,15.845
2023-06-28,15.825,15.825,15.615,15.79
2023-06-29,15.76,16.01,15.755,15.995
2023-06-30,16.035,16.035,15.835,15.93
2023-07-03,15.97,16.11,15.96,16.1
2023-07-05,16.07,16.23,16.005,16.08
2023-07-06,16.01,16.02,15.84,15.875
2023-07-07,15.54,15.745,15.53,15.6
2023-07-10,15.54,15.54,15.22,15.27
2023-07-11,15.3,15.335,15.12,15.225
2023-07-12,15.26,15.26,15.105,15.13
2023-07-13,15.13,15.165,15.01,15.125
2023-07-14,14.775,14.78,14.29,14.505
2023-07-17,14.15,14.15,13.48,13.53
2023-07-18,13.53,13.99,13.435,13.445
2023-07-19,14.31,14.64,14.275,14.6
2023-07-20,14.59,14.66,14.46,14.655
2023-07-21,14.63,14.78,14.625,14.765
2023-07-24,14.795,15.09,14.79,14.94
2023-07-25,15.07,15.105,14.72,14.79
2023-07-26,14.92,14.97,14.54,14.9
2023-07-27,14.905,14.91,14.5,14.5
2023-07-28,14.63,14.67,14.445,14.45
2023-07-31,14.45,14.59,14.415,14.53
2023-08-01,14.545,14.545,14.26,14.305
2023-08-02,14.26,14.56,14.215,14.35
2023-08-03,14.22,14.26,14.03,14.085
2023-08-04,14.07,14.1,14.0,14.02
2023-08-07,14.025,14.09,13.89,14.01
2023-08-08,13.97,14.195,13.955,14.18
2023-08-09,14.165,14.345,14.155,14.275
2023-08-10,14.315,14.345,14.17,14.18
2023-08-11,14.165,14.395,14.125,14.38
2023-08-14,14.29,14.365,14.185,14.26
2023-08-15,14.21,14.21,14.1,14.145
2023-08-16,14.14,14.185,14.01,14.1
2023-08-17,14.135,14.135,13.99,14.0
2023-08-18,13.97,14.135,13.95,14.07
