date,open,high,low,close
2023-06-01,101.825,104.48,101.28,103.34
2023-06-02,104.89,106.1,104.55,105.74
2023-06-05,107.095,107.21,105.095,105.27
2023-06-06,104.15,106.27,104.045,106.15
2023-06-07,106.98,108.865,106.905,108.54
2023-06-08,108.76,108.85,105.9,108.17
2023-06-09,108.41,108.61,107.24,107.45
2023-06-12,106.455,107.03,105.555,106.49
2023-06-13,107.45,108.27,106.285,106.47
2023-06-14,107.47,107.955,104.43,105.17
2023-06-15,105.49,107.02,105.49,105.9
2023-06-16,106.55,106.73,105.0,105.14
2023-06-20,104.75,104.75,102.14,102.72
2023-06-21,102.47,104.62,102.37,103.87
2023-06-22,102.87,103.84,102.74,103.31
2023-06-23,102.43,102.75,101.66,102.4
2023-06-26,102.2,104.89,102.2,104.29
2023-06-27,104.11,104.605,103.31,104.53
2023-06-28,104.14,105.76,103.2,105.39
2023-06-29,105.515,106.73,105.15,106.71
2023-06-30,107.29,107.875,106.835,107.22
2023-07-03,107.46,108.43,107.13,107.425
2023-07-05,107.61,107.87,106.11,106.94
2023-07-06,105.24,105.66,102.445,102.94
2023-07-07,101.87,103.995,101.58,103.18
2023-07-10,102.87,104.745,102.765,104.72
2023-07-11,105.11,106.14,104.845,105.96
2023-07-12,107.36,107.635,106.175,106.52
2023-07-13,106.13,106.13,103.325,104.52
2023-07-14,103.63,103.78,100.53,100.9
2023-07-17,100.6,101.645,100.235,101.365
2023-07-18,100.74,102.185,100.38,100.93
2023-07-19,100.99,102.39,100.825,101.62
2023-07-20,102.78,103.64,102.4,103.43
2023-07-21,103.99,104.375,103.33,103.94
2023-07-24,104.415,106.145,103.995,105.54
2023-07-25,105.16,106.075,104.56,105.675
2023-07-26,104.99,105.69,104.66,105.12
2023-07-27,106.05,106.985,104.75,105.44
2023-07-28,105.1,105.1,102.32,104.15
2023-07-31,105.31,107.825,105.23,107.23
2023-08-01,106.97,107.29,105.535,106.62
2023-08-02,106.28,106.28,104.585,105.27
